n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2368,0,0,0,0
200,0.00,2624,0,0,0,0
300,0.00,2752,0,0,0,0
400,0.00,3008,0,0,0,0
500,0.01,3264,0,0,0,0
600,0.01,3392,0,0,0,0
700,0.01,3776,0,0,0,0
800,0.01,3904,0,0,0,0
900,0.01,4160,0,0,0,0
1000,0.01,4416,0,0,0,0
1100,0.01,4544,0,0,0,0
1200,0.02,4672,0,0,0,0
1300,0.02,5056,0,0,0,0
1400,0.02,5140,0,0,0,0
1500,0.02,5268,0,0,0,0
1600,0.02,5652,0,0,0,0
1700,0.02,5696,0,0,0,0
1800,0.02,6036,0,0,0,0
1900,0.02,6044,0,0,0,0
2000,0.03,6680,0,0,0,0
2100,0.03,6688,0,0,0,0
2200,0.03,6748,0,0,0,0
2300,0.03,7244,0,0,0,0
2400,0.03,7264,0,0,0,0
2500,0.03,7324,0,0,0,0
2600,0.03,7692,0,0,0,0
2700,0.03,7704,0,0,0,0
2800,0.04,7836,0,0,0,0
2900,0.04,8360,0,0,0,0
3000,0.04,8316,0,0,0,0
3100,0.04,8328,0,0,0,0
3200,0.04,8912,0,0,0,0
3300,0.04,8912,0,0,0,0
3400,0.05,8912,0,0,0,0
3500,0.04,8996,0,0,0,0
3600,0.05,9784,0,0,0,0
3700,0.05,9656,0,0,0,0
3800,0.05,9580,0,0,0,0
3900,0.05,9676,0,0,0,0
4000,0.05,10316,0,0,0,0
4100,0.05,10332,0,0,0,0
4200,0.06,10792,0,0,0,0
4300,0.06,10712,0,0,0,0
4400,0.06,10860,0,0,0,0
4500,0.06,11516,0,0,0,0
4600,0.06,11500,0,0,0,0
4700,0.06,11496,0,0,0,0
4800,0.06,11496,0,0,0,0
4900,0.06,11660,0,0,0,0
5000,0.07,12424,0,0,0,0
5100,0.07,12424,0,0,0,0
5200,0.07,12420,0,0,0,0
5300,0.07,12412,0,0,0,0
5400,0.07,12432,0,0,0,0
5500,0.07,12612,0,0,0,0
5600,0.07,13384,0,0,0,0
5700,0.08,13384,0,0,0,0
5800,0.07,13368,0,0,0,0
5900,0.07,13344,0,0,0,0
6000,0.08,13376,0,0,0,0
6100,0.08,13460,0,0,0,0
6200,0.08,13760,0,0,0,0
6300,0.08,14428,0,0,0,0
6400,0.08,14412,0,0,0,0
6500,0.08,14412,0,0,0,0
6600,0.08,14392,0,0,0,0
6700,0.09,14400,0,0,0,0
6800,0.09,14412,0,0,0,0
6900,0.09,14656,0,0,0,0
7000,0.09,15412,0,0,0,0
7100,0.09,15412,0,0,0,0
7200,0.09,15408,0,0,0,0
7300,0.09,15424,0,0,0,0
7400,0.09,15404,0,0,0,0
7500,0.09,15308,0,0,0,0
7600,0.09,15440,0,0,0,0
7700,0.10,15736,0,0,0,0
7800,0.10,16556,0,0,0,0
7900,0.10,16572,0,0,0,0
8000,0.10,16564,0,0,0,0
8100,0.10,16564,0,0,0,0
8200,0.10,16564,0,0,0,0
8300,0.10,16512,0,0,0,0
8400,0.10,16480,0,0,0,0
8500,0.11,16656,0,0,0,0
8600,0.11,16992,0,0,0,0
8700,0.11,17752,0,0,0,0
8800,0.12,17760,0,0,0,0
8900,0.12,17744,0,0,0,0
9000,0.12,17760,0,0,0,0
9100,0.12,17760,0,0,0,0
9200,0.12,17764,0,0,0,0
9300,0.12,17744,0,0,0,0
9400,0.12,17820,0,0,0,0
9500,0.11,17872,0,0,0,0
9600,0.12,19012,0,0,0,0
9700,0.12,18992,0,0,0,0
9800,0.12,19132,0,0,0,0
9900,0.13,19656,0,0,0,0
10000,0.12,19660,0,0,0,0
10100,0.13,19676,0,0,0,0
10200,0.13,19660,0,0,0,0
10300,0.13,19656,0,0,0,0
10400,0.13,19660,0,0,0,0
10500,0.13,19692,0,0,0,0
10600,0.13,19932,0,0,0,0
10700,0.14,20944,0,0,0,0
10800,0.14,20876,0,0,0,0
10900,0.13,20968,0,0,0,0
11000,0.14,20964,0,0,0,0
11100,0.14,20948,0,0,0,0
11200,0.14,20960,0,0,0,0
11300,0.14,20968,0,0,0,0
11400,0.14,20852,0,0,0,0
11500,0.14,20972,0,0,0,0
11600,0.14,20968,0,0,0,0
11700,0.14,20984,0,0,0,0
11800,0.15,22156,0,0,0,0
11900,0.17,22092,0,0,0,0
12000,0.17,22152,0,0,0,0
12100,0.17,22144,0,0,0,0
12200,0.16,22156,0,0,0,0
12300,0.16,21948,0,0,0,0
12400,0.17,22248,0,0,0,0
12500,0.15,22120,0,0,0,0
12600,0.16,22140,0,0,0,0
12700,0.15,22116,0,0,0,0
12800,0.16,22148,0,0,0,0
12900,0.16,22144,0,0,0,0
13000,0.16,22316,0,0,0,0
13100,0.16,23480,0,0,0,0
