n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2304,0,0,0,0
200,0.00,2560,0,0,0,0
300,0.00,2688,0,0,0,0
400,0.00,2944,0,0,0,0
500,0.01,3200,0,0,0,0
600,0.01,3328,0,0,0,0
700,0.01,3584,0,0,0,0
800,0.01,3840,0,0,0,0
900,0.01,3968,0,0,0,0
1000,0.01,4352,0,0,0,0
1100,0.01,4480,0,0,0,0
1200,0.02,4608,0,0,0,0
1300,0.02,4864,0,0,0,0
1400,0.02,5248,0,0,0,0
1500,0.02,5248,0,0,0,0
1600,0.02,5604,0,0,0,0
1700,0.02,5612,0,0,0,0
1800,0.02,5956,0,0,0,0
1900,0.02,5956,0,0,0,0
2000,0.03,6580,0,0,0,0
2100,0.03,6584,0,0,0,0
2200,0.03,6660,0,0,0,0
2300,0.03,7172,0,0,0,0
2400,0.03,7052,0,0,0,0
2500,0.03,7348,0,0,0,0
2600,0.03,7592,0,0,0,0
2700,0.03,7596,0,0,0,0
2800,0.04,7860,0,0,0,0
2900,0.04,8240,0,0,0,0
3000,0.04,8248,0,0,0,0
3100,0.04,8304,0,0,0,0
3200,0.04,8816,0,0,0,0
3300,0.04,8804,0,0,0,0
3400,0.04,8744,0,0,0,0
3500,0.04,9040,0,0,0,0
3600,0.05,9524,0,0,0,0
3700,0.05,9556,0,0,0,0
3800,0.05,9472,0,0,0,0
3900,0.05,9676,0,0,0,0
4000,0.05,10200,0,0,0,0
4100,0.05,10196,0,0,0,0
4200,0.06,10636,0,0,0,0
4300,0.06,10584,0,0,0,0
4400,0.07,10900,0,0,0,0
4500,0.06,11352,0,0,0,0
4600,0.06,11400,0,0,0,0
4700,0.06,11328,0,0,0,0
4800,0.06,11432,0,0,0,0
4900,0.06,11532,0,0,0,0
5000,0.07,12292,0,0,0,0
5100,0.07,12320,0,0,0,0
5200,0.07,12196,0,0,0,0
5300,0.07,12292,0,0,0,0
5400,0.07,12280,0,0,0,0
5500,0.07,12624,0,0,0,0
5600,0.07,13140,0,0,0,0
5700,0.07,13132,0,0,0,0
5800,0.07,13128,0,0,0,0
5900,0.07,13124,0,0,0,0
6000,0.08,13124,0,0,0,0
6100,0.08,13388,0,0,0,0
6200,0.08,14196,0,0,0,0
6300,0.08,14280,0,0,0,0
6400,0.08,14288,0,0,0,0
