n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2044,0,0,0,0
200,0.00,2044,0,0,0,0
300,0.00,2044,0,0,0,0
400,0.00,2044,0,0,0,0
500,0.00,2044,0,0,0,0
600,0.01,2044,0,0,0,0
700,0.01,2044,0,0,0,0
800,0.01,2044,0,0,0,0
900,0.01,2044,0,0,0,0
1000,0.01,2044,0,0,0,0
1100,0.01,2044,0,0,0,0
1200,0.01,2044,0,0,0,0
1300,0.02,2044,0,0,0,0
1400,0.02,2044,0,0,0,0
1500,0.02,2044,0,0,0,0
1600,0.02,2044,0,0,0,0
1700,0.02,2044,0,0,0,0
1800,0.02,2044,0,0,0,0
1900,0.02,2044,0,0,0,0
2000,0.02,2044,0,0,0,0
2100,0.02,2044,0,0,0,0
2200,0.03,2044,0,0,0,0
2300,0.03,2044,0,0,0,0
2400,0.03,2044,0,0,0,0
2500,0.03,2044,0,0,0,0
2600,0.03,2044,0,0,0,0
2700,0.03,2044,0,0,0,0
2800,0.03,2044,0,0,0,0
2900,0.03,2044,0,0,0,0
3000,0.04,2044,0,0,0,0
3100,0.04,2044,0,0,0,0
3200,0.04,2044,0,0,0,0
3300,0.04,2044,0,0,0,0
3400,0.04,2044,0,0,0,0
3500,0.04,2044,0,0,0,0
3600,0.04,2044,0,0,0,0
3700,0.05,2044,0,0,0,0
3800,0.05,2044,0,0,0,0
3900,0.05,2044,0,0,0,0
4000,0.05,2044,0,0,0,0
4100,0.05,2044,0,0,0,0
4200,0.05,2044,0,0,0,0
4300,0.05,2044,0,0,0,0
4400,0.05,2044,0,0,0,0
4500,0.06,2044,0,0,0,0
4600,0.06,2044,0,0,0,0
4700,0.06,2044,0,0,0,0
4800,0.06,2044,0,0,0,0
4900,0.06,2044,0,0,0,0
5000,0.06,2044,0,0,0,0
5100,0.06,2044,0,0,0,0
5200,0.06,2044,0,0,0,0
5300,0.06,2044,0,0,0,0
5400,0.07,2044,0,0,0,0
5500,0.07,2044,0,0,0,0
5600,0.07,2044,0,0,0,0
5700,0.07,2044,0,0,0,0
5800,0.07,2044,0,0,0,0
5900,0.07,2044,0,0,0,0
6000,0.07,2044,0,0,0,0
6100,0.07,2044,0,0,0,0
6200,0.08,2044,0,0,0,0
6300,0.08,2044,0,0,0,0
6400,0.08,2044,0,0,0,0
6500,0.08,2044,0,0,0,0
6600,0.08,2044,0,0,0,0
6700,0.08,2044,0,0,0,0
6800,0.08,2044,0,0,0,0
6900,0.08,2044,0,0,0,0
7000,0.08,2044,0,0,0,0
7100,0.09,2044,0,0,0,0
7200,0.09,2044,0,0,0,0
7300,0.09,2044,0,0,0,0
7400,0.09,2044,0,0,0,0
7500,0.09,2044,0,0,0,0
7600,0.09,2044,0,0,0,0
7700,0.09,2044,0,0,0,0
7800,0.09,2044,0,0,0,0
7900,0.09,2044,0,0,0,0
8000,0.10,2044,0,0,0,0
8100,0.10,2044,0,0,0,0
8200,0.10,2044,0,0,0,0
8300,0.10,2044,0,0,0,0
8400,0.10,2044,0,0,0,0
8500,0.10,2044,0,0,0,0
8600,0.10,2044,0,0,0,0
8700,0.10,2044,0,0,0,0
8800,0.11,2044,0,0,0,0
8900,0.11,2044,0,0,0,0
9000,0.11,2044,0,0,0,0
9100,0.11,2044,0,0,0,0
9200,0.11,2044,0,0,0,0
9300,0.11,2044,0,0,0,0
9400,0.11,2044,0,0,0,0
9500,0.12,2044,0,0,0,0
9600,0.12,2044,0,0,0,0
9700,0.12,2044,0,0,0,0
9800,0.12,2044,0,0,0,0
9900,0.12,2044,0,0,0,0
10000,0.13,2044,0,0,0,0
10100,0.13,2044,0,0,0,0
10200,0.13,2044,0,0,0,0
10300,0.13,2044,0,0,0,0
10400,0.13,2044,0,0,0,0
10500,0.13,2044,0,0,0,0
10600,0.13,2044,0,0,0,0
10700,0.13,2044,0,0,0,0
10800,0.13,2044,0,0,0,0
