n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2300,0,0,0,0
200,0.00,2556,0,0,0,0
300,0.00,2812,0,0,0,0
400,0.00,2940,0,0,0,0
500,0.01,3196,0,0,0,0
600,0.01,3324,0,0,0,0
700,0.01,3580,0,0,0,0
800,0.01,3836,0,0,0,0
900,0.01,3964,0,0,0,0
1000,0.01,4348,0,0,0,0
1100,0.01,4476,0,0,0,0
1200,0.01,4604,0,0,0,0
1300,0.02,4988,0,0,0,0
1400,0.02,4988,0,0,0,0
1500,0.02,5216,0,0,0,0
1600,0.02,5628,0,0,0,0
1700,0.02,5596,0,0,0,0
1800,0.02,5984,0,0,0,0
1900,0.02,5968,0,0,0,0
2000,0.03,6620,0,0,0,0
2100,0.03,6604,0,0,0,0
2200,0.03,6664,0,0,0,0
2300,0.03,7196,0,0,0,0
2400,0.03,7180,0,0,0,0
2500,0.03,7248,0,0,0,0
2600,0.03,7640,0,0,0,0
2700,0.03,7652,0,0,0,0
2800,0.04,7776,0,0,0,0
2900,0.04,8284,0,0,0,0
3000,0.04,8276,0,0,0,0
3100,0.04,8280,0,0,0,0
3200,0.04,8848,0,0,0,0
3300,0.04,8852,0,0,0,0
3400,0.04,8840,0,0,0,0
3500,0.05,8920,0,0,0,0
3600,0.05,9584,0,0,0,0
3700,0.05,9584,0,0,0,0
3800,0.05,9588,0,0,0,0
3900,0.05,9596,0,0,0,0
4000,0.05,10252,0,0,0,0
4100,0.05,10236,0,0,0,0
4200,0.06,10672,0,0,0,0
4300,0.06,10716,0,0,0,0
4400,0.06,10804,0,0,0,0
4500,0.07,11420,0,0,0,0
4600,0.06,11424,0,0,0,0
4700,0.06,11420,0,0,0,0
4800,0.06,11432,0,0,0,0
4900,0.06,11596,0,0,0,0
5000,0.07,12360,0,0,0,0
5100,0.07,12348,0,0,0,0
5200,0.07,12336,0,0,0,0
5300,0.07,12352,0,0,0,0
5400,0.07,12340,0,0,0,0
5500,0.07,12540,0,0,0,0
5600,0.07,13308,0,0,0,0
5700,0.07,13304,0,0,0,0
5800,0.07,13308,0,0,0,0
5900,0.07,13312,0,0,0,0
6000,0.08,13304,0,0,0,0
6100,0.08,13312,0,0,0,0
6200,0.08,13716,0,0,0,0
6300,0.08,14348,0,0,0,0
6400,0.08,14352,0,0,0,0
6500,0.08,14332,0,0,0,0
6600,0.08,14344,0,0,0,0
6700,0.08,14360,0,0,0,0
6800,0.08,14256,0,0,0,0
6900,0.08,14588,0,0,0,0
7000,0.09,15340,0,0,0,0
7100,0.09,15332,0,0,0,0
7200,0.09,15336,0,0,0,0
7300,0.09,15344,0,0,0,0
7400,0.09,15336,0,0,0,0
7500,0.09,15352,0,0,0,0
7600,0.09,15336,0,0,0,0
7700,0.09,15728,0,0,0,0
7800,0.10,16492,0,0,0,0
7900,0.10,16500,0,0,0,0
8000,0.10,16484,0,0,0,0
8100,0.10,16496,0,0,0,0
8200,0.10,16496,0,0,0,0
8300,0.10,16496,0,0,0,0
8400,0.10,16484,0,0,0,0
8500,0.10,16536,0,0,0,0
8600,0.10,16916,0,0,0,0
8700,0.11,17688,0,0,0,0
8800,0.11,17672,0,0,0,0
8900,0.11,17696,0,0,0,0
9000,0.12,17692,0,0,0,0
9100,0.11,17708,0,0,0,0
9200,0.12,17696,0,0,0,0
9300,0.12,17696,0,0,0,0
9400,0.12,17744,0,0,0,0
9500,0.11,17928,0,0,0,0
9600,0.12,18936,0,0,0,0
9700,0.12,18940,0,0,0,0
9800,0.12,18940,0,0,0,0
9900,0.12,19592,0,0,0,0
10000,0.12,19504,0,0,0,0
10100,0.13,19544,0,0,0,0
10200,0.13,19492,0,0,0,0
10300,0.13,19604,0,0,0,0
10400,0.13,19596,0,0,0,0
10500,0.13,19632,0,0,0,0
10600,0.13,19864,0,0,0,0
10700,0.13,20892,0,0,0,0
10800,0.14,20900,0,0,0,0
10900,0.13,20900,0,0,0,0
11000,0.14,20900,0,0,0,0
11100,0.14,20896,0,0,0,0
11200,0.14,20892,0,0,0,0
11300,0.14,20892,0,0,0,0
11400,0.14,20904,0,0,0,0
11500,0.14,20900,0,0,0,0
11600,0.14,20908,0,0,0,0
11700,0.14,20912,0,0,0,0
11800,0.14,22088,0,0,0,0
11900,0.15,22060,0,0,0,0
12000,0.17,22080,0,0,0,0
12100,0.16,22100,0,0,0,0
12200,0.16,22148,0,0,0,0
12300,0.15,22008,0,0,0,0
12400,0.15,22108,0,0,0,0
12500,0.15,22076,0,0,0,0
12600,0.15,22080,0,0,0,0
12700,0.16,22084,0,0,0,0
12800,0.15,22056,0,0,0,0
12900,0.15,22084,0,0,0,0
13000,0.16,22236,0,0,0,0
13100,0.16,23404,0,0,0,0
13200,0.16,23400,0,0,0,0
13300,0.16,23396,0,0,0,0
13400,0.16,23384,0,0,0,0
13500,0.16,23420,0,0,0,0
13600,0.16,23392,0,0,0,0
13700,0.16,23424,0,0,0,0
13800,0.17,23392,0,0,0,0
13900,0.17,23320,0,0,0,0
14000,0.17,23408,0,0,0,0
14100,0.17,23416,0,0,0,0
14200,0.17,23396,0,0,0,0
14300,0.18,23416,0,0,0,0
14400,0.17,24704,0,0,0,0
14500,0.17,24700,0,0,0,0
14600,0.18,24712,0,0,0,0
14700,0.18,24712,0,0,0,0
14800,0.18,24712,0,0,0,0
14900,0.18,24692,0,0,0,0
15000,0.18,24692,0,0,0,0
15100,0.18,24584,0,0,0,0
15200,0.18,24696,0,0,0,0
15300,0.18,24716,0,0,0,0
15400,0.18,24708,0,0,0,0
15500,0.18,24688,0,0,0,0
15600,0.19,24708,0,0,0,0
15700,0.18,24704,0,0,0,0
15800,0.20,25864,0,0,0,0
15900,0.19,25876,0,0,0,0
16000,0.20,25820,0,0,0,0
16100,0.19,25876,0,0,0,0
16200,0.19,25888,0,0,0,0
16300,0.19,25880,0,0,0,0
16400,0.20,25876,0,0,0,0
16500,0.20,25876,0,0,0,0
16600,0.20,25892,0,0,0,0
16700,0.20,25944,0,0,0,0
16800,0.20,25884,0,0,0,0
16900,0.20,25892,0,0,0,0
17000,0.20,25856,0,0,0,0
17100,0.20,25884,0,0,0,0
17200,0.20,25912,0,0,0,0
17300,0.21,27196,0,0,0,0
17400,0.21,27100,0,0,0,0
17500,0.21,27088,0,0,0,0
17600,0.21,27192,0,0,0,0
17700,0.21,27188,0,0,0,0
17800,0.21,27092,0,0,0,0
17900,0.21,27204,0,0,0,0
18000,0.22,27196,0,0,0,0
18100,0.21,27280,0,0,0,0
18200,0.22,27184,0,0,0,0
18300,0.21,27184,0,0,0,0
18400,0.22,27176,0,0,0,0
