n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2368,0,0,0,0
200,0.00,2624,0,0,0,0
300,0.00,2752,0,0,0,0
400,0.00,3008,0,0,0,0
500,0.01,3264,0,0,0,0
600,0.01,3520,0,0,0,0
700,0.01,3648,0,0,0,0
800,0.01,3904,0,0,0,0
900,0.01,4160,0,0,0,0
1000,0.01,4416,0,0,0,0
1100,0.01,4800,0,0,0,0
1200,0.01,4672,0,0,0,0
1300,0.02,4928,0,0,0,0
1400,0.02,5312,0,0,0,0
1500,0.02,5152,0,0,0,0
1600,0.02,5676,0,0,0,0
1700,0.02,5684,0,0,0,0
1800,0.02,6032,0,0,0,0
1900,0.02,6028,0,0,0,0
2000,0.03,6636,0,0,0,0
2100,0.03,6632,0,0,0,0
2200,0.03,6728,0,0,0,0
2300,0.03,7228,0,0,0,0
2400,0.03,7232,0,0,0,0
2500,0.03,7296,0,0,0,0
2600,0.03,7680,0,0,0,0
2700,0.03,7668,0,0,0,0
2800,0.03,7920,0,0,0,0
2900,0.04,8324,0,0,0,0
3000,0.04,8360,0,0,0,0
3100,0.04,8336,0,0,0,0
3200,0.04,8860,0,0,0,0
3300,0.04,8860,0,0,0,0
3400,0.05,8852,0,0,0,0
3500,0.04,9096,0,0,0,0
3600,0.05,9608,0,0,0,0
3700,0.05,9492,0,0,0,0
3800,0.05,9608,0,0,0,0
3900,0.05,9620,0,0,0,0
4000,0.05,10248,0,0,0,0
4100,0.05,10272,0,0,0,0
4200,0.05,10736,0,0,0,0
4300,0.05,10708,0,0,0,0
4400,0.06,10780,0,0,0,0
4500,0.06,11368,0,0,0,0
4600,0.06,11484,0,0,0,0
4700,0.06,11488,0,0,0,0
4800,0.06,11460,0,0,0,0
4900,0.06,11588,0,0,0,0
5000,0.06,12356,0,0,0,0
5100,0.07,12360,0,0,0,0
5200,0.07,12348,0,0,0,0
5300,0.07,12348,0,0,0,0
5400,0.07,12364,0,0,0,0
5500,0.07,12660,0,0,0,0
5600,0.07,13188,0,0,0,0
5700,0.07,13184,0,0,0,0
5800,0.07,13184,0,0,0,0
5900,0.07,13188,0,0,0,0
6000,0.08,13132,0,0,0,0
6100,0.08,13396,0,0,0,0
6200,0.08,14344,0,0,0,0
6300,0.08,14344,0,0,0,0
6400,0.08,14352,0,0,0,0
6500,0.08,14340,0,0,0,0
6600,0.08,14340,0,0,0,0
6700,0.08,14348,0,0,0,0
6800,0.10,14344,0,0,0,0
6900,0.09,15320,0,0,0,0
7000,0.10,15280,0,0,0,0
7100,0.09,15332,0,0,0,0
7200,0.09,15224,0,0,0,0
7300,0.09,15284,0,0,0,0
7400,0.09,15324,0,0,0,0
7500,0.09,15332,0,0,0,0
7600,0.09,15552,0,0,0,0
7700,0.10,16500,0,0,0,0
7800,0.10,16440,0,0,0,0
7900,0.10,16472,0,0,0,0
8000,0.10,16492,0,0,0,0
8100,0.10,16460,0,0,0,0
8200,0.10,16488,0,0,0,0
8300,0.10,16496,0,0,0,0
8400,0.10,16508,0,0,0,0
8500,0.10,16656,0,0,0,0
8600,0.11,17676,0,0,0,0
8700,0.11,17672,0,0,0,0
8800,0.11,17676,0,0,0,0
8900,0.12,17680,0,0,0,0
9000,0.11,17680,0,0,0,0
9100,0.11,17684,0,0,0,0
9200,0.12,17680,0,0,0,0
9300,0.11,17672,0,0,0,0
9400,0.11,17792,0,0,0,0
9500,0.12,17956,0,0,0,0
9600,0.12,18892,0,0,0,0
9700,0.12,18916,0,0,0,0
9800,0.12,18920,0,0,0,0
9900,0.12,19584,0,0,0,0
10000,0.12,19584,0,0,0,0
10100,0.12,19592,0,0,0,0
10200,0.12,19584,0,0,0,0
10300,0.13,19600,0,0,0,0
10400,0.14,19592,0,0,0,0
10500,0.15,19704,0,0,0,0
10600,0.14,20892,0,0,0,0
10700,0.14,20792,0,0,0,0
10800,0.14,20784,0,0,0,0
10900,0.14,20792,0,0,0,0
11000,0.14,20792,0,0,0,0
11100,0.14,20692,0,0,0,0
11200,0.14,20788,0,0,0,0
11300,0.14,20784,0,0,0,0
11400,0.14,20800,0,0,0,0
11500,0.18,20744,0,0,0,0
11600,0.15,20900,0,0,0,0
11700,0.15,22100,0,0,0,0
11800,0.15,22064,0,0,0,0
11900,0.15,22064,0,0,0,0
12000,0.15,22064,0,0,0,0
12100,0.16,22068,0,0,0,0
12200,0.16,22024,0,0,0,0
12300,0.15,21936,0,0,0,0
12400,0.15,22052,0,0,0,0
12500,0.16,22028,0,0,0,0
12600,0.16,22080,0,0,0,0
12700,0.16,22052,0,0,0,0
12800,0.16,22064,0,0,0,0
12900,0.16,22228,0,0,0,0
13000,0.17,23392,0,0,0,0
13100,0.17,23384,0,0,0,0
