n,time,memory,collisions,hash_calls,table_get,table_insert
1,0.00,1984,0,0,0,0
1001,0.01,3264,0,0,0,0
2001,0.01,4544,0,0,0,0
3001,0.02,5424,0,0,0,0
4001,0.03,6176,0,0,0,0
5001,0.04,7472,0,0,0,0
6001,0.05,8308,0,0,0,0
7001,0.06,9424,0,0,0,0
8001,0.06,10236,0,0,0,0
9001,0.07,10936,0,0,0,0
10001,0.08,11956,0,0,0,0
11001,0.08,12408,0,0,0,0
12001,0.09,13196,0,0,0,0
13001,0.10,13968,0,0,0,0
14001,0.10,13968,0,0,0,0
15001,0.11,14828,0,0,0,0
16001,0.12,14752,0,0,0,0
17001,0.12,15568,0,0,0,0
18001,0.13,15656,0,0,0,0
19001,0.14,16416,0,0,0,0
20001,0.14,16416,0,0,0,0
21001,0.15,17212,0,0,0,0
22001,0.16,17204,0,0,0,0
23001,0.17,17940,0,0,0,0
24001,0.17,17936,0,0,0,0
25001,0.18,17940,0,0,0,0
26001,0.18,18608,0,0,0,0
27001,0.19,18652,0,0,0,0
28001,0.20,19300,0,0,0,0
29001,0.20,19300,0,0,0,0
30001,0.21,19268,0,0,0,0
31001,0.21,19872,0,0,0,0
32001,0.22,19780,0,0,0,0
33001,0.22,19768,0,0,0,0
34001,0.23,20400,0,0,0,0
35001,0.24,20396,0,0,0,0
36001,0.24,20388,0,0,0,0
37001,0.25,20800,0,0,0,0
38001,0.26,20840,0,0,0,0
39001,0.26,20848,0,0,0,0
40001,0.27,21052,0,0,0,0
41001,0.27,21136,0,0,0,0
42001,0.28,21052,0,0,0,0
43001,0.29,21480,0,0,0,0
44001,0.29,21480,0,0,0,0
45001,0.30,21480,0,0,0,0
46001,0.31,21692,0,0,0,0
47001,0.31,21708,0,0,0,0
48001,0.32,21692,0,0,0,0
49001,0.32,21984,0,0,0,0
50001,0.33,21984,0,0,0,0
51001,0.34,21984,0,0,0,0
52001,0.34,21992,0,0,0,0
53001,0.35,22120,0,0,0,0
54001,0.36,22116,0,0,0,0
55001,0.36,22116,0,0,0,0
56001,0.36,22240,0,0,0,0
57001,0.37,22256,0,0,0,0
58001,0.37,23824,0,0,0,0
59001,0.38,23776,0,0,0,0
60001,0.39,23824,0,0,0,0
61001,0.39,23832,0,0,0,0
62001,0.40,23812,0,0,0,0
63001,0.42,23836,0,0,0,0
64001,0.42,23816,0,0,0,0
65001,0.42,23824,0,0,0,0
66001,0.42,23824,0,0,0,0
67001,0.43,23820,0,0,0,0
68001,0.43,23828,0,0,0,0
69001,0.44,23828,0,0,0,0
70001,0.45,23860,0,0,0,0
71001,0.45,23776,0,0,0,0
72001,0.46,23852,0,0,0,0
73001,0.47,23888,0,0,0,0
74001,0.47,23884,0,0,0,0
75001,0.48,23872,0,0,0,0
76001,0.48,23876,0,0,0,0
77001,0.49,23880,0,0,0,0
78001,0.50,23900,0,0,0,0
79001,0.51,23904,0,0,0,0
80001,0.51,23908,0,0,0,0
81001,0.52,23896,0,0,0,0
82001,0.51,23916,0,0,0,0
83001,0.52,23908,0,0,0,0
84001,0.53,23920,0,0,0,0
85001,0.53,23912,0,0,0,0
86001,0.53,23916,0,0,0,0
87001,0.54,23908,0,0,0,0
88001,0.55,23908,0,0,0,0
89001,0.55,23876,0,0,0,0
90001,0.56,23908,0,0,0,0
91001,0.57,24052,0,0,0,0
92001,0.57,24040,0,0,0,0
93001,0.58,24012,0,0,0,0
94001,0.61,24064,0,0,0,0
95001,0.60,24060,0,0,0,0
96001,0.60,24056,0,0,0,0
97001,0.61,24068,0,0,0,0
98001,0.61,23948,0,0,0,0
99001,0.63,24060,0,0,0,0
