n,time,memory,collisions,hash_calls,table_get,table_insert
1,0.00,1920,0,0,0,0
1001,0.01,3200,0,0,0,0
2001,0.01,4480,0,0,0,0
3001,0.02,5360,0,0,0,0
4001,0.03,6120,0,0,0,0
5001,0.04,7412,0,0,0,0
6001,0.04,8232,0,0,0,0
7001,0.05,9372,0,0,0,0
8001,0.06,10172,0,0,0,0
9001,0.07,10880,0,0,0,0
10001,0.07,12100,0,0,0,0
11001,0.08,12348,0,0,0,0
12001,0.09,13108,0,0,0,0
13001,0.10,13896,0,0,0,0
14001,0.10,13920,0,0,0,0
15001,0.11,14680,0,0,0,0
16001,0.11,14684,0,0,0,0
17001,0.12,15572,0,0,0,0
18001,0.13,15576,0,0,0,0
19001,0.14,16360,0,0,0,0
20001,0.14,16356,0,0,0,0
21001,0.15,17048,0,0,0,0
22001,0.16,17132,0,0,0,0
23001,0.16,17876,0,0,0,0
24001,0.17,17868,0,0,0,0
25001,0.17,17860,0,0,0,0
26001,0.19,18484,0,0,0,0
27001,0.18,18588,0,0,0,0
28001,0.19,19220,0,0,0,0
29001,0.20,19220,0,0,0,0
30001,0.20,19152,0,0,0,0
31001,0.22,19764,0,0,0,0
32001,0.22,19828,0,0,0,0
33001,0.22,19740,0,0,0,0
34001,0.23,20324,0,0,0,0
35001,0.24,20336,0,0,0,0
36001,0.24,20332,0,0,0,0
37001,0.25,20664,0,0,0,0
38001,0.26,20696,0,0,0,0
39001,0.27,20672,0,0,0,0
40001,0.27,21084,0,0,0,0
41001,0.27,21084,0,0,0,0
42001,0.28,21104,0,0,0,0
43001,0.29,21404,0,0,0,0
44001,0.29,21400,0,0,0,0
45001,0.30,21416,0,0,0,0
46001,0.30,21620,0,0,0,0
47001,0.31,21644,0,0,0,0
48001,0.32,21636,0,0,0,0
49001,0.33,21912,0,0,0,0
50001,0.33,21792,0,0,0,0
51001,0.34,21908,0,0,0,0
52001,0.34,21916,0,0,0,0
53001,0.35,22016,0,0,0,0
54001,0.35,22004,0,0,0,0
55001,0.36,22052,0,0,0,0
56001,0.37,22180,0,0,0,0
57001,0.38,22176,0,0,0,0
58001,0.38,23736,0,0,0,0
59001,0.38,23760,0,0,0,0
60001,0.40,23688,0,0,0,0
61001,0.39,23764,0,0,0,0
62001,0.40,23744,0,0,0,0
63001,0.43,23768,0,0,0,0
64001,0.42,23768,0,0,0,0
65001,0.45,23772,0,0,0,0
66001,0.44,23772,0,0,0,0
67001,0.43,23772,0,0,0,0
68001,0.44,23660,0,0,0,0
69001,0.44,23764,0,0,0,0
70001,0.46,23744,0,0,0,0
71001,0.46,23780,0,0,0,0
72001,0.46,23756,0,0,0,0
73001,0.47,23828,0,0,0,0
74001,0.48,23836,0,0,0,0
75001,0.49,23840,0,0,0,0
76001,0.49,23836,0,0,0,0
77001,0.50,23836,0,0,0,0
78001,0.51,23796,0,0,0,0
79001,0.51,23828,0,0,0,0
80001,0.52,23864,0,0,0,0
81001,0.52,23752,0,0,0,0
82001,0.53,23808,0,0,0,0
83001,0.53,23852,0,0,0,0
84001,0.54,23856,0,0,0,0
85001,0.55,23848,0,0,0,0
86001,0.56,23856,0,0,0,0
87001,0.56,23856,0,0,0,0
88001,0.57,23840,0,0,0,0
89001,0.57,23864,0,0,0,0
90001,0.58,23972,0,0,0,0
91001,0.58,23976,0,0,0,0
92001,0.59,23872,0,0,0,0
93001,0.59,23968,0,0,0,0
94001,0.61,23976,0,0,0,0
95001,0.61,23892,0,0,0,0
96001,0.62,23984,0,0,0,0
97001,0.63,23988,0,0,0,0
98001,0.65,23932,0,0,0,0
99001,0.65,23984,0,0,0,0
