n,time,memory,collisions,hash_calls,table_get,table_insert
1,0.00,1916,0,0,0,0
1001,0.01,1916,0,0,0,0
2001,0.02,1916,0,0,0,0
3001,0.03,1916,0,0,0,0
4001,0.04,1916,0,0,0,0
5001,0.05,1916,0,0,0,0
6001,0.06,1916,0,0,0,0
7001,0.07,1916,0,0,0,0
8001,0.08,1916,0,0,0,0
9001,0.09,1916,0,0,0,0
10001,0.10,1916,0,0,0,0
11001,0.11,1916,0,0,0,0
12001,0.12,1916,0,0,0,0
13001,0.13,1916,0,0,0,0
14001,0.14,1916,0,0,0,0
15001,0.15,1916,0,0,0,0
16001,0.16,1916,0,0,0,0
17001,0.17,1916,0,0,0,0
18001,0.19,1916,0,0,0,0
19001,0.20,1916,0,0,0,0
20001,0.21,1916,0,0,0,0
21001,0.21,1916,0,0,0,0
22001,0.22,1916,0,0,0,0
23001,0.23,1916,0,0,0,0
24001,0.24,1916,0,0,0,0
25001,0.25,1916,0,0,0,0
26001,0.27,1916,0,0,0,0
27001,0.28,1916,0,0,0,0
28001,0.29,1916,0,0,0,0
29001,0.30,1916,0,0,0,0
30001,0.31,1916,0,0,0,0
31001,0.32,1916,0,0,0,0
32001,0.33,1916,0,0,0,0
33001,0.34,1916,0,0,0,0
34001,0.35,1916,0,0,0,0
35001,0.36,1916,0,0,0,0
36001,0.37,1916,0,0,0,0
37001,0.39,1916,0,0,0,0
38001,0.40,1916,0,0,0,0
39001,0.40,1916,0,0,0,0
40001,0.42,1916,0,0,0,0
41001,0.42,1916,0,0,0,0
42001,0.43,1916,0,0,0,0
43001,0.44,1916,0,0,0,0
44001,0.46,1916,0,0,0,0
45001,0.47,1916,0,0,0,0
46001,0.47,1916,0,0,0,0
47001,0.49,1916,0,0,0,0
48001,0.50,1916,0,0,0,0
49001,0.51,1916,0,0,0,0
50001,0.51,1916,0,0,0,0
51001,0.53,1916,0,0,0,0
52001,0.53,1916,0,0,0,0
53001,0.55,1916,0,0,0,0
54001,0.56,1916,0,0,0,0
55001,0.57,1916,0,0,0,0
56001,0.58,1916,0,0,0,0
57001,0.58,1916,0,0,0,0
58001,0.61,1916,0,0,0,0
59001,0.62,1916,0,0,0,0
60001,0.62,1916,0,0,0,0
61001,0.63,1916,0,0,0,0
62001,0.64,1916,0,0,0,0
63001,0.66,1916,0,0,0,0
64001,0.66,1916,0,0,0,0
65001,0.67,1916,0,0,0,0
66001,0.69,1916,0,0,0,0
67001,0.69,1916,0,0,0,0
68001,0.70,1916,0,0,0,0
69001,0.71,1916,0,0,0,0
70001,0.73,1916,0,0,0,0
71001,0.73,1916,0,0,0,0
72001,0.75,1916,0,0,0,0
73001,0.76,1916,0,0,0,0
74001,0.76,1916,0,0,0,0
75001,0.77,1916,0,0,0,0
76001,0.79,1916,0,0,0,0
77001,0.79,1916,0,0,0,0
78001,0.81,1916,0,0,0,0
79001,0.82,1916,0,0,0,0
80001,0.83,1916,0,0,0,0
81001,0.84,1916,0,0,0,0
82001,0.85,1916,0,0,0,0
83001,0.86,1916,0,0,0,0
84001,0.87,1916,0,0,0,0
85001,0.88,1916,0,0,0,0
86001,0.86,1916,0,0,0,0
87001,0.90,1916,0,0,0,0
88001,0.91,1916,0,0,0,0
89001,0.91,1916,0,0,0,0
90001,0.93,1916,0,0,0,0
91001,0.93,1916,0,0,0,0
92001,0.94,1916,0,0,0,0
93001,0.96,1916,0,0,0,0
94001,0.98,1916,0,0,0,0
95001,0.99,1916,0,0,0,0
96001,1.00,1916,0,0,0,0
97001,1.00,1916,0,0,0,0
98001,1.01,1916,0,0,0,0
99001,1.02,1916,0,0,0,0
