n,time,memory,collisions,hash_calls,table_get,table_insert
1,0.00,1916,0,0,0,0
1001,0.01,3196,0,0,0,0
2001,0.01,4476,0,0,0,0
3001,0.02,5364,0,0,0,0
4001,0.03,6120,0,0,0,0
5001,0.04,7412,0,0,0,0
6001,0.04,8212,0,0,0,0
7001,0.05,9348,0,0,0,0
8001,0.06,10156,0,0,0,0
9001,0.07,10852,0,0,0,0
10001,0.08,11976,0,0,0,0
11001,0.08,12272,0,0,0,0
12001,0.09,13132,0,0,0,0
13001,0.10,13880,0,0,0,0
14001,0.10,13912,0,0,0,0
15001,0.11,14696,0,0,0,0
16001,0.11,14696,0,0,0,0
17001,0.12,15584,0,0,0,0
18001,0.13,15592,0,0,0,0
19001,0.14,16352,0,0,0,0
20001,0.14,16360,0,0,0,0
21001,0.15,17128,0,0,0,0
22001,0.15,17132,0,0,0,0
23001,0.16,17876,0,0,0,0
24001,0.17,17872,0,0,0,0
25001,0.17,17868,0,0,0,0
26001,0.18,18584,0,0,0,0
27001,0.19,18696,0,0,0,0
28001,0.19,19220,0,0,0,0
29001,0.20,19212,0,0,0,0
30001,0.20,19216,0,0,0,0
31001,0.21,19800,0,0,0,0
32001,0.21,19804,0,0,0,0
33001,0.22,19800,0,0,0,0
34001,0.23,20328,0,0,0,0
35001,0.23,20328,0,0,0,0
36001,0.23,20288,0,0,0,0
37001,0.25,20776,0,0,0,0
38001,0.25,20776,0,0,0,0
39001,0.25,20788,0,0,0,0
40001,0.27,20972,0,0,0,0
41001,0.27,21032,0,0,0,0
42001,0.27,21060,0,0,0,0
43001,0.28,21380,0,0,0,0
44001,0.28,21416,0,0,0,0
45001,0.29,21420,0,0,0,0
46001,0.30,21652,0,0,0,0
47001,0.31,21632,0,0,0,0
48001,0.32,21648,0,0,0,0
49001,0.32,21912,0,0,0,0
50001,0.32,21920,0,0,0,0
51001,0.33,21868,0,0,0,0
52001,0.33,21916,0,0,0,0
53001,0.34,22060,0,0,0,0
54001,0.34,22060,0,0,0,0
55001,0.35,22064,0,0,0,0
56001,0.36,22204,0,0,0,0
57001,0.36,22200,0,0,0,0
58001,0.37,23764,0,0,0,0
59001,0.37,23760,0,0,0,0
60001,0.38,23764,0,0,0,0
61001,0.39,23768,0,0,0,0
62001,0.39,23756,0,0,0,0
63001,0.41,23744,0,0,0,0
64001,0.41,23752,0,0,0,0
65001,0.41,23760,0,0,0,0
66001,0.42,23772,0,0,0,0
67001,0.42,23760,0,0,0,0
68001,0.42,23736,0,0,0,0
69001,0.43,23768,0,0,0,0
70001,0.45,23764,0,0,0,0
71001,0.44,23780,0,0,0,0
72001,0.46,23800,0,0,0,0
73001,0.46,23820,0,0,0,0
74001,0.46,23816,0,0,0,0
75001,0.46,23752,0,0,0,0
76001,0.47,23812,0,0,0,0
77001,0.48,23840,0,0,0,0
78001,0.48,23828,0,0,0,0
79001,0.48,23836,0,0,0,0
80001,0.49,23836,0,0,0,0
81001,0.50,23852,0,0,0,0
82001,0.50,23844,0,0,0,0
83001,0.51,23832,0,0,0,0
84001,0.52,23736,0,0,0,0
85001,0.53,23844,0,0,0,0
86001,0.52,23844,0,0,0,0
87001,0.53,23836,0,0,0,0
88001,0.54,23848,0,0,0,0
89001,0.55,23844,0,0,0,0
90001,0.54,23952,0,0,0,0
91001,0.56,23960,0,0,0,0
92001,0.55,23976,0,0,0,0
93001,0.56,23980,0,0,0,0
94001,0.57,24000,0,0,0,0
95001,0.58,23992,0,0,0,0
96001,0.59,23984,0,0,0,0
97001,0.58,23992,0,0,0,0
98001,0.60,23988,0,0,0,0
99001,0.59,24000,0,0,0,0
