n,time,memory,collisions,hash_calls,table_get,table_insert
1,0.00,1856,0,0,0,0
1001,0.01,3136,0,0,0,0
2001,0.01,4416,0,0,0,0
3001,0.02,5300,0,0,0,0
4001,0.03,6080,0,0,0,0
5001,0.04,7336,0,0,0,0
6001,0.05,8168,0,0,0,0
7001,0.06,9312,0,0,0,0
8001,0.06,10092,0,0,0,0
9001,0.07,10792,0,0,0,0
10001,0.08,12032,0,0,0,0
11001,0.09,12280,0,0,0,0
12001,0.09,12932,0,0,0,0
13001,0.10,13824,0,0,0,0
14001,0.10,13828,0,0,0,0
15001,0.11,14616,0,0,0,0
16001,0.12,14620,0,0,0,0
17001,0.13,15512,0,0,0,0
18001,0.13,15508,0,0,0,0
19001,0.14,16284,0,0,0,0
20001,0.14,16308,0,0,0,0
21001,0.15,17072,0,0,0,0
22001,0.16,17064,0,0,0,0
23001,0.17,17700,0,0,0,0
24001,0.17,17688,0,0,0,0
25001,0.18,17800,0,0,0,0
26001,0.18,18456,0,0,0,0
27001,0.19,18524,0,0,0,0
28001,0.20,19152,0,0,0,0
29001,0.20,19160,0,0,0,0
30001,0.22,19136,0,0,0,0
31001,0.22,19732,0,0,0,0
32001,0.22,19628,0,0,0,0
33001,0.23,19648,0,0,0,0
34001,0.23,20264,0,0,0,0
35001,0.24,20272,0,0,0,0
36001,0.24,20244,0,0,0,0
37001,0.26,20604,0,0,0,0
38001,0.27,20612,0,0,0,0
39001,0.27,20568,0,0,0,0
40001,0.27,20988,0,0,0,0
41001,0.27,21012,0,0,0,0
42001,0.28,21004,0,0,0,0
43001,0.29,21352,0,0,0,0
44001,0.30,21440,0,0,0,0
45001,0.31,21344,0,0,0,0
46001,0.31,21600,0,0,0,0
47001,0.32,21584,0,0,0,0
48001,0.32,21588,0,0,0,0
49001,0.33,21844,0,0,0,0
50001,0.35,21852,0,0,0,0
51001,0.34,21860,0,0,0,0
52001,0.35,21764,0,0,0,0
53001,0.36,21984,0,0,0,0
54001,0.36,22000,0,0,0,0
55001,0.39,21996,0,0,0,0
56001,0.37,22096,0,0,0,0
57001,0.39,22120,0,0,0,0
58001,0.38,23672,0,0,0,0
59001,0.41,23688,0,0,0,0
60001,0.40,23616,0,0,0,0
61001,0.42,23668,0,0,0,0
62001,0.41,23700,0,0,0,0
63001,0.41,23688,0,0,0,0
64001,0.42,23696,0,0,0,0
65001,0.42,23624,0,0,0,0
66001,0.44,23676,0,0,0,0
67001,0.44,23636,0,0,0,0
68001,0.45,23684,0,0,0,0
69001,0.45,23648,0,0,0,0
70001,0.45,23716,0,0,0,0
71001,0.46,23708,0,0,0,0
72001,0.47,23688,0,0,0,0
73001,0.47,23768,0,0,0,0
74001,0.48,23684,0,0,0,0
75001,0.48,23768,0,0,0,0
76001,0.50,23764,0,0,0,0
77001,0.50,23780,0,0,0,0
78001,0.51,23700,0,0,0,0
79001,0.51,23680,0,0,0,0
80001,0.52,23676,0,0,0,0
81001,0.53,23788,0,0,0,0
82001,0.53,23764,0,0,0,0
83001,0.53,23776,0,0,0,0
84001,0.55,23796,0,0,0,0
85001,0.56,23780,0,0,0,0
86001,0.56,23788,0,0,0,0
87001,0.57,23780,0,0,0,0
88001,0.58,23824,0,0,0,0
89001,0.57,23776,0,0,0,0
90001,0.57,23816,0,0,0,0
91001,0.61,23804,0,0,0,0
92001,0.59,23792,0,0,0,0
93001,0.59,23784,0,0,0,0
94001,0.60,23820,0,0,0,0
95001,0.61,23900,0,0,0,0
96001,0.61,23900,0,0,0,0
97001,0.65,23916,0,0,0,0
98001,0.66,23916,0,0,0,0
99001,0.67,23900,0,0,0,0
