n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2496,0,0,0,0
2100,0.07,10088,0,0,0,0
4100,0.12,15320,0,0,0,0
6100,0.18,19220,0,0,0,0
8100,0.24,22128,0,0,0,0
10100,0.29,25728,0,0,0,0
12100,0.38,27112,0,0,0,0
14100,0.43,28192,0,0,0,0
16100,0.48,29084,0,0,0,0
18100,0.52,29596,0,0,0,0
20100,0.60,29892,0,0,0,0
22100,0.67,30284,0,0,0,0
24100,0.74,30520,0,0,0,0
26100,0.82,30628,0,0,0,0
28100,0.83,30832,0,0,0,0
30100,0.86,30904,0,0,0,0
32100,0.91,30852,0,0,0,0
34100,0.96,30964,0,0,0,0
36100,1.02,30940,0,0,0,0
38100,1.18,31000,0,0,0,0
40100,1.24,31020,0,0,0,0
42100,1.49,30976,0,0,0,0
44100,1.83,30852,0,0,0,0
46100,1.76,30856,0,0,0,0
48100,1.51,31108,0,0,0,0
50100,1.53,31044,0,0,0,0
52100,1.68,30908,0,0,0,0
54100,1.59,31012,0,0,0,0
56100,1.64,31032,0,0,0,0
58100,1.64,30952,0,0,0,0
60100,1.73,30980,0,0,0,0
62100,1.84,31008,0,0,0,0
64100,2.07,31028,0,0,0,0
66100,2.23,30948,0,0,0,0
68100,1.89,30948,0,0,0,0
