n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2560,0,0,0,0
2100,0.07,10140,0,0,0,0
4100,0.12,15360,0,0,0,0
6100,0.18,19212,0,0,0,0
8100,0.24,22120,0,0,0,0
10100,0.30,25748,0,0,0,0
12100,0.35,27196,0,0,0,0
14100,0.41,28272,0,0,0,0
16100,0.47,29136,0,0,0,0
18100,0.53,29568,0,0,0,0
20100,0.59,30036,0,0,0,0
22100,0.64,30476,0,0,0,0
24100,0.69,30552,0,0,0,0
26100,0.77,30700,0,0,0,0
28100,0.80,30732,0,0,0,0
30100,0.87,30988,0,0,0,0
32100,0.91,30892,0,0,0,0
34100,0.98,31052,0,0,0,0
36100,1.02,30960,0,0,0,0
38100,1.10,31060,0,0,0,0
40100,1.15,31100,0,0,0,0
42100,1.23,31084,0,0,0,0
44100,1.26,31100,0,0,0,0
46100,1.54,31008,0,0,0,0
48100,2.06,31056,0,0,0,0
50100,1.62,31024,0,0,0,0
52100,1.64,31080,0,0,0,0
54100,1.76,31156,0,0,0,0
56100,1.87,31100,0,0,0,0
58100,2.42,31048,0,0,0,0
60100,2.06,31096,0,0,0,0
62100,2.30,31104,0,0,0,0
64100,2.32,31048,0,0,0,0
66100,2.90,30964,0,0,0,0
68100,2.70,31108,0,0,0,0
