n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2172,0,0,0,0
2100,0.06,2172,0,0,0,0
4100,0.12,2172,0,0,0,0
6100,0.18,2172,0,0,0,0
8100,0.23,2172,0,0,0,0
10100,0.30,2172,0,0,0,0
12100,0.35,2172,0,0,0,0
14100,0.41,2172,0,0,0,0
16100,0.47,2172,0,0,0,0
18100,0.52,2172,0,0,0,0
20100,0.58,2172,0,0,0,0
22100,0.63,2172,0,0,0,0
24100,0.71,2172,0,0,0,0
26100,0.76,2172,0,0,0,0
28100,0.81,2172,0,0,0,0
30100,0.86,2172,0,0,0,0
32100,0.93,2172,0,0,0,0
34100,0.99,2172,0,0,0,0
36100,1.03,2172,0,0,0,0
38100,1.10,2172,0,0,0,0
40100,1.16,2172,0,0,0,0
42100,1.25,2172,0,0,0,0
44100,1.31,2172,0,0,0,0
46100,1.34,2172,0,0,0,0
48100,1.40,2172,0,0,0,0
50100,1.46,2172,0,0,0,0
52100,1.49,2172,0,0,0,0
54100,1.58,2172,0,0,0,0
56100,1.64,2172,0,0,0,0
58100,1.70,2172,0,0,0,0
60100,1.73,2172,0,0,0,0
62100,1.83,2172,0,0,0,0
64100,1.89,2172,0,0,0,0
66100,1.94,2172,0,0,0,0
68100,2.01,2172,0,0,0,0
