n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2556,0,0,0,0
2100,0.06,10132,0,0,0,0
4100,0.12,15484,0,0,0,0
6100,0.17,19188,0,0,0,0
8100,0.29,22128,0,0,0,0
10100,0.31,25768,0,0,0,0
12100,0.35,27160,0,0,0,0
14100,0.47,28268,0,0,0,0
16100,0.51,29032,0,0,0,0
18100,0.58,29508,0,0,0,0
20100,0.61,30092,0,0,0,0
22100,0.81,30304,0,0,0,0
24100,0.80,30592,0,0,0,0
26100,0.81,30748,0,0,0,0
28100,0.93,30808,0,0,0,0
30100,0.98,30908,0,0,0,0
32100,1.06,30964,0,0,0,0
34100,1.20,30928,0,0,0,0
36100,1.20,31052,0,0,0,0
38100,1.21,31076,0,0,0,0
40100,1.24,30996,0,0,0,0
42100,1.27,31032,0,0,0,0
44100,1.28,31040,0,0,0,0
46100,1.37,31148,0,0,0,0
48100,1.44,31088,0,0,0,0
50100,1.46,31104,0,0,0,0
52100,1.51,31164,0,0,0,0
54100,1.57,31104,0,0,0,0
56100,1.63,31092,0,0,0,0
58100,1.65,31100,0,0,0,0
60100,1.75,31096,0,0,0,0
62100,1.81,30996,0,0,0,0
64100,1.88,31100,0,0,0,0
66100,1.91,31120,0,0,0,0
68100,1.96,31176,0,0,0,0
