n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2496,0,0,0,0
2100,0.06,10084,0,0,0,0
4100,0.12,15412,0,0,0,0
6100,0.18,19016,0,0,0,0
8100,0.23,22068,0,0,0,0
10100,0.30,25696,0,0,0,0
12100,0.35,27132,0,0,0,0
14100,0.41,28216,0,0,0,0
16100,0.47,29072,0,0,0,0
18100,0.52,29496,0,0,0,0
20100,0.57,30060,0,0,0,0
22100,0.62,30388,0,0,0,0
24100,0.68,30536,0,0,0,0
26100,0.74,30656,0,0,0,0
28100,0.80,30756,0,0,0,0
30100,0.85,30888,0,0,0,0
32100,0.90,30952,0,0,0,0
34100,0.97,30864,0,0,0,0
36100,1.02,30916,0,0,0,0
38100,1.06,31016,0,0,0,0
40100,1.12,31008,0,0,0,0
42100,1.18,30948,0,0,0,0
44100,1.25,30996,0,0,0,0
46100,1.29,31064,0,0,0,0
48100,1.37,31116,0,0,0,0
50100,1.42,30972,0,0,0,0
52100,1.47,31068,0,0,0,0
54100,1.57,31192,0,0,0,0
56100,1.71,30992,0,0,0,0
58100,1.81,31064,0,0,0,0
60100,1.96,31092,0,0,0,0
62100,2.08,31092,0,0,0,0
64100,2.26,31104,0,0,0,0
66100,2.30,31064,0,0,0,0
68100,2.43,31108,0,0,0,0
