n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2240,0,0,0,0
1100,0.01,4672,0,0,0,0
2100,0.02,6896,0,0,0,0
3100,0.03,9548,0,0,0,0
4100,0.03,11392,0,0,0,0
5100,0.04,13708,0,0,0,0
6100,0.05,16244,0,0,0,0
7100,0.06,18144,0,0,0,0
8100,0.07,20440,0,0,0,0
9100,0.08,22748,0,0,0,0
10100,0.09,24892,0,0,0,0
11100,0.12,27516,0,0,0,0
12100,0.12,30292,0,0,0,0
13100,0.14,31324,0,0,0,0
14100,0.14,34108,0,0,0,0
15100,0.16,37864,0,0,0,0
16100,0.19,38684,0,0,0,0
17100,0.19,41884,0,0,0,0
18100,0.20,43444,0,0,0,0
19100,0.20,44692,0,0,0,0
20100,0.19,47896,0,0,0,0
21100,0.20,50348,0,0,0,0
22100,0.25,52412,0,0,0,0
23100,0.27,55012,0,0,0,0
24100,0.24,58348,0,0,0,0
25100,0.28,60296,0,0,0,0
26100,0.30,60404,0,0,0,0
27100,0.30,62620,0,0,0,0
28100,0.28,65980,0,0,0,0
29100,0.33,70228,0,0,0,0
30100,0.34,73484,0,0,0,0
31100,0.33,73480,0,0,0,0
32100,0.39,75184,0,0,0,0
33100,0.40,78388,0,0,0,0
34100,0.42,81576,0,0,0,0
35100,0.48,84404,0,0,0,0
36100,0.47,84384,0,0,0,0
37100,0.46,84380,0,0,0,0
38100,0.43,87068,0,0,0,0
39100,0.47,90320,0,0,0,0
40100,0.47,93484,0,0,0,0
41100,0.50,98052,0,0,0,0
42100,0.56,98104,0,0,0,0
43100,0.51,98048,0,0,0,0
44100,0.54,103064,0,0,0,0
45100,0.54,104708,0,0,0,0
46100,0.55,108044,0,0,0,0
47100,0.56,111248,0,0,0,0
48100,0.56,114320,0,0,0,0
49100,0.65,118292,0,0,0,0
50100,0.65,118184,0,0,0,0
51100,0.65,118268,0,0,0,0
52100,0.65,118236,0,0,0,0
53100,0.71,120184,0,0,0,0
54100,0.70,123388,0,0,0,0
55100,0.70,126584,0,0,0,0
56100,0.85,129720,0,0,0,0
57100,0.83,133032,0,0,0,0
58100,0.84,137724,0,0,0,0
59100,0.88,137712,0,0,0,0
60100,0.86,144384,0,0,0,0
61100,0.88,144376,0,0,0,0
62100,0.90,144380,0,0,0,0
63100,0.87,145132,0,0,0,0
64100,0.89,148404,0,0,0,0
65100,0.93,151476,0,0,0,0
66100,0.88,154692,0,0,0,0
67100,0.91,158104,0,0,0,0
68100,1.06,165908,0,0,0,0
69100,1.06,165856,0,0,0,0
70100,1.03,165940,0,0,0,0
71100,1.01,165944,0,0,0,0
72100,1.06,165936,0,0,0,0
73100,1.07,165848,0,0,0,0
74100,1.13,166496,0,0,0,0
75100,1.09,169200,0,0,0,0
76100,1.12,172380,0,0,0,0
77100,1.13,175672,0,0,0,0
78100,1.12,178808,0,0,0,0
79100,1.07,181984,0,0,0,0
80100,1.10,185124,0,0,0,0
81100,1.32,193244,0,0,0,0
82100,1.29,193316,0,0,0,0
83100,1.33,193380,0,0,0,0
84100,1.26,193280,0,0,0,0
85100,1.24,193356,0,0,0,0
86100,1.29,193380,0,0,0,0
87100,1.30,195612,0,0,0,0
88100,1.31,200796,0,0,0,0
89100,1.36,204776,0,0,0,0
90100,1.38,207728,0,0,0,0
91100,1.37,210812,0,0,0,0
92100,1.37,214116,0,0,0,0
93100,1.37,217328,0,0,0,0
94100,1.49,220440,0,0,0,0
95100,1.49,223848,0,0,0,0
96100,1.54,233532,0,0,0,0
97100,1.62,233576,0,0,0,0
98100,1.65,233584,0,0,0,0
99100,1.62,233580,0,0,0,0
