n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2176,0,0,0,0
1100,0.01,4608,0,0,0,0
2100,0.02,6836,0,0,0,0
3100,0.03,9432,0,0,0,0
4100,0.04,11328,0,0,0,0
5100,0.05,13564,0,0,0,0
6100,0.06,16704,0,0,0,0
7100,0.06,18172,0,0,0,0
8100,0.07,20476,0,0,0,0
9100,0.08,22528,0,0,0,0
10100,0.09,25020,0,0,0,0
11100,0.10,27444,0,0,0,0
12100,0.11,30212,0,0,0,0
13100,0.14,31240,0,0,0,0
14100,0.15,33968,0,0,0,0
15100,0.16,37764,0,0,0,0
16100,0.15,38684,0,0,0,0
17100,0.16,41884,0,0,0,0
18100,0.18,43160,0,0,0,0
19100,0.18,44676,0,0,0,0
20100,0.23,47876,0,0,0,0
21100,0.24,50072,0,0,0,0
22100,0.23,52492,0,0,0,0
23100,0.29,55084,0,0,0,0
24100,0.28,58288,0,0,0,0
25100,0.26,60204,0,0,0,0
26100,0.28,60200,0,0,0,0
27100,0.29,62708,0,0,0,0
28100,0.36,65904,0,0,0,0
29100,0.41,69892,0,0,0,0
30100,0.42,73240,0,0,0,0
31100,0.43,73260,0,0,0,0
32100,0.41,75296,0,0,0,0
33100,0.48,78436,0,0,0,0
34100,0.48,84056,0,0,0,0
35100,0.46,83968,0,0,0,0
36100,0.43,84064,0,0,0,0
37100,0.43,84304,0,0,0,0
38100,0.50,87020,0,0,0,0
39100,0.45,90440,0,0,0,0
40100,0.45,93640,0,0,0,0
41100,0.62,97628,0,0,0,0
42100,0.61,97744,0,0,0,0
43100,0.57,97740,0,0,0,0
44100,0.57,103060,0,0,0,0
45100,0.58,104820,0,0,0,0
46100,0.58,108084,0,0,0,0
47100,0.58,111324,0,0,0,0
48100,0.66,117868,0,0,0,0
49100,0.67,117964,0,0,0,0
50100,0.67,117908,0,0,0,0
51100,0.69,117960,0,0,0,0
52100,0.68,117964,0,0,0,0
53100,0.70,120316,0,0,0,0
54100,0.70,123464,0,0,0,0
55100,0.72,126752,0,0,0,0
56100,0.71,129952,0,0,0,0
57100,0.82,137368,0,0,0,0
58100,0.83,137288,0,0,0,0
59100,0.83,137340,0,0,0,0
60100,0.87,144012,0,0,0,0
61100,0.86,144024,0,0,0,0
62100,0.88,144056,0,0,0,0
63100,0.88,145340,0,0,0,0
64100,0.88,148548,0,0,0,0
65100,0.89,151668,0,0,0,0
66100,0.90,155064,0,0,0,0
67100,0.88,158268,0,0,0,0
68100,1.03,165440,0,0,0,0
69100,1.02,165364,0,0,0,0
70100,1.04,165408,0,0,0,0
71100,1.03,165396,0,0,0,0
72100,1.06,165384,0,0,0,0
73100,1.06,165348,0,0,0,0
74100,1.06,166428,0,0,0,0
75100,1.08,169360,0,0,0,0
76100,1.06,172452,0,0,0,0
77100,1.08,175656,0,0,0,0
78100,1.07,178972,0,0,0,0
79100,1.10,182180,0,0,0,0
80100,1.09,185360,0,0,0,0
81100,1.24,192788,0,0,0,0
82100,1.24,192712,0,0,0,0
83100,1.26,192676,0,0,0,0
84100,1.26,192784,0,0,0,0
85100,1.28,192772,0,0,0,0
86100,1.28,192744,0,0,0,0
87100,1.29,195600,0,0,0,0
88100,1.37,200808,0,0,0,0
89100,1.36,204848,0,0,0,0
90100,1.35,207952,0,0,0,0
91100,1.39,211136,0,0,0,0
92100,1.36,214352,0,0,0,0
93100,1.46,217684,0,0,0,0
94100,1.41,220864,0,0,0,0
95100,1.39,224032,0,0,0,0
96100,1.58,233040,0,0,0,0
97100,1.76,232968,0,0,0,0
98100,1.62,232988,0,0,0,0
99100,1.60,233012,0,0,0,0
