n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2172,0,0,0,0
1100,0.01,4604,0,0,0,0
2100,0.02,6860,0,0,0,0
3100,0.02,9436,0,0,0,0
4100,0.03,11420,0,0,0,0
5100,0.04,13624,0,0,0,0
6100,0.05,16188,0,0,0,0
7100,0.06,18120,0,0,0,0
8100,0.06,20360,0,0,0,0
9100,0.07,22684,0,0,0,0
10100,0.08,24936,0,0,0,0
11100,0.10,27312,0,0,0,0
12100,0.10,30200,0,0,0,0
13100,0.11,31152,0,0,0,0
14100,0.12,34008,0,0,0,0
15100,0.14,37852,0,0,0,0
16100,0.14,38604,0,0,0,0
17100,0.15,41820,0,0,0,0
18100,0.17,43364,0,0,0,0
19100,0.17,44620,0,0,0,0
20100,0.18,47852,0,0,0,0
21100,0.20,50272,0,0,0,0
22100,0.22,52476,0,0,0,0
23100,0.22,54940,0,0,0,0
24100,0.26,58260,0,0,0,0
25100,0.27,60332,0,0,0,0
26100,0.27,60352,0,0,0,0
27100,0.27,62464,0,0,0,0
28100,0.28,65820,0,0,0,0
29100,0.32,70144,0,0,0,0
30100,0.34,73416,0,0,0,0
31100,0.33,73416,0,0,0,0
32100,0.35,75104,0,0,0,0
33100,0.34,78304,0,0,0,0
34100,0.36,81520,0,0,0,0
35100,0.41,84328,0,0,0,0
36100,0.41,84328,0,0,0,0
37100,0.41,84332,0,0,0,0
38100,0.43,86940,0,0,0,0
39100,0.42,90268,0,0,0,0
40100,0.52,93356,0,0,0,0
41100,0.58,98072,0,0,0,0
42100,0.52,98072,0,0,0,0
43100,0.51,98068,0,0,0,0
44100,0.55,102960,0,0,0,0
45100,0.55,104716,0,0,0,0
46100,0.57,107948,0,0,0,0
47100,0.57,111080,0,0,0,0
48100,0.57,114380,0,0,0,0
49100,0.66,118200,0,0,0,0
50100,0.67,118196,0,0,0,0
51100,0.65,118148,0,0,0,0
52100,0.66,118236,0,0,0,0
53100,0.68,120120,0,0,0,0
54100,0.69,123308,0,0,0,0
55100,0.69,126520,0,0,0,0
56100,0.69,129612,0,0,0,0
57100,0.70,132940,0,0,0,0
58100,0.84,137660,0,0,0,0
59100,0.84,137656,0,0,0,0
60100,0.86,144304,0,0,0,0
61100,0.83,144312,0,0,0,0
62100,0.85,144316,0,0,0,0
63100,0.84,145124,0,0,0,0
64100,0.87,148264,0,0,0,0
65100,0.97,151496,0,0,0,0
66100,0.88,154752,0,0,0,0
67100,0.86,158048,0,0,0,0
68100,0.98,165860,0,0,0,0
69100,1.01,165880,0,0,0,0
70100,0.98,165944,0,0,0,0
71100,1.00,165876,0,0,0,0
72100,0.98,165856,0,0,0,0
73100,1.00,165864,0,0,0,0
74100,1.11,166440,0,0,0,0
75100,1.09,169064,0,0,0,0
76100,1.02,172292,0,0,0,0
77100,1.06,175480,0,0,0,0
78100,1.11,178684,0,0,0,0
79100,1.06,181876,0,0,0,0
80100,1.05,185076,0,0,0,0
81100,1.25,193316,0,0,0,0
82100,1.24,193228,0,0,0,0
83100,1.20,193312,0,0,0,0
84100,1.23,193192,0,0,0,0
85100,1.23,193316,0,0,0,0
86100,1.29,193232,0,0,0,0
87100,1.46,195496,0,0,0,0
88100,1.29,200728,0,0,0,0
89100,1.36,204800,0,0,0,0
90100,1.36,207656,0,0,0,0
91100,1.29,210748,0,0,0,0
92100,1.36,214076,0,0,0,0
93100,1.31,217224,0,0,0,0
94100,1.29,220464,0,0,0,0
95100,1.32,223772,0,0,0,0
96100,1.48,233412,0,0,0,0
97100,1.64,233424,0,0,0,0
98100,1.57,233460,0,0,0,0
99100,1.54,233476,0,0,0,0
