n,time,memory,collisions,hash_calls,table_get,table_insert
100,0.00,2240,0,0,0,0
1100,0.01,4672,0,0,0,0
2100,0.02,6892,0,0,0,0
3100,0.03,9508,0,0,0,0
4100,0.03,11388,0,0,0,0
5100,0.04,13692,0,0,0,0
6100,0.06,16784,0,0,0,0
7100,0.06,18232,0,0,0,0
8100,0.07,20544,0,0,0,0
9100,0.08,22768,0,0,0,0
10100,0.09,25092,0,0,0,0
11100,0.10,27496,0,0,0,0
12100,0.11,30288,0,0,0,0
13100,0.12,31308,0,0,0,0
14100,0.13,34148,0,0,0,0
15100,0.14,37820,0,0,0,0
16100,0.15,38744,0,0,0,0
17100,0.20,41944,0,0,0,0
18100,0.22,43224,0,0,0,0
19100,0.19,44680,0,0,0,0
20100,0.19,47944,0,0,0,0
21100,0.22,50116,0,0,0,0
22100,0.26,52640,0,0,0,0
23100,0.27,55148,0,0,0,0
24100,0.24,58312,0,0,0,0
25100,0.31,60272,0,0,0,0
26100,0.35,60260,0,0,0,0
27100,0.35,62856,0,0,0,0
28100,0.38,65976,0,0,0,0
29100,0.38,69956,0,0,0,0
30100,0.42,73336,0,0,0,0
31100,0.43,73300,0,0,0,0
32100,0.43,75216,0,0,0,0
33100,0.46,78488,0,0,0,0
34100,0.50,84028,0,0,0,0
35100,0.53,84120,0,0,0,0
36100,0.47,84036,0,0,0,0
37100,0.45,84364,0,0,0,0
38100,0.44,87200,0,0,0,0
39100,0.48,90340,0,0,0,0
40100,0.48,93724,0,0,0,0
41100,0.53,97696,0,0,0,0
42100,0.55,97808,0,0,0,0
43100,0.55,97804,0,0,0,0
44100,0.65,103120,0,0,0,0
45100,0.58,104984,0,0,0,0
46100,0.67,108104,0,0,0,0
47100,0.58,111372,0,0,0,0
48100,0.77,118024,0,0,0,0
49100,0.69,117940,0,0,0,0
50100,0.76,117948,0,0,0,0
51100,0.71,118036,0,0,0,0
52100,0.70,118048,0,0,0,0
53100,0.71,120420,0,0,0,0
54100,0.73,123672,0,0,0,0
55100,0.73,126804,0,0,0,0
56100,0.85,129984,0,0,0,0
57100,0.82,137448,0,0,0,0
58100,0.92,137444,0,0,0,0
59100,0.87,137424,0,0,0,0
60100,0.86,144180,0,0,0,0
61100,0.88,144168,0,0,0,0
62100,0.89,144180,0,0,0,0
63100,0.97,145424,0,0,0,0
64100,1.05,148624,0,0,0,0
65100,0.91,151732,0,0,0,0
66100,0.91,155136,0,0,0,0
67100,0.90,158344,0,0,0,0
68100,1.04,165520,0,0,0,0
69100,1.05,165512,0,0,0,0
70100,1.09,165464,0,0,0,0
71100,1.09,165444,0,0,0,0
72100,1.10,165520,0,0,0,0
73100,1.07,165504,0,0,0,0
74100,1.06,166484,0,0,0,0
75100,1.16,169416,0,0,0,0
76100,1.13,172624,0,0,0,0
77100,1.09,175700,0,0,0,0
78100,1.24,179044,0,0,0,0
79100,1.14,182156,0,0,0,0
80100,1.15,185420,0,0,0,0
81100,1.32,192840,0,0,0,0
82100,1.37,192808,0,0,0,0
83100,1.38,192844,0,0,0,0
84100,1.49,192852,0,0,0,0
85100,1.61,192840,0,0,0,0
86100,1.50,192860,0,0,0,0
87100,1.40,195644,0,0,0,0
88100,1.50,200824,0,0,0,0
89100,1.48,204792,0,0,0,0
90100,1.43,207996,0,0,0,0
91100,1.38,211212,0,0,0,0
92100,1.34,214420,0,0,0,0
93100,1.37,217744,0,0,0,0
94100,1.42,221032,0,0,0,0
95100,1.48,224160,0,0,0,0
96100,1.77,232960,0,0,0,0
97100,1.99,232756,0,0,0,0
98100,1.87,232920,0,0,0,0
99100,1.85,232692,0,0,0,0
