n,time,fib
1,21,1
2,20,2
3,20,3
4,21,5
5,20,8
6,20,13
7,14,21
8,17,34
9,14,55
10,14,89
11,15,144
12,26,233
13,20,377
14,14,610
15,20,987
16,20,1597
17,20,2584
18,18,4181
19,14,6765
20,17,10946
21,14,17711
22,20,28657
23,26,46368
24,20,75025
25,19,121393
26,21,196418
27,20,317811
28,14,514229
29,20,832040
30,14,1346269
31,20,2178309
32,22,3524578
33,20,5702887
34,13,9227465
35,20,14930352
36,20,24157817
37,20,39088169
38,14,63245986
39,26,102334155
40,14,165580141
41,20,267914296
42,20,433494437
43,14,701408733
44,21,1134903170
45,18,1836311903
46,20,2971215073
47,20,4807526976
48,16,7778742049
49,19,12586269025
50,18,20365011074
51,15,32951280099
52,20,53316291173
53,20,86267571272
54,14,139583862445
55,14,225851433717
56,18,365435296162
57,20,591286729879
58,20,956722026041
59,15,1548008755920
60,14,2504730781961
61,14,4052739537881
62,20,6557470319842
63,19,10610209857723
64,13,17167680177565
65,20,27777890035288
66,14,44945570212853
67,22,72723460248141
68,14,117669030460994
69,20,190392490709135
70,26,308061521170129
