n,time,fib
1,20,1
2,20,2
3,14,3
4,14,5
5,14,8
6,14,13
7,14,21
8,13,34
9,14,55
10,19,89
11,13,144
12,14,233
13,14,377
14,20,610
15,14,987
16,14,1597
17,14,2584
18,14,4181
19,20,6765
20,14,10946
21,14,17711
22,14,28657
23,14,46368
24,14,75025
25,20,121393
26,14,196418
27,14,317811
28,14,514229
29,26,832040
30,14,1346269
31,19,2178309
32,15,3524578
33,17,5702887
34,17,9227465
35,20,14930352
36,14,24157817
37,14,39088169
38,14,63245986
39,14,102334155
40,14,165580141
41,21,267914296
42,14,433494437
43,14,701408733
44,13,1134903170
45,17,1836311903
46,20,2971215073
47,14,4807526976
48,20,7778742049
49,19,12586269025
50,20,20365011074
51,20,32951280099
52,14,53316291173
53,19,86267571272
54,21,139583862445
55,14,225851433717
56,14,365435296162
57,17,591286729879
58,21,956722026041
59,20,1548008755920
60,20,2504730781961
61,19,4052739537881
62,14,6557470319842
63,15,10610209857723
64,20,17167680177565
65,14,27777890035288
66,20,44945570212853
67,13,72723460248141
68,14,117669030460994
69,21,190392490709135
70,13,308061521170129
