n,time,memory,collisions,hash_calls
1,0.00,1920,0,0
2,0.00,1920,0,0
3,0.00,1920,0,0
4,0.00,2048,0,0
5,0.00,2048,0,0
6,0.00,2048,0,0
7,0.00,1920,0,0
8,0.00,1920,0,0
9,0.00,1920,0,0
10,0.00,1920,0,0
11,0.00,2048,0,0
12,0.00,2048,0,0
13,0.00,1920,0,0
14,0.00,2176,0,0
15,0.00,2048,0,0
16,0.00,2048,0,0
17,0.00,2048,0,0
18,0.00,2048,0,0
19,0.00,2176,0,0
20,0.00,2048,0,0
21,0.01,2048,0,0
22,0.01,2048,0,0
23,0.02,2048,0,0
24,0.04,2176,0,0
25,0.06,2048,0,0
26,0.11,2048,0,0
27,0.17,2176,0,0
28,0.29,2176,0,0
29,0.48,2176,0,0
30,0.76,2176,0,0
31,1.24,2048,0,0
32,1.98,2176,0,0
33,3.25,2176,0,0
34,5.23,2048,0,0
35,8.47,2176,0,0
36,13.82,2048,0,0
37,22.32,2048,0,0
38,36.29,2304,0,0
39,57.21,2176,0,0
40,94.13,2304,0,0
