n,time,knap
1,15,10
2,15,21
3,15,27
4,14,32
5,14,48
6,14,73
7,14,101
8,16,130
9,16,146
10,17,147
11,17,170
12,19,175
13,18,201
14,19,211
15,22,233
16,25,241
17,36,269
18,27,280
19,45,293
20,51,304
21,36,322
22,63,352
23,47,365
24,60,371
25,33,393
26,45,407
27,55,437
28,58,466
29,42,476
30,36,479
31,43,493
32,55,503
33,43,527
34,130,528
35,40,558
36,124,585
37,146,607
38,87,610
39,56,632
40,182,634
41,62,638
42,55,657
43,81,673
44,48,688
45,49,706
46,120,709
47,85,734
48,51,737
49,215,752
50,207,752
