n,time,memory,collisions,hash_calls
1,0.00,1792,0,0
11,0.00,2176,0,0
21,0.00,2048,0,0
31,0.00,2304,0,0
41,0.00,2176,0,0
51,0.00,2304,0,0
61,0.00,2304,0,0
71,0.00,2432,0,0
81,0.00,2304,0,0
91,0.00,2560,0,0
101,0.00,2688,0,0
111,0.00,2560,0,0
121,0.00,2816,0,0
131,0.00,2816,0,0
141,0.00,2944,0,0
151,0.01,2944,0,0
161,0.01,2816,0,0
171,0.01,2944,0,0
181,0.01,3200,0,0
191,0.01,3200,0,0
201,0.01,3328,0,0
211,0.01,3328,0,0
221,0.02,3200,0,0
231,0.02,3328,0,0
241,0.02,3456,0,0
251,0.02,3456,0,0
261,0.02,3456,0,0
271,0.02,3584,0,0
281,0.03,3712,0,0
291,0.03,3712,0,0
301,0.03,3712,0,0
311,0.03,3968,0,0
321,0.04,3968,0,0
331,0.04,3840,0,0
341,0.04,3840,0,0
351,0.04,4096,0,0
361,0.04,4096,0,0
371,0.05,4224,0,0
381,0.05,4224,0,0
391,0.05,4224,0,0
401,0.06,4480,0,0
411,0.06,4224,0,0
421,0.06,4480,0,0
431,0.06,4608,0,0
441,0.07,4608,0,0
451,0.07,4736,0,0
461,0.07,4736,0,0
471,0.08,4864,0,0
481,0.08,4736,0,0
491,0.09,4864,0,0
501,0.09,4864,0,0
511,0.09,4992,0,0
521,0.10,4992,0,0
531,0.10,5120,0,0
541,0.11,5120,0,0
551,0.11,5120,0,0
561,0.11,5248,0,0
571,0.12,5504,0,0
581,0.12,5632,0,0
591,0.12,5632,0,0
601,0.13,5504,0,0
611,0.13,5760,0,0
621,0.14,5760,0,0
631,0.14,5760,0,0
641,0.15,5760,0,0
651,0.15,5888,0,0
661,0.16,5888,0,0
671,0.16,5888,0,0
681,0.16,6144,0,0
691,0.17,6016,0,0
701,0.17,6272,0,0
711,0.18,6272,0,0
721,0.18,6272,0,0
731,0.19,6400,0,0
741,0.20,6528,0,0
751,0.20,6528,0,0
761,0.20,6400,0,0
771,0.21,6528,0,0
781,0.21,6400,0,0
791,0.22,6784,0,0
801,0.23,6784,0,0
811,0.23,6912,0,0
821,0.24,6912,0,0
831,0.24,6912,0,0
841,0.25,6912,0,0
851,0.26,7040,0,0
861,0.26,7040,0,0
871,0.27,7168,0,0
881,0.27,7296,0,0
891,0.28,7296,0,0
901,0.28,7424,0,0
911,0.29,7424,0,0
921,0.30,7552,0,0
931,0.30,7552,0,0
941,0.31,7680,0,0
951,0.32,7552,0,0
961,0.32,7680,0,0
971,0.33,7680,0,0
981,0.34,7680,0,0
991,0.34,7936,0,0
