n,time,memory,collisions,hash_calls
1,0.00,1920,0,0
11,0.00,1920,0,0
21,0.00,1920,0,0
31,0.00,2048,0,0
41,0.00,2048,0,0
51,0.00,2048,0,0
61,0.00,2048,0,0
71,0.00,2048,0,0
81,0.00,2048,0,0
91,0.00,2048,0,0
101,0.00,2048,0,0
111,0.00,2048,0,0
121,0.00,2048,0,0
131,0.00,2048,0,0
141,0.00,2048,0,0
151,0.00,2048,0,0
161,0.00,2048,0,0
171,0.00,2048,0,0
181,0.00,2048,0,0
191,0.00,2048,0,0
201,0.00,2048,0,0
211,0.00,2048,0,0
221,0.00,2048,0,0
231,0.00,2048,0,0
241,0.00,2048,0,0
251,0.00,2048,0,0
261,0.00,2048,0,0
271,0.00,2048,0,0
281,0.00,2048,0,0
291,0.00,2048,0,0
301,0.00,2048,0,0
311,0.00,2048,0,0
321,0.00,2048,0,0
331,0.00,2048,0,0
341,0.00,2048,0,0
351,0.00,2048,0,0
361,0.00,2048,0,0
371,0.00,2048,0,0
381,0.00,2048,0,0
391,0.00,2048,0,0
401,0.00,2048,0,0
411,0.00,2048,0,0
421,0.00,2048,0,0
431,0.00,2048,0,0
441,0.00,2048,0,0
451,0.00,2176,0,0
461,0.00,2176,0,0
471,0.00,2176,0,0
481,0.00,2176,0,0
491,0.00,2176,0,0
501,0.00,2176,0,0
511,0.00,2176,0,0
521,0.00,2176,0,0
531,0.00,2176,0,0
541,0.00,2176,0,0
551,0.00,2176,0,0
561,0.00,2176,0,0
571,0.00,2176,0,0
581,0.00,2176,0,0
591,0.00,2176,0,0
601,0.00,2176,0,0
611,0.00,2176,0,0
621,0.00,2176,0,0
631,0.00,2176,0,0
641,0.00,2176,0,0
651,0.00,2176,0,0
661,0.00,2176,0,0
671,0.00,2176,0,0
681,0.00,2176,0,0
691,0.00,2176,0,0
701,0.00,2176,0,0
711,0.00,2176,0,0
721,0.00,2176,0,0
731,0.00,2176,0,0
741,0.00,2176,0,0
751,0.00,2176,0,0
761,0.00,2176,0,0
771,0.00,2176,0,0
781,0.00,2176,0,0
791,0.00,2176,0,0
801,0.00,2176,0,0
811,0.00,2176,0,0
821,0.00,2176,0,0
831,0.00,2176,0,0
841,0.00,2176,0,0
851,0.00,2176,0,0
861,0.00,2176,0,0
871,0.00,2176,0,0
881,0.00,2176,0,0
891,0.00,2176,0,0
901,0.00,2304,0,0
911,0.00,2304,0,0
921,0.00,2304,0,0
931,0.00,2304,0,0
941,0.00,2304,0,0
951,0.00,2304,0,0
961,0.00,2304,0,0
971,0.00,2304,0,0
981,0.00,2304,0,0
991,0.00,2304,0,0
