n,time,memory,collisions,hash_calls
1,0.00,1920,0,0
101,0.00,2048,0,0
201,0.00,2048,0,0
301,0.00,2048,0,0
401,0.00,2048,0,0
501,0.00,2176,0,0
601,0.00,2176,0,0
701,0.00,2176,0,0
801,0.00,2176,0,0
901,0.00,2304,0,0
1001,0.00,2304,0,0
1101,0.01,2304,0,0
1201,0.01,2304,0,0
1301,0.01,2304,0,0
1401,0.01,2304,0,0
1501,0.01,2304,0,0
1601,0.01,2304,0,0
1701,0.01,2304,0,0
1801,0.01,2688,0,0
1901,0.01,2560,0,0
2001,0.02,2688,0,0
2101,0.02,2688,0,0
2201,0.02,2688,0,0
2301,0.02,2688,0,0
2401,0.02,2688,0,0
2501,0.02,2688,0,0
2601,0.02,2688,0,0
2701,0.03,2688,0,0
2801,0.03,2688,0,0
2901,0.03,2688,0,0
3001,0.03,2688,0,0
3101,0.04,2688,0,0
3201,0.03,2688,0,0
3301,0.03,2688,0,0
3401,0.04,2688,0,0
3501,0.04,2688,0,0
3601,0.05,3328,0,0
3701,0.05,3456,0,0
3801,0.05,3456,0,0
3901,0.05,3456,0,0
4001,0.06,3328,0,0
4101,0.05,3320,0,0
4201,0.06,3328,0,0
4301,0.06,3328,0,0
4401,0.06,3328,0,0
4501,0.07,3328,0,0
4601,0.07,3328,0,0
4701,0.06,3312,0,0
4801,0.07,3328,0,0
4901,0.08,3328,0,0
5001,0.08,3456,0,0
5101,0.07,3320,0,0
5201,0.09,3328,0,0
5301,0.09,3456,0,0
5401,0.08,3456,0,0
5501,0.10,3456,0,0
5601,0.10,3456,0,0
5701,0.11,3380,0,0
5801,0.09,3456,0,0
5901,0.11,3380,0,0
6001,0.11,3364,0,0
6101,0.12,3380,0,0
6201,0.10,3456,0,0
6301,0.11,3380,0,0
6401,0.13,3452,0,0
6501,0.14,3372,0,0
6601,0.11,3328,0,0
6701,0.14,3376,0,0
6801,0.14,3508,0,0
6901,0.15,3516,0,0
7001,0.15,3508,0,0
7101,0.16,3508,0,0
7201,0.16,4800,0,0
7301,0.14,4784,0,0
7401,0.16,4664,0,0
7501,0.15,4884,0,0
7601,0.16,4756,0,0
7701,0.16,4792,0,0
7801,0.18,4792,0,0
7901,0.19,4784,0,0
8001,0.19,4792,0,0
8101,0.17,4776,0,0
8201,0.17,4788,0,0
8301,0.21,4788,0,0
8401,0.18,4800,0,0
8501,0.22,4772,0,0
8601,0.19,4784,0,0
8701,0.23,4792,0,0
8801,0.23,4788,0,0
8901,0.24,4796,0,0
9001,0.22,4776,0,0
9101,0.24,4808,0,0
9201,0.23,4792,0,0
9301,0.26,4784,0,0
9401,0.25,4792,0,0
9501,0.26,4784,0,0
9601,0.27,4776,0,0
9701,0.27,4780,0,0
9801,0.25,4672,0,0
9901,0.26,4788,0,0
