n,time,fn
0,383470,0
1,224433,4
2,310447,13
3,300704,18
4,259416,56
5,225906,95
6,258002,31
7,312091,54
8,232843,57
9,262152,87
10,272497,56
11,252269,140
12,261872,80
13,297335,71
14,277699,101
15,271745,132
16,282199,175
17,278130,215
18,331507,233
19,291923,128
20,353429,192
21,297737,260
22,299471,211
23,300733,179
24,308923,130
25,317033,301
26,323829,172
27,329211,173
28,337601,154
29,493882,185
30,347625,139
31,350000,232
32,360766,198
33,349911,286
34,366820,314
35,387059,244
36,385997,168
37,402285,362
38,401623,238
39,428528,486
40,399628,235
41,733601,234
42,463279,466
43,436065,240
44,427685,288
45,441879,431
46,443803,314
47,476201,294
48,448905,485
49,523563,325
50,465124,384
51,472080,366
52,474065,356
53,499406,447
54,516907,442
55,538648,548
56,533617,433
57,553423,428
58,565402,463
59,1398750,530
60,561162,495
61,559678,465
62,563357,388
63,577631,467
64,576559,402
65,610068,452
66,590742,470
67,645933,376
68,624984,507
69,719999,594
70,654684,521
71,701936,478
72,655576,574
73,669900,580
74,666482,440
75,923692,736
76,731476,599
77,755342,583
78,735014,585
79,745780,541
80,775571,665
81,737570,623
82,760174,715
83,806464,627
84,3093262,559
85,771571,571
86,804570,648
87,849947,585
88,815074,722
89,837177,843
90,837357,711
91,867238,773
92,845667,474
93,865635,632
94,905830,769
95,920084,620
96,939300,746
97,916234,725
98,922249,911
99,915854,812
100,948772,801
101,946417,868
102,973360,872
103,989468,930
104,1006118,744
105,1023520,766
106,1014929,829
107,1070130,665
108,1041542,707
109,1051406,879
110,1067764,816
111,1077006,829
112,1083422,801
113,1236184,718
114,1106677,1070
115,1136427,1008
116,1131867,808
117,1148737,773
118,1159503,829
119,7206945,1039
120,1276138,926
121,1282854,951
122,1200009,973
123,1280799,913
124,1252874,963
125,1249575,877
126,1340322,972
127,1278374,1041
128,1312726,892
129,1305618,1105
130,1358203,1040
131,1376988,892
132,1413766,1205
133,1385720,1094
134,1371665,1224
135,1460516,1094
136,1426516,1050
137,1436079,1229
138,1411961,974
139,1436209,1077
140,1526001,1193
141,1543242,1172
142,1547031,1042
143,1508751,1345
144,1513632,1212
145,1614532,1042
146,1550911,958
147,1645676,1102
148,1610563,1033
149,1612768,1271
150,1595166,1346
151,1650367,1225
152,1664050,1248
153,1668530,1075
154,1657895,1193
155,1721496,1069
156,1705809,1133
157,1701749,1271
158,1770662,1315
159,1792234,1005
160,1751116,1261
161,1770472,1293
162,1787362,1121
163,1881636,1596
164,1859292,1289
165,1892030,1229
166,1863924,1081
167,1905653,1279
168,18109370,1140
169,1936015,1392
170,1944515,1288
171,1921190,1474
172,1951040,1259
173,2006322,1388
174,1969204,1338
175,1981413,1338
176,2066133,1462
177,2037065,1435
178,2064630,1258
179,2066265,1136
180,2063638,1342
181,2096767,1166
182,2158001,1318
183,2145331,1264
184,2289183,1678
185,2209835,1145
186,2196543,1693
187,2219447,1402
188,2250211,1236
189,2236839,1424
190,2368171,1353
191,2294987,1413
192,2353686,1350
193,2325359,1656
194,2328055,1244
195,2445143,1271
196,2394634,1396
197,2382474,1481
198,2520803,1394
199,2499963,1540
200,2438187,1515
201,2529824,1784
202,2566602,1599
203,2612681,1523
204,2508464,1550
205,2577327,1430
206,2623316,1504
207,2626665,1710
208,2619959,1577
209,2677143,1691
210,2653759,1663
211,2686506,1691
212,2731533,1533
213,2686776,1517
214,2748413,1816
215,2733448,1533
216,2764019,1573
217,2773833,1778
218,2816905,1751
219,2798111,1698
220,2880607,1590
221,2863998,1595
222,2990558,1659
223,2920731,1706
224,2977086,1619
225,3068042,1674
226,3018344,1796
227,2964546,1638
228,2988352,1527
229,2981126,1825
230,3144483,1702
231,3112919,1775
232,3595122,1800
233,3140583,1979
234,3222348,1662
235,3368094,1816
236,3200666,1861
237,3232693,1619
238,47882905,1755
239,3320791,1706
240,3300003,1614
241,3344990,1822
242,3500698,2117
243,3328139,1880
244,3473073,2135
245,3364295,1832
246,3440506,1849
247,3510331,1871
248,3502352,1880
249,3483728,1507
250,3514300,1933
251,3571647,1872
252,3656989,1780
253,3719879,1976
254,3607151,1853
255,3710096,1758
256,3680034,2076
257,3686910,1947
258,3712250,2009
259,3728640,1763
260,3800650,2041
261,3732469,2018
262,3809902,1992
263,3794606,2174
264,3807076,1842
265,4051596,1838
266,3843622,1811
267,3866296,2308
268,4081077,2188
269,4052367,1938
270,4313558,2408
271,4029654,2217
272,4025895,2035
273,4047086,1901
274,4069689,2242
275,4097284,2175
276,4139856,2043
277,4258988,2188
278,4220918,2179
279,4159031,2081
280,4208588,2478
281,4334187,2307
282,4316104,2281
283,4352400,2001
284,4330819,2301
285,4556474,2291
286,4351989,2416
287,4395703,2322
288,4497825,2544
289,4515126,2293
290,4484423,2289
291,4577073,2084
292,4587498,2123
293,4582837,2536
294,4639612,2459
295,4726448,2398
296,4987317,2076
297,4927365,2267
298,4715502,2355
299,4750976,2251
300,4738416,2495
301,4815880,2206
302,4753643,2299
303,4976130,2050
304,4784876,2090
305,4894066,2234
306,4888241,2368
307,4870860,2296
308,4972853,2096
309,5060721,2607
310,5015885,2168
311,5160387,2331
312,5488888,2022
313,5100946,2317
314,5182450,2547
315,5153180,2594
316,5214506,2589
317,5152609,2480
318,5230143,2732
319,5251313,2265
320,5256195,2356
321,5324057,2570
322,5309392,2365
323,5465642,2116
324,5472990,2469
325,5587712,2480
326,5695578,2590
327,5523309,2390
328,5681353,2496
329,5554934,2552
330,5666739,2367
331,6167537,2543
332,5688141,2696
333,5681845,2408
334,5832001,2593
335,5843880,2753
336,5909575,2341
337,5922215,2467
338,125307944,2424
339,5825997,2522
340,5886932,2363
341,5990889,2373
342,5914868,2430
343,6012650,2644
344,6088079,2809
345,6073545,2718
346,6085693,2953
347,6169082,2867
348,6258123,2849
349,6230467,2716
350,6311650,2900
351,6271786,2453
352,6215902,2802
353,6263837,2763
354,6269530,2549
355,6357539,2610
356,6299170,2555
357,6397955,2839
358,6490946,2853
359,6438180,2806
360,6586512,2624
361,6507114,2842
362,6569432,3039
363,6635769,2499
364,6680225,2581
365,6681197,2832
366,7224867,2943
367,6672847,2930
368,6906261,2424
369,7001367,2723
370,7285802,3367
371,6985318,3047
372,6935972,2991
373,6914661,2950
374,6862006,2998
375,7046905,2791
376,6978553,2708
377,7027539,2860
378,7094158,2899
379,7200069,3006
380,7260582,2782
381,7175290,2617
382,7335180,2460
383,7371355,2900
384,7326809,2703
385,7259429,3058
386,7377319,3070
387,7371796,2844
388,7317256,2552
389,7420552,2976
390,7478750,3431
391,7912710,2837
392,7696036,2943
393,7595407,2665
394,7680068,3241
395,7941117,3064
396,7807751,3249
397,7667308,2978
398,7771805,3058
399,7773550,3342
400,7932657,3155
401,7838945,2583
402,7890487,2489
403,8039912,3145
404,7970538,3089
405,7971500,2988
406,8277686,2948
407,8043380,3199
408,8026120,3343
