n,time,fn
0,352401,0
1,263544,26
2,300914,19
3,243146,53
4,260238,21
5,244318,53
6,242895,55
7,319689,19
8,255459,95
9,261109,68
10,273994,158
11,277390,46
12,283471,141
13,276970,142
14,311114,96
15,303408,65
16,305623,96
17,328697,96
18,345177,153
19,347361,169
20,414797,154
21,388749,91
22,439965,220
23,439273,275
24,467707,174
25,451947,182
26,496481,167
27,522700,118
28,529993,284
29,715381,185
30,570389,336
31,590386,156
32,640461,299
33,650709,315
34,759494,363
35,740558,214
36,730970,156
37,764643,354
38,855684,326
39,863719,287
40,932258,282
41,1301380,305
42,1070276,248
43,1096776,297
44,1149545,381
45,1228813,308
46,1346164,332
47,1401207,383
48,1422517,477
49,1592996,289
50,1527854,358
51,1619716,384
52,1717510,418
53,1770018,483
54,1812938,437
55,1954795,585
56,2036839,480
57,2104515,426
58,2210574,382
59,3252968,473
60,2685314,442
61,2840475,565
62,3075926,476
63,3105292,508
64,3181223,540
65,3298774,617
66,3450087,535
67,3495263,675
68,3731935,522
69,3860767,556
70,3987675,613
71,4088654,622
72,4150891,580
73,4352969,644
74,4582801,578
75,4636842,537
76,4879217,695
77,5004291,542
78,5170833,570
79,5350350,618
80,5470655,624
81,5720324,716
82,5754908,686
83,6015447,846
84,9102954,632
85,7434286,760
86,7548811,801
87,7746972,794
88,8198930,763
89,8240377,737
90,8459488,701
91,8662638,514
92,8795958,868
93,9117492,873
94,9479520,804
95,9453471,772
96,9985910,751
97,10125040,807
98,10329282,847
99,10521383,685
100,10881669,722
101,11108373,823
102,11362940,741
103,11697598,969
104,11885170,794
105,12300017,738
106,12739130,825
107,12935128,853
108,13098033,917
109,13445996,872
110,13879147,1040
111,14243039,615
112,14426243,876
113,15109604,757
114,15127508,876
115,15537496,901
116,15967652,1047
117,16262565,937
118,16783422,824
119,24555311,845
120,19853356,809
121,20285477,879
122,20637627,982
123,20845076,1054
124,21293727,1010
125,21711520,855
126,22330340,874
127,22753493,839
128,23249212,1031
129,23592246,898
130,24528290,1094
131,24570009,951
132,25037905,918
133,25267726,1140
134,25965684,992
135,26670055,1099
136,26983953,1178
137,27401657,1085
138,27675740,1037
139,28457977,1210
140,29026893,807
141,29554241,1306
142,30142534,1037
143,30279110,1073
144,31302108,1013
145,31666832,1171
146,32122927,942
147,32769980,1125
148,32984572,1121
149,33883487,1048
150,34599219,1360
151,35278803,1159
152,35757109,1028
153,36416516,1210
154,37053359,1080
155,38547801,1456
156,38364206,1295
157,38883420,1070
158,39910235,1225
159,40396727,1342
160,40378733,1410
161,41689710,1173
