n,time,fn
0,435707,0
10,629882,2
20,1112265,291
30,2414648,76909
40,4071544,153950543
50,4169979,522971216
60,5916724,40704712
70,8147988,478421259
80,10652725,789525339
90,13609529,397539654
100,16455605,517096079
110,19912316,791310617
120,23805546,982389743
130,28600216,791016833
140,32967655,930873912
150,37412339,591675476
160,42711505,635273926
170,48199415,4605592
180,54118192,539778657
190,60672052,843689237
200,67294048,331700756
210,73602145,299742102
220,81301022,633104145
230,88312959,753178656
240,96641786,362674935
250,104779494,156294411
260,114144574,338755755
270,122658378,187974239
280,131590075,253162505
290,140360710,11299408
300,151626874,756795629
310,160765640,272706876
320,172153703,80053551
330,183346098,731818935
340,194643752,88178479
350,207433634,289911822
360,218592557,837351224
370,230376212,819505824
380,246066291,610689229
390,255664267,834020525
400,270545079,649238827
410,283828235,432828793
420,299031763,338258714
430,312832098,137380038
440,326085910,709096602
450,343317549,698599522
460,357663178,813717732
470,374327824,70448921
480,391856361,6559602
490,406815680,87050172
500,422284485,714022098
510,441860651,228722206
520,460432603,453286003
530,481297304,661287196
540,497028101,42548115
550,515842909,155300114
560,533634468,796358476
570,555732062,926051220
580,574862542,861999372
590,593094979,569919932
600,616809444,997793325
610,634109872,354005027
620,657996671,750709466
630,676487722,77154971
640,703328409,559563982
650,723918466,534985063
660,749975162,772386543
670,775935499,603911956
680,797045752,710876791
690,822358283,115695328
700,847912718,865885697
710,877869618,892340446
720,903407302,628260217
730,931473256,113307589
740,958666614,830438771
750,990509892,996260227
760,1041474883,800059699
770,1057866226,418923717
780,1076257271,159496578
790,1107419741,508373729
800,1138511508,523145751
810,1172212969,412094154
820,1204296336,386543481
830,1232679686,111695129
840,1269852948,666154748
850,1297268141,88116173
860,1334573079,451437821
870,1361139633,647499158
880,1393814007,910194488
890,1431267233,12318186
900,1459459695,566095707
910,1494147906,459650624
920,1526014607,601083930
930,1558882285,317431447
940,1595871380,358309978
950,1628261051,304016234
960,1664373544,456721586
970,1705060302,178671919
980,1738297262,678386869
990,1772060569,511041534
1000,1818655716,912223013
