n,time,fn
0,1994,0
10,29315,2
20,118903,291
30,319159,76909
40,618089,153950543
50,991409,522971216
60,1626871,40704712
70,2212559,478421259
80,3004835,789525339
90,3810705,397539654
100,4540824,517096079
110,5429440,791310617
120,6401042,982389743
130,7605861,791016833
140,8963477,930873912
150,10293961,591675476
160,11875346,635273926
170,13073634,4605592
180,14679424,539778657
190,16474841,843689237
200,18348363,331700756
210,20215555,299742102
220,22142247,633104145
230,24477275,753178656
240,26307979,362674935
250,28513774,156294411
260,30658054,338755755
270,33005165,187974239
280,35606733,253162505
290,38432462,11299408
300,41245556,756795629
310,44311375,272706876
320,47555548,80053551
330,51309566,731818935
340,54059694,88178479
350,57695350,289911822
360,61144989,837351224
370,64653477,819505824
380,68079250,610689229
390,72328017,834020525
400,76720984,649238827
410,80774154,432828793
420,84669858,338258714
430,89520833,137380038
440,93063977,709096602
450,98095862,698599522
460,102920489,813717732
470,108268165,70448921
480,112041982,6559602
490,116786227,87050172
500,122397409,714022098
510,128197664,228722206
520,132930709,453286003
530,137413013,661287196
540,143258624,42548115
550,149913581,155300114
560,155346088,796358476
570,161878386,926051220
580,168320977,861999372
590,172523145,569919932
600,179613060,997793325
610,185560701,354005027
620,191842990,750709466
630,198256286,77154971
640,204630848,559563982
650,211519515,534985063
660,217656281,772386543
670,221148880,603911956
680,228719044,710876791
690,235232427,115695328
700,243020330,865885697
710,252533827,892340446
720,261205858,628260217
730,267497555,113307589
740,276797803,830438771
750,283521670,996260227
760,292503011,800059699
770,299811765,418923717
780,310980527,159496578
790,316178172,508373729
800,323561296,523145751
810,334322614,412094154
820,346300653,386543481
830,353227952,111695129
840,361414631,666154748
850,373323972,88116173
860,380411731,451437821
870,392166212,647499158
880,401489293,910194488
890,403981796,12318186
900,424651002,566095707
910,435684600,459650624
920,440567095,601083930
930,458026201,317431447
940,465870649,358309978
950,482354176,304016234
960,501459660,456721586
970,518625136,178671919
980,522073151,678386869
990,540830481,511041534
1000,551754985,912223013
