n,time,fn
0,399609,0
1,289283,1
2,365956,2
3,374803,3
4,326953,4
5,392055,5
6,439093,6
7,498916,7
8,616045,8
9,647724,9
10,871965,9
11,888466,11
12,976351,12
13,1251086,13
14,1191173,13
15,1413199,13
16,1557711,16
17,1886858,16
18,1878823,18
19,2592030,19
20,2306255,20
21,3142292,20
22,2658405,20
23,2894277,22
24,3257077,24
25,3356413,25
26,3616150,26
27,5160696,27
28,4219712,27
29,5136201,29
30,5019071,29
31,5426384,30
32,5680370,32
33,5613366,33
34,8731191,33
35,7004524,33
36,7314896,35
37,7501836,36
38,7886277,35
39,8133731,37
40,9187777,36
41,9309065,41
42,9621009,40
43,16359574,42
44,11044719,42
45,11084844,42
46,11572048,45
47,12215845,46
48,13103189,44
49,13010084,46
50,13766182,47
51,14373881,50
52,14622928,49
53,15984872,52
54,16225944,54
55,31874996,53
56,17555447,54
57,18544511,53
58,18877356,57
59,20216326,58
60,20539433,59
61,20703259,59
62,21499422,60
63,22578886,61
64,22125265,61
65,24125025,63
66,24920697,65
67,26203092,64
68,26410580,65
69,57499303,63
70,29042375,66
71,29632862,69
72,29937163,70
73,31206704,67
74,32366277,69
75,32145083,70
76,34043372,72
77,34212790,72
78,35152371,76
79,36094257,77
80,36738275,79
81,38729629,78
82,39046523,80
83,40628059,80
84,42266831,80
85,45025284,78
86,42718559,83
87,45234336,82
89,47608377,85
90,48396125,86
91,49681555,89
92,50194997,87
93,51148695,90
94,53825424,89
95,51743541,89
96,55281194,92
97,57271005,93
98,59211202,97
99,59973081,96
100,62058671,93
101,63303565,97
102,64678364,99
103,67437026,99
104,64696057,97
105,68173386,101
106,69824253,100
107,70701497,102
108,74271080,103
109,77273550,106
110,77889465,104
112,77574033,109
113,81875469,110
114,81355804,108
115,85093773,108
116,86669187,110
117,89135902,108
118,86422905,113
119,90440818,116
120,92113586,115
121,97326489,117
122,95214710,116
123,99653934,119
125,99511567,120
126,102507785,121
127,106681330,122
128,105328995,126
129,109497520,122
130,111850142,126
131,109376514,128
132,116242709,127
133,120927593,126
134,121729927,127
135,121033921,128
136,126291830,130
137,128638100,130
138,129591266,131
139,133068727,131
141,132211670,138
142,132485844,138
143,137898473,136
144,138086616,139
145,138046130,138
146,143044362,141
147,145804768,141
148,144216580,140
149,152628642,142
150,155714109,143
151,151122368,145
152,160172738,144
153,164345291,146
154,164735313,149
155,165962273,146
156,172600360,151
157,170520219,152
158,170757815,152
159,175061585,149
160,180753778,153
161,185411562,153
162,177612568,155
163,187666059,153
164,187831038,155
165,192732799,154
166,195363842,160
167,197421571,159
168,202665724,164
169,209536186,162
170,213777158,164
171,210267427,162
172,213719520,164
173,216238162,165
174,220845160,165
175,228540019,171
176,223390202,164
178,240161649,169
179,246803563,171
180,238215670,173
181,238993389,175
182,251828886,170
183,242908910,173
184,251533322,174
185,261764956,176
186,257393099,181
187,263825489,177
188,267668526,180
189,271749157,181
190,275169771,182
191,297188446,184
192,296252631,180
193,288001982,183
194,289903086,186
195,288216583,188
196,294249235,183
197,290509082,186
198,294179293,187
199,320496078,190
200,343654531,193
201,337712590,191
202,336500507,193
203,320350405,191
204,334364072,194
205,330944810,197
206,353386930,194
207,356273232,195
208,342242183,198
209,369217051,202
210,423306141,198
211,380404017,197
212,377643562,198
213,405428449,203
214,369910211,205
215,363157399,202
216,369287073,207
217,396903223,207
218,392134182,206
219,381121743,210
220,385531732,209
221,420109717,212
222,420354456,211
224,385188456,209
225,397468737,209
226,397903880,209
227,392236312,217
228,415959611,218
229,419426583,219
230,407476149,219
231,423458155,215
232,469598199,221
233,421873684,221
234,442835057,222
235,439212665,221
236,431883833,225
237,449747808,225
238,527601747,228
239,458427944,229
240,530311938,225
241,484848573,227
242,494736554,233
243,474892747,226
244,466764716,231
245,483005077,231
246,503577471,236
247,488469944,237
248,498593687,235
249,513509734,239
