n,time,fn
0,1152,0
1,3366,1
2,9819,2
3,17302,3
4,35857,4
5,19677,3
6,71965,6
7,93946,7
8,117390,8
9,165340,9
10,181861,10
11,226905,11
12,305973,12
13,304380,13
14,344526,14
15,426880,15
16,418044,16
17,478457,16
18,573165,18
19,662953,19
20,708399,20
21,747672,21
22,856546,22
23,961243,22
24,1024661,24
25,1398843,24
26,1204579,25
27,1307691,26
28,1337709,27
29,1506114,29
30,1627351,30
31,1991875,30
32,1749651,32
33,1978479,32
34,2076914,34
35,2234079,35
36,2392646,35
37,2556694,37
38,2606738,35
39,2758943,37
40,3343439,38
41,3018349,39
42,3151268,41
43,3439879,42
44,3545569,44
45,3634154,44
46,3940158,43
47,4123922,45
48,4361428,44
49,4433934,48
50,5737317,46
51,4817612,50
52,4864592,51
53,5105073,52
54,5412359,50
55,5571005,52
56,5768747,55
57,5972058,54
58,6253194,57
59,6608240,58
60,6692408,58
61,7107176,57
62,10947086,60
63,10304942,60
64,9169584,60
65,7815794,64
66,8074731,65
67,8269997,63
68,8725701,65
69,8930676,66
70,9333711,68
71,9420193,68
72,10071514,69
73,10349065,72
74,10627547,72
75,10881593,72
76,11142312,73
77,11574161,73
78,11899572,75
79,12224551,75
80,18592411,76
81,12096922,80
82,12752761,78
83,13339492,79
84,13730726,81
85,13720607,81
86,14305864,81
87,14541135,84
88,15496626,85
89,15761013,87
90,15695289,87
91,16360918,88
92,16756028,90
93,16320101,90
94,16976601,91
95,17380538,87
96,18332804,95
97,18777608,93
98,19572740,94
99,19659152,95
100,20142839,96
101,33381651,96
102,20132419,97
103,21042916,100
104,20900900,100
105,22152716,98
106,22063179,102
107,23030572,100
108,23236279,105
109,23543986,105
110,23855039,104
111,24861356,103
112,24751780,108
113,26991600,110
114,26718879,107
115,26662383,111
116,27957521,107
117,28098765,111
118,28746491,114
119,29247720,116
120,29856432,115
121,30526668,118
122,30802226,115
123,32057609,117
124,32651864,117
125,32707868,118
126,32879821,123
127,34029386,120
129,33560116,125
130,35071110,121
131,35861592,125
132,35835232,129
133,37219588,122
134,37641158,128
135,37582217,128
136,38993033,130
137,38912281,129
138,40413116,130
139,40693211,134
140,41231771,132
141,42283372,133
142,43921584,136
143,43081519,135
144,44584477,138
145,45332059,138
146,46183535,138
147,47056902,140
148,47348230,143
149,47584743,140
150,48185570,139
151,49884946,145
152,49712101,145
153,51834140,141
154,52250591,146
155,52326905,147
156,54046889,146
157,54866356,151
158,55127466,152
159,56541497,150
160,57604970,150
162,56456547,157
163,56821060,156
164,56738526,156
165,58551736,154
166,58779534,160
167,58545484,156
168,60375155,157
169,62452610,163
170,62471496,163
171,63420154,160
172,64483117,159
173,65961871,166
174,66586491,167
175,68407717,169
176,68774224,170
177,67931573,171
178,70656442,169
179,70636415,167
180,70652615,167
181,73731728,168
182,74612531,170
183,75949758,170
184,77028380,172
185,77975206,177
186,76034337,176
187,79448268,177
188,79449841,174
189,82532721,179
190,81549147,179
191,83960629,181
192,84903015,187
193,86631557,182
194,87626492,184
195,87641370,187
196,88002878,187
197,90886314,189
198,88990339,188
199,93497771,190
200,93915233,192
201,94093548,194
202,96132480,192
203,98776409,195
205,96904900,195
206,97590835,196
207,96714051,192
208,97120093,195
209,102248959,201
210,100782059,202
211,101659734,203
212,103325398,204
213,103879937,203
214,107233335,202
215,107973894,206
216,108771920,205
217,109600313,208
218,110985892,210
219,112216459,210
220,112113626,210
221,113996156,211
222,115777155,212
223,116837964,214
224,118196431,210
225,117986799,214
226,119669223,211
228,124509508,219
229,125355996,215
230,126283926,220
231,128338718,221
232,128055678,220
233,130649061,219
234,131346368,226
235,131335778,229
236,133600986,224
237,134968730,228
238,137728084,224
239,138189088,228
240,139924983,226
241,140897085,226
242,143537386,230
243,145119002,226
244,144070496,235
245,146550065,235
246,147939861,234
247,150116713,233
248,154657567,235
249,156085975,236
