n,time,fn
1,334867,27
2,319519,32
3,229841,46
4,220082,33
5,224671,86
6,239118,64
7,230402,41
8,240170,90
9,292758,68
10,320321,81
11,255158,61
12,254026,45
13,260338,160
14,286638,125
15,286137,89
16,285635,108
17,277160,152
18,303750,134
19,290324,154
20,368611,197
21,286837,134
22,316855,207
23,320160,272
24,310061,125
25,331471,140
26,323015,171
27,339356,218
28,345408,226
29,468999,247
30,341551,250
31,356799,214
32,361007,215
33,370064,186
34,422412,292
35,427111,244
36,428374,180
37,412874,211
38,401373,257
39,439123,306
40,412504,246
41,762410,388
42,428043,313
43,434265,332
44,470813,244
45,479238,298
46,459282,310
47,494677,327
48,507411,208
49,480762,259
50,517651,365
51,529994,450
52,510567,406
53,553137,326
54,539662,281
55,562986,400
56,557455,393
57,759494,411
58,566202,508
60,613129,468
61,655971,527
62,612318,393
63,663484,558
64,632376,595
65,633547,455
66,667772,526
67,726632,587
68,989845,547
69,719429,560
70,719289,388
71,709981,645
72,685926,578
73,725139,487
74,726913,544
75,725590,718
76,739306,441
77,781626,747
78,774822,540
79,775695,632
80,788669,623
81,823544,506
82,799739,762
83,853401,687
85,829535,703
86,856817,624
87,870212,724
88,884860,911
89,894157,603
90,882074,563
91,913433,702
92,914956,579
93,943449,554
94,938079,820
95,949740,832
96,986370,830
97,1017908,614
98,971392,750
99,993904,878
100,1032767,842
101,1003972,795
102,1060949,755
103,1052513,757
104,1033798,888
105,1074325,669
106,1115862,982
107,1145519,782
108,1107326,855
109,1149255,862
110,1134928,1086
111,1127334,839
112,1195511,909
113,1164765,770
114,1220960,797
115,1177428,946
116,1224256,1043
117,1242139,950
118,1223644,885
120,1282634,895
121,1246206,771
122,1271093,717
123,1280471,879
124,1301931,975
125,1316097,1110
126,1374376,980
127,1346555,1043
128,1472952,897
129,1396919,798
130,1391289,823
131,1422307,1209
132,1472471,984
133,1445751,1117
134,1428479,854
135,1445069,1134
136,1453505,1053
137,1556749,1024
138,1503780,963
139,1499753,1036
140,1509330,1022
141,1649232,939
142,1565184,1313
143,1596904,1103
144,1622462,1105
145,1598056,1298
146,1595892,1176
147,1625167,1143
148,1681062,1452
149,1658088,1042
150,1696541,1098
151,1693265,1077
152,1790718,1142
153,1791689,1133
154,1738259,1191
155,1813250,1148
156,1795797,1192
157,1798332,1204
158,1799855,1161
159,1812107,1310
160,1886768,1124
161,1864345,1368
162,1921944,1215
163,1974943,1143
164,1924048,1107
165,1931642,1482
166,1936241,1198
167,2012624,1367
169,2024446,1355
170,2023154,1328
171,2042099,1426
172,2055945,1272
173,2066766,1509
174,2091682,1125
175,2083336,1256
176,2163165,1353
177,2375414,1453
178,2205745,1330
179,2229210,1310
180,2198492,1418
181,2267332,1277
182,2367740,1582
183,2344606,1540
184,2471444,1414
185,2350137,1383
186,2289022,1584
187,2296917,1561
188,2333286,1499
189,2356429,1199
190,2401373,1323
191,2447329,1650
192,2400260,1531
193,2445916,1376
194,2521458,1623
195,2491812,1545
196,2513132,1514
197,2506951,1563
198,3607344,1754
199,2579066,1493
200,2573605,1538
201,2563637,1518
202,2639088,1532
203,2674364,1508
204,2788569,1622
205,2665488,1813
206,2741330,1907
207,2772258,1719
208,2734227,1307
209,2794931,1571
210,2811291,1638
211,2783670,1821
212,2919033,1750
213,2795051,1657
214,3360582,1817
215,2889157,1550
216,2925365,1644
217,2978875,1683
218,2959319,1503
219,2996919,1729
220,2993994,1902
221,3089653,1815
222,3076368,1722
223,3045360,1550
224,3095414,1646
225,3169243,1936
226,3198818,1649
227,3200952,1868
228,3198337,2059
229,3192196,1588
230,3298575,1810
231,3429140,1967
232,3298755,1921
233,3310217,1885
234,3286743,1562
235,3336275,1548
236,3535740,1623
237,5729393,1738
239,3480606,1794
240,3581495,1927
241,3614597,2089
242,3605640,1770
243,3483832,1915
244,3488641,1771
245,3524438,1764
246,3565395,1832
247,3629696,1969
248,3664521,1954
249,3672666,1974
250,3761903,1609
251,4002605,2206
252,3774087,1936
253,3922625,1906
254,3844388,1998
255,4208280,1963
256,6466114,2216
257,3913908,2044
258,3969342,2017
259,6516979,2066
260,3950407,2095
261,4020349,2057
262,3987827,1802
263,4170130,1810
264,4156003,1960
265,4124423,2144
266,4049683,2105
267,4180519,2004
268,6984696,1884
269,5161948,2390
270,4295825,2068
271,4237646,2082
272,4270307,1897
273,7452784,2192
274,4413986,1945
275,4549230,2232
276,4682691,1901
277,4620673,2078
278,4511549,1887
279,4431359,1899
280,4414988,2040
281,4488666,2422
282,4448982,2352
283,4473648,2200
284,4506270,2241
285,4560010,2340
286,4552316,2163
287,4875091,2278
288,4672231,2088
289,4715722,2432
290,4738605,2366
291,4739397,1784
292,4969609,2494
293,4874460,2122
294,4821060,2158
295,4927569,2397
296,4919734,2086
297,4854833,2179
298,4936386,2349
299,4911329,1953
300,5035522,2447
301,4916990,2246
302,8374572,2401
303,8403367,2512
304,5057002,2648
305,5154044,2065
306,5386369,2472
307,5077190,2216
308,5130269,2253
309,5225028,2631
310,5273298,2728
311,5374247,2268
312,5329092,2502
313,5507346,2435
314,5321037,2466
315,5466369,2687
316,5399844,2132
317,5451101,2385
318,5456601,2210
319,5717611,2149
320,5481087,2418
321,5623614,2082
322,5645025,2334
323,5587196,2642
324,5686231,1940
325,5777043,2453
326,5646237,2603
327,5694147,2246
328,5862562,2425
329,5868413,2355
330,5963421,2454
331,5932824,2465
332,5937183,2419
333,6068889,2391
334,6495209,2500
335,6058310,2436
336,6004048,2434
337,6172093,2670
339,6219471,2596
340,6044304,2847
341,6303960,2812
342,6516498,2339
343,6324639,2522
344,6374593,2543
345,6358091,2791
346,6289833,2706
347,6303669,3019
348,6498625,2330
349,6498926,2643
350,6528641,2633
351,6591309,2340
352,6528572,2684
353,6585177,2913
354,6540604,2661
355,6687830,2347
356,6627767,2596
357,6636334,2647
358,6786786,2684
359,6740718,2863
360,7001508,2838
361,6859792,2849
362,6778831,2904
363,6845225,2716
364,6836148,2610
365,7033939,2496
366,6936566,3073
367,7118457,2736
368,7054257,3168
369,7457213,2833
370,7398413,2798
371,7116303,2883
372,7105373,3041
373,7214288,2537
374,7321708,3129
375,7293675,2982
376,7408211,2862
377,7351034,2997
378,7397520,2883
379,7294728,2869
380,7385899,2855
381,7538054,2971
382,7566828,2733
383,7546861,2886
384,7667466,2937
385,7655735,3056
386,7841102,2814
387,7970264,2722
388,7630778,3157
389,7926352,2961
390,7808041,2775
391,7763106,2738
392,7903399,2734
393,8546295,3050
394,7932654,3195
395,7853997,2930
396,7953072,2952
397,8152136,3294
398,8128471,2785
399,7922104,3066
400,8113583,2808
401,8131427,2986
402,9236007,2915
403,8240331,3237
404,8408216,3157
405,8327054,3248
406,9244063,3103
407,8284603,3285
408,8362751,2977
409,8321733,3182
410,8424236,3144
411,8587472,3230
412,8588293,3243
413,8595296,3521
414,8584055,3049
415,8520767,3086
416,9675782,3115
417,8710773,3075
418,9489052,3087
419,8884279,2803
420,8876614,3005
421,8941305,3094
422,8921157,3374
423,9915421,3255
424,9293405,3370
425,9007339,3324
426,9159364,3353
427,9113087,3298
428,9197576,3316
429,9731436,3392
430,9216802,3137
431,9180073,3282
432,9417538,3300
433,9391569,3607
434,9372193,3326
435,9511324,3453
436,10345257,3317
437,9508419,2907
438,9838557,3115
439,9535409,3157
440,9634284,3391
441,9670353,3279
442,9720096,3499
443,9607013,3170
444,9902448,3561
445,9787903,3651
446,9804323,3316
447,10173185,3449
448,10072196,3329
449,10313738,3685
450,10192782,3310
451,10040817,3582
452,10110067,3407
453,10239590,4018
454,10453450,3636
455,10220153,3759
456,10276068,3577
457,10371126,3657
458,10474600,3603
459,10502653,3819
460,10527179,3205
461,10626655,3445
462,10530595,3284
463,10558327,3579
464,10770224,3528
465,10787187,3332
466,10765726,3146
467,10798457,3665
468,12218510,3794
469,10742332,3654
470,10967424,3215
471,11051913,3892
472,11074655,3380
473,11022928,3672
474,11174813,3687
475,11511564,3381
476,11276063,3607
477,11587517,3683
479,11151620,3626
480,11257158,3529
481,11417699,3694
482,11276103,4017
483,11400717,3817
484,11484464,3846
485,11437906,3669
486,11516765,3580
487,11962309,3695
488,11620058,3932
489,11628473,3417
490,11724564,3517
491,12966142,3873
492,11652739,3797
493,11997797,3323
494,11676414,3850
495,11677565,3911
496,12192913,3614
497,11872832,3032
498,11891236,3835
499,12013065,3582
500,11914761,3854
501,12017122,3974
502,11960085,3916
503,13200832,4031
504,12197511,3847
505,12178104,3885
506,12211427,3730
507,12452749,4153
508,12323928,4039
509,12522780,3904
510,12468128,4178
511,12448451,3846
512,12665368,3990
513,12582302,3896
514,12536636,4005
515,12785483,3926
516,12724599,4334
517,12837280,4245
518,13295700,3818
519,12925706,4002
520,13102628,3765
521,13157862,3908
522,12962475,3774
523,13096827,4064
524,13712041,4045
525,13150397,4107
526,13051632,4272
527,13242430,3865
528,13602165,3891
529,13219376,3674
530,13480897,3878
531,14145203,4000
532,13872822,3691
533,13533265,3851
534,13683136,3957
535,14780794,3951
536,13855208,4417
537,14123322,4016
538,13895945,4155
