n,time,fn
0,369833,11
10,351709,57
20,468999,198
30,636443,236
40,593503,245
50,980569,452
60,818314,478
70,1298024,460
80,1215299,708
90,1738199,521
100,1696099,820
110,1301380,956
120,1628002,827
130,3243101,859
140,2240381,1016
150,2302347,1150
160,1998858,1317
170,2942227,1196
180,3260413,1265
190,5044538,1488
200,2924673,1483
210,3097748,1667
220,3006237,1657
230,3369237,1880
240,3672456,1572
250,3869234,1887
260,4064081,2254
270,10441678,1931
280,4600767,2047
290,4842750,2143
300,5076208,2021
310,5488811,2233
320,5568501,2507
330,5958222,2745
340,9451973,2812
350,6538390,3017
360,7026615,2722
370,7305137,2681
380,24581340,2793
390,7938284,3012
400,8603752,2836
410,8669014,3407
420,9168601,3336
430,9605981,3522
440,9848386,3403
450,10168857,3416
460,10492554,3327
470,10959509,3537
480,11354820,3485
490,11699667,4176
500,12143069,3761
510,12517140,4125
520,13158563,4308
530,60519676,4032
540,13872421,3740
550,14446808,4597
560,15144005,3965
570,15523948,4420
580,15987697,4542
590,16463220,4345
600,17806067,4951
610,17440973,4651
620,18270027,4631
630,18710012,5136
640,19107547,4839
650,19769107,5168
660,20605225,4888
670,20854653,5418
680,21296863,5450
690,21706790,5357
700,23275201,4727
710,22987562,5218
720,23769148,5303
730,24298991,5402
740,24804880,5850
750,25786430,6302
760,156970734,5857
770,27900544,5450
780,27313744,5648
790,31374308,6190
800,29654703,6056
810,29438588,6153
820,31312432,6016
830,31126233,6969
840,31602385,6552
850,32390503,6682
860,33174042,5787
870,33651568,6649
880,34249178,6142
890,36236624,7004
900,36866195,6881
910,36856577,6870
920,39058807,6945
930,38364073,7065
940,39539528,7292
950,39644414,6975
960,40172705,6996
970,41995803,7678
980,43126303,7263
990,42925426,7533
