n,time,fn
0,1252,27
10,11772,107
20,80310,141
30,28994,237
40,41789,403
50,61075,242
60,69991,370
70,82775,423
80,110627,576
90,117881,608
100,137418,896
110,177262,675
120,201388,978
130,204884,963
140,232556,1064
150,257703,1039
160,325220,1381
170,305964,1284
180,342713,1300
190,370555,1470
200,414968,1680
210,452729,1594
220,484028,1537
230,587512,1560
240,539792,1933
250,624811,1727
260,628589,1928
270,684644,2051
280,747171,1809
290,770876,2108
300,833543,2206
310,891401,2199
320,931016,2497
330,1075987,2764
340,1050890,2660
350,1095033,2823
360,1375921,2462
370,1209968,2799
380,1307592,2632
390,1337658,2939
400,1414462,3134
410,1463474,3041
420,1524148,2993
430,1624385,3278
440,1670492,3010
450,1808241,3345
460,1841322,3146
470,2130816,3520
480,1946710,3891
490,2035717,3566
500,2109836,3518
510,2257723,3653
520,2281167,4147
530,2362539,4024
540,2453540,3909
550,2559669,4047
560,2678051,3724
570,2788659,4101
580,2794690,4758
590,2940424,4078
600,3013010,4582
610,3156779,4123
620,3213735,4597
630,3241909,4335
640,3406658,4502
650,3495384,4881
660,4142287,5211
670,3700929,5086
680,3788223,5229
690,3941180,5370
700,3955767,5395
710,4167123,4911
720,4317986,5426
730,4423294,5346
740,4466645,5638
750,4585008,5451
760,4747923,5456
770,4904516,5793
780,4941776,6049
790,5120691,5717
800,5188549,5662
810,5509651,5989
820,5454066,5528
830,5507737,6245
840,5724023,6540
850,5878613,6481
860,6089698,6067
870,6213200,6161
880,6457328,6525
890,6349987,6700
900,6520456,6521
910,6827762,6405
920,6899918,6104
930,8111429,6757
940,7117516,6728
950,7417809,6647
960,7431353,6689
970,7628313,6626
980,7585793,7093
990,7915472,7789
