n,time,fn
1,3537,0
2,4979,22
3,4439,68
4,5570,42
5,73047,0
6,8276,76
7,8796,49
8,10660,83
9,11050,105
10,13435,46
11,15139,65
12,15790,137
13,16080,116
14,17453,78
15,20869,103
16,21571,100
17,23124,172
18,25828,125
19,26219,115
20,28223,243
21,30707,149
22,30357,89
23,31800,114
24,36619,206
25,39243,178
26,38201,201
27,38813,319
28,41338,174
29,42710,310
30,50515,237
31,46828,245
32,49874,271
33,50044,168
34,53741,197
35,73628,324
36,72847,242
37,60464,233
38,67136,424
39,68328,259
40,65122,251
41,67427,372
42,69941,329
43,74109,226
44,76423,303
45,77736,407
46,78797,290
47,82936,356
48,88506,442
49,86031,204
50,107582,378
51,115867,401
52,93165,435
53,97062,452
54,97383,558
55,103745,425
56,109716,301
57,108724,333
58,109495,428
59,111970,299
60,122850,494
61,122450,382
62,136045,461
63,133921,389
64,129302,515
65,131627,505
66,134522,417
67,137718,440
68,139382,637
69,156764,509
70,147316,610
71,154069,505
72,174628,471
73,205365,608
74,184826,573
75,162725,499
76,177333,665
77,166252,766
78,180769,542
79,174337,568
80,197470,549
81,181991,662
82,190166,687
83,197841,439
84,192662,520
85,200476,526
86,232756,525
87,212509,607
88,233518,614
89,212379,691
90,223759,551
91,225894,514
92,231344,726
93,232706,609
94,244097,608
95,237135,685
96,263464,693
97,258685,682
98,248726,674
99,252834,842
100,270116,730
101,264937,556
102,285174,586
103,282360,602
104,377849,547
105,284023,765
106,297167,725
107,288090,720
108,293821,648
109,325971,805
110,302037,798
111,298980,997
112,324178,671
113,308258,889
114,332333,821
115,652554,805
116,339617,810
117,337924,914
118,341711,788
119,353073,914
120,353383,946
121,386605,953
122,361868,1018
123,365495,1066
124,369984,774
125,368261,922
126,394119,836
127,384882,591
128,396954,739
129,403095,987
130,413335,877
131,422131,1028
132,427822,971
133,425177,1001
134,434976,819
135,430377,1015
136,462157,807
137,440516,1086
138,451787,908
139,452288,851
140,477846,1116
141,478908,1112
142,468589,1039
143,477485,1028
144,506439,1114
145,563496,1018
146,630001,1023
147,955662,915
148,508624,1089
149,510457,1092
150,533501,980
151,540062,1052
152,534392,1253
153,520496,1414
154,563116,1343
155,536566,1149
156,560070,1195
157,590367,883
158,569187,1215
159,567394,1510
160,580448,1242
161,575800,1193
162,602330,922
163,592651,1308
164,590397,1109
165,616877,997
166,629770,1201
167,612468,1360
168,635342,1163
169,630312,1334
170,793428,1139
171,645731,1170
172,659587,1301
173,631835,1724
174,686287,1224
175,684734,1120
176,678782,1222
177,685726,1245
178,714018,1192
179,717335,1348
180,692959,1393
181,740789,1265
182,733565,1154
183,731862,1367
184,786906,1244
185,847680,1238
186,849843,1451
187,886772,1243
188,888867,1362
189,849092,1776
190,944201,1121
191,877064,1250
192,897703,1538
193,925526,1377
194,913873,1394
195,951304,1417
196,958687,1309
197,905688,1712
198,926488,1364
199,883537,1397
200,940684,1361
201,1026024,1697
202,1140137,1251
203,1180564,1546
204,1246136,1376
205,1233853,1640
206,1072070,1822
207,1045590,1284
208,1783293,1404
209,1071449,1478
210,1068113,1433
211,1082970,1445
212,1080927,1704
213,979426,1561
214,1157611,1491
215,1101505,1654
216,1104501,1551
217,1121683,1521
218,1087730,1569
219,1038417,1633
220,1033217,1861
221,1049748,1345
222,1035893,1709
223,1205320,1671
224,1147221,1793
225,1194750,1636
226,1217563,1354
227,1247839,1674
228,1175965,1373
229,1101836,1583
230,1135930,1641
231,1134467,1756
232,1122715,1690
233,1173992,1677
234,1160906,1730
235,1169623,1727
236,1176656,1701
237,1254161,1901
238,1179812,1727
239,1236489,1729
240,1224766,1757
241,1228284,1895
242,1217372,1805
243,1219948,1662
244,1217703,1900
245,1260924,1721
246,1254382,1816
247,1283297,1674
248,1269229,1701
249,1298094,1917
250,1383624,1694
251,1314324,1871
252,1283547,1865
253,1397991,1938
254,1529347,2007
255,1483542,1817
256,1353077,1791
257,1403201,1849
258,1375759,1817
259,1376310,1922
260,1552712,1947
261,1700549,1963
262,1916514,1910
263,1905583,1844
264,1920311,1917
265,1957120,1714
266,1964133,1885
267,2018485,1832
268,1948232,2098
269,1985663,1935
270,1625278,1943
271,1584160,1782
272,1565686,1870
273,1541320,1971
274,1554706,2012
275,1548544,2021
276,1562349,2225
277,1610049,2218
278,1607585,1842
279,1608686,2256
280,1604889,2113
281,1646477,2218
282,1649352,1829
283,1654201,2330
284,1687074,2193
285,1789165,2216
286,1704797,2015
287,1742908,2157
288,1697192,2208
289,1747216,2287
290,1727399,2351
291,1837746,2231
292,1828108,1999
293,1794104,2332
294,1812218,2089
295,3036633,2205
296,1809824,1987
297,1789025,2434
298,1791449,2098
299,1983409,2345
300,1953112,2152
301,1813721,2405
302,1885886,2328
303,1845871,2266
304,1969052,2162
305,1924007,2338
306,1958382,2251
307,2043321,2049
308,1951709,2425
309,1957320,2350
310,2109395,2285
311,1985954,2256
312,2141706,2138
313,2221305,2340
314,2269365,2286
315,2084409,2359
316,2160031,2076
317,2083006,2162
318,2075502,2348
319,2289973,2102
320,2305232,2449
321,2305363,2291
322,2105468,2293
323,2152285,2305
324,2157566,2249
325,2213470,2124
326,2158687,2176
327,2229761,2478
328,2255689,2426
329,2244168,2017
330,2217578,2307
331,2183293,2533
332,2240070,2364
333,2312025,2668
334,2310101,2559
335,2318889,2434
336,2318868,2394
337,2376897,2499
338,2349685,2673
339,2397926,2404
340,2360496,2451
341,4807044,2347
342,3112065,2631
343,2437520,2244
344,2421330,2752
345,2482374,2522
346,2451948,2855
347,2474179,2582
348,2524143,2484
349,2521478,2540
350,2532348,2759
351,2531536,2857
352,2509225,2340
353,3332388,2540
354,2585077,2574
355,2572954,2441
356,2550562,2561
357,2686428,2622
358,2685054,2358
359,2679684,2810
360,2662913,2548
361,2656331,2484
362,2655819,2573
363,2716764,3000
364,2732905,2279
365,2737734,2901
366,2758673,2489
367,2720501,2609
368,2784942,2734
369,2743484,2569
370,3240447,2326
371,2847198,2515
372,2884659,2512
373,2837691,2495
374,2901691,2434
375,2843892,2742
376,2875141,2668
377,2934051,2531
378,2950392,2816
379,2882475,3100
380,3026756,2846
381,3035802,2886
382,3004373,2837
383,3026524,2487
384,2959098,2931
385,3150928,3009
386,3075507,2706
387,3024141,3045
388,3057122,2654
389,3029771,2914
390,3081829,2639
391,3122966,3095
392,3071388,2778
393,3185232,2827
394,3109901,3055
395,3105102,2583
396,3196735,2900
397,3198307,2818
398,3210089,2829
399,3238302,3053
400,3278507,2830
401,3268699,2743
402,3287945,3250
403,3290309,3009
404,3293526,2937
405,3280721,2781
406,3328441,3077
407,3417338,3027
408,3322320,3204
409,3401798,3227
410,3465708,3190
411,3374367,3128
412,3468013,3099
413,3466509,2957
414,3477140,2777
415,3496316,2852
416,3486858,2834
417,5991865,3207
418,3510653,2590
419,3477550,2934
420,3623495,2921
421,3557991,3077
422,3595661,3232
423,3689277,3338
424,3591123,2976
425,3656186,3127
426,3705628,3273
427,3705167,3355
428,3684619,2985
429,3636668,3158
430,3674741,3291
431,3645916,3724
432,3775630,2924
433,3746885,2825
434,3661476,3192
435,3843928,3061
436,3752215,2848
437,3853997,3085
438,3758427,3278
439,3927865,3213
440,3926593,3633
441,3868974,3409
442,3900093,2889
443,3985042,3199
444,3946961,3708
445,3924669,3444
446,3998778,3101
447,4018355,3597
448,4012775,3429
449,4114465,3366
450,4017442,3199
451,3993387,3198
452,4377107,3109
453,4060414,3286
454,4140564,3404
455,4102713,3323
456,4149410,3506
457,4219040,3253
458,4194184,3269
459,4228298,3519
460,4154810,3461
461,4205996,3378
462,4305823,3507
463,4318377,3446
464,4260829,3624
465,4385163,3191
466,4681447,3395
467,4416421,3252
468,4450184,3382
469,4229550,3517
470,4467487,2984
471,4414217,3607
472,4551124,3572
473,4447870,3334
474,4523953,3323
475,4474539,3148
476,4486532,3496
477,4663474,3321
478,4559018,3478
479,4596709,3288
480,4646342,3723
481,4564999,3807
482,4701837,3638
483,4585037,3716
484,4747862,3438
485,4724148,3633
486,4708268,3529
487,4770135,3401
488,4839494,3473
489,4757270,3524
490,4722655,3656
491,4777398,3612
492,4835195,3572
493,4851246,3514
494,4974076,3901
495,4818936,3655
496,4989496,3502
497,4977092,3994
498,5018419,3461
499,4950833,3040
500,4867256,3855
501,5005435,3852
502,4978084,3456
503,4979817,3659
504,5052533,3763
505,5028258,3516
506,4981831,3925
507,5167289,3546
508,5226239,3802
509,5387341,3650
510,5125701,3818
511,5213596,3602
512,5175774,3499
513,5164905,3193
514,5275171,3498
515,5272045,3803
516,5389896,3300
517,5375229,3490
518,5445921,3492
519,5277526,3628
520,5382222,3807
521,5305849,3647
522,5477110,3609
523,5531902,3728
524,5492419,3770
525,5484253,3727
526,5665403,3593
527,5526923,3496
528,5574322,3814
529,5609098,3739
530,5523708,3734
531,5523697,3897
532,5520571,3934
533,5628203,3913
534,5646017,3514
535,5585994,3547
536,5514480,3971
537,5803962,3488
538,5684228,3471
539,5862052,3928
540,5777563,4216
541,5778415,4073
542,5805996,3638
543,5928978,4151
544,5941100,3929
545,5979983,3915
546,5929779,4053
547,5903969,3787
548,5897448,4183
549,6009478,4075
550,5932093,4403
551,6030528,4184
552,6083577,4096
553,6021039,3857
554,6155362,3930
555,6070592,3763
556,6079499,3966
557,6227467,4212
558,6240020,4153
559,6223679,3972
560,6213611,4481
561,6168236,3915
562,6170971,4168
563,6291687,4241
564,6224642,4256
565,6419296,4116
566,6335149,4309
567,6321803,4063
568,6431309,4276
569,6498274,4180
570,6383029,4283
571,6494156,4093
572,6384491,4088
573,6476554,4486
574,6565460,4343
575,6572453,4080
576,6480431,4484
577,6614252,4143
578,6579066,4172
579,6742792,4376
580,6681488,4636
581,6636675,4172
582,6589696,4191
583,6625683,4167
584,6597630,4263
585,6702047,4161
586,6881804,4324
587,6975499,4255
588,6539502,4445
589,6637135,3961
591,6682811,4130
592,6746871,4198
593,6945493,4222
594,6883948,4535
595,6966683,4051
596,7076368,4285
597,7028970,4158
598,6839434,4302
599,6976130,4350
600,7193458,4325
601,7109120,4255
602,7087869,4417
603,7095605,4521
604,7248692,4326
605,7227792,4141
606,7125871,4361
607,7166106,4283
608,7158722,4074
609,7173841,4398
610,7334171,4122
611,7457012,4129
612,7247759,4600
613,7555006,4516
614,7946069,4684
615,7731507,4567
616,7505733,4657
617,7456832,4380
618,7389236,4610
619,7586455,4649
620,7879424,4631
621,9426795,4421
622,7888421,4596
623,8235522,4604
624,8283923,4470
625,8026971,4664
626,8297417,5207
627,8288491,4942
628,8249147,4739
629,8160661,4643
630,8355016,4742
631,8013886,4192
632,8086993,4289
633,8716925,4442
634,8259366,4139
635,8549531,4358
636,8883647,4490
637,8163677,4374
638,8264416,4614
639,8752170,4253
640,8429315,4394
641,8086753,5089
642,7854888,4403
643,8070802,4557
644,8110618,4911
645,8527349,4266
646,8474570,4804
647,8087585,4867
648,8475762,5022
649,8025438,4697
650,8127239,4721
651,8785854,4460
652,9882500,5276
653,9150888,4615
654,8942718,5196
655,8627196,4950
656,8358222,4567
657,8449423,4678
658,8466535,4567
659,8427251,4580
660,8661310,4895
661,8435727,4657
662,8490280,4641
663,8545062,4731
664,8653716,4542
665,8592030,4976
666,8737363,4690
667,8826961,4597
668,8514054,4567
669,8710743,5029
670,8700734,5288
671,8708418,4786
672,8950052,4911
673,8763281,5129
674,8932809,5308
675,8841238,5112
676,8899136,5281
677,9117365,5246
678,9116985,5146
679,9214448,4832
680,8987322,4705
681,8818445,5169
682,8957305,4937
683,9303074,4678
684,9136662,5297
685,9230427,5237
686,9238263,5014
687,9350823,4937
688,9521302,5445
689,9125280,4830
690,9395327,5351
691,9547381,5280
692,9688046,5064
693,9329183,4879
694,9331497,5016
695,9446572,5032
696,9584351,5047
697,9615018,5051
698,9382392,5055
699,9467542,5075
700,9624727,4922
701,9591664,5426
702,9598738,4945
703,9656616,5262
704,9842775,5146
705,10031519,5327
706,9947943,4978
707,9635096,5228
708,9831384,5377
709,10319309,4916
710,9701931,5778
711,9844799,5482
712,9821396,5370
713,10910718,4997
714,10005812,5504
715,9924278,4500
716,10863830,4838
717,10663374,5586
718,10485631,5212
719,11005816,5061
720,11058445,5053
721,10874861,5498
722,10820428,5391
723,10295745,5118
724,10453921,4989
725,10802385,5675
726,10725530,5201
727,10139201,5692
728,10838783,4755
729,11329293,5407
730,11250475,5028
731,12406592,5156
732,11552100,5350
733,11371001,5289
734,10930626,5573
735,10969659,5284
736,10780373,5474
737,10732705,4863
738,10489048,5318
739,10828523,5697
740,10809417,5329
741,10698230,4964
742,10641613,4859
743,10982031,4762
744,11001398,5859
745,10800331,5516
746,10947086,5268
747,10924814,5176
748,11080225,5379
749,10943269,5318
750,11031314,5917
751,11342166,5399
752,11216752,5591
753,10988434,5227
754,11108058,5678
755,11051551,5709
756,11171587,5687
757,11254502,5001
758,11307652,5510
759,11467111,5391
760,11175926,5363
761,11432396,5489
762,11529118,5137
763,11226410,5628
764,11441574,5569
765,11477571,5187
766,11602154,5556
767,12010330,5894
768,11653440,5448
769,12597371,5185
770,13714615,5866
771,11777754,5451
772,11940208,5082
773,11716660,5421
774,11737227,5327
775,11845390,5835
776,11808210,5797
777,11499912,6730
778,12141165,5797
779,12259156,6025
780,12175049,5949
781,11843057,5774
782,12291417,5090
783,12521758,6014
784,12053380,5859
785,11907257,5556
786,12313108,5648
787,12263654,6323
788,12201017,5661
789,12402565,5947
790,12263916,6059
791,12221725,5768
792,12400671,5994
793,12400031,5600
794,12236534,5839
795,12284924,6018
796,12655600,5334
797,12826020,5435
798,12493325,5821
799,12850274,6073
800,12564939,5990
801,12419106,5837
802,13158663,6179
803,12641343,5932
804,12913423,5749
805,12970070,5989
806,13034580,5932
807,13066590,6258
808,12551144,5719
809,13579702,6014
810,12961884,5615
811,13171287,5932
812,13584722,5962
813,12904016,6134
814,13204479,6046
815,13350643,5663
816,13147021,5935
