n,time,knap
1,13,10
2,14,21
3,16,27
4,16,32
5,14,48
6,15,73
7,15,101
8,15,130
9,15,146
10,16,147
11,18,170
12,17,175
13,16,201
14,17,211
15,18,233
16,18,241
17,22,269
18,19,280
19,27,293
20,29,304
21,32,322
22,54,352
23,35,365
24,62,371
25,44,393
26,48,407
27,56,437
28,61,466
29,35,476
30,30,479
31,45,493
32,46,503
33,38,527
34,95,528
35,34,558
36,100,585
37,122,607
38,73,610
39,51,632
40,151,634
41,54,638
42,48,657
43,69,673
44,45,688
45,43,706
46,101,709
47,70,734
48,44,737
49,170,752
50,163,752
