n,time,r
1,220503,0
2,219621,27
3,243648,68
4,243868,81
5,211461,81
6,225014,81
7,212615,81
8,232131,81
9,263706,221
10,218148,221
11,243919,221
12,340198,221
13,309956,221
14,451482,269
15,227930,269
16,294900,269
17,524544,285
18,281368,285
19,241022,327
20,214218,327
21,394897,327
22,2001460,419
23,221466,419
24,358811,419
25,294338,420
26,231640,420
27,297426,420
28,219611,420
29,217366,420
30,248710,420
31,217086,420
32,218969,420
33,244591,420
34,224834,420
35,225345,420
36,415466,420
37,582202,420
38,244941,420
39,217436,420
40,392170,420
41,235719,420
42,2857322,505
43,2204642,505
44,304834,505
45,260689,505
46,6960270,505
47,260408,505
48,235309,505
49,907644,505
50,1778681,505
51,272998,505
52,609496,505
53,20469552,725
54,254494,725
55,1402107,725
56,7225950,725
57,600405,725
58,260418,725
59,616273,725
60,1510866,725
61,253341,725
62,251718,725
63,1489866,725
64,274431,725
65,2162012,725
66,253913,725
67,300383,725
68,259937,725
69,707329,725
70,905840,725
71,349960,725
72,16168655,725
73,1594574,725
74,265150,729
75,373326,729
76,272627,729
77,260698,729
78,265309,729
79,270211,729
80,5963143,729
81,263515,729
82,260418,729
83,263245,729
84,26319867,761
85,271925,761
86,1754004,761
87,6768535,761
88,287212,761
89,286169,761
90,42983677,889
91,388944,889
92,3368315,889
93,16135747,897
94,277167,897
95,301125,897
96,399328,897
97,2184735,897
98,24236372,965
99,23326132,1107
100,2121104,1107
101,7737835,1107
102,1551913,1107
103,420949,1149
104,304603,1149
105,416749,1149
106,5016697,1149
107,300784,1149
108,300282,1149
109,301205,1149
110,30431646,1149
111,417511,1149
112,13991397,1149
113,25576734,1149
114,1597722,1149
115,318175,1193
116,8554874,1193
117,420107,1193
118,323388,1193
119,1918383,1193
120,11083735,1193
121,1527315,1193
122,319628,1193
123,4777369,1193
124,4311493,1193
125,325813,1193
126,417480,1193
127,3421972,1193
128,3082726,1193
129,58337006,1193
130,2651082,1193
131,3424808,1193
132,321684,1193
133,323437,1193
134,322335,1193
135,2613512,1193
136,7938822,1193
137,327066,1193
138,332088,1193
139,833499,1193
140,3726554,1193
141,2288572,1193
142,42500490,1193
143,6794857,1193
144,354321,1193
145,41891965,1193
146,361919,1193
147,14888937,1256
148,2272043,1256
149,4278364,1256
150,7913983,1256
151,359934,1256
152,366800,1256
153,377456,1256
154,2041785,1256
155,365247,1256
156,366239,1256
157,10755016,1256
158,364375,1256
159,433018,1256
160,364435,1256
161,10966077,1256
162,366861,1256
163,90412774,1292
164,375451,1292
165,1985602,1292
166,2122437,1292
167,390998,1292
168,11285976,1292
169,15014977,1292
170,563317,1292
171,371041,1292
172,3850499,1292
173,11237530,1292
174,573491,1292
175,380864,1292
176,430381,1292
177,5484046,1292
178,379841,1292
179,3539140,1292
180,541154,1292
181,31339581,1292
182,7973264,1292
183,21438062,1292
184,379541,1292
