n,time,fn
0,20,23
1,18,41
2,13,47
3,13,51
4,19,76
5,20,102
6,20,112
7,14,125
8,14,151
9,14,179
10,17,204
11,13,218
12,19,224
13,13,239
14,18,268
15,20,283
16,13,294
17,21,321
18,16,339
19,15,361
20,20,387
21,13,404
22,18,419
23,14,444
24,14,469
25,17,476
26,18,483
27,21,509
28,20,530
29,14,540
30,14,557
31,14,572
32,14,580
33,14,606
34,13,636
35,14,641
36,22,653
37,26,663
38,19,672
39,15,692
40,14,710
41,13,731
42,14,753
43,18,769
44,14,795
45,13,808
46,13,824
47,20,825
48,18,851
49,14,867
50,14,881
51,14,901
52,13,905
53,14,920
54,18,950
55,19,964
56,15,994
57,13,1006
58,14,1009
59,25,1023
60,13,1033
61,13,1039
62,18,1061
63,19,1071
64,18,1073
65,19,1091
66,14,1105
67,13,1123
68,19,1144
69,13,1165
70,17,1183
71,19,1197
72,13,1225
73,19,1241
74,14,1255
75,20,1280
76,18,1308
77,14,1333
78,18,1350
79,13,1374
80,18,1382
81,20,1395
82,20,1419
83,13,1438
84,19,1456
85,19,1457
86,19,1473
87,13,1500
88,17,1520
89,20,1546
90,18,1573
91,14,1598
92,14,1617
93,19,1619
94,18,1629
95,27,1652
96,20,1675
97,14,1683
98,14,1695
99,13,1707
