n,time,fn
0,14,23
1,25,41
2,15,47
3,14,51
4,14,76
5,14,102
6,26,112
7,20,125
8,20,151
9,16,179
10,14,204
11,20,218
12,17,224
13,16,239
14,14,268
15,24,283
16,13,294
17,20,321
18,18,339
19,14,361
20,14,387
21,13,404
22,20,419
23,18,444
24,18,469
25,18,476
26,19,483
27,13,509
28,14,530
29,13,540
30,18,557
31,20,572
32,20,580
33,18,606
34,14,636
35,14,641
36,15,653
37,17,663
38,14,672
39,14,692
40,14,710
41,14,731
42,13,753
43,20,769
44,15,795
45,14,808
46,14,824
47,15,825
48,14,851
49,13,867
50,14,881
51,19,901
52,18,905
53,14,920
54,20,950
55,18,964
56,13,994
57,19,1006
58,13,1009
59,21,1023
60,14,1033
61,13,1039
62,19,1061
63,15,1071
64,15,1073
65,15,1091
66,18,1105
67,17,1123
68,13,1144
69,25,1165
70,22,1183
71,16,1197
72,13,1225
73,14,1241
74,26,1255
75,17,1280
76,13,1308
77,14,1333
78,18,1350
79,26,1374
80,16,1382
81,20,1395
82,14,1419
83,14,1438
84,13,1456
85,14,1457
86,19,1473
87,13,1500
88,21,1520
89,14,1546
90,14,1573
91,18,1598
92,19,1617
93,14,1619
94,14,1629
95,14,1652
96,13,1675
97,14,1683
98,13,1695
99,20,1707
