n,time,memory,collisions
100,0.00,2304,0
200,0.00,2560,0
300,0.00,2688,0
400,0.00,2816,0
500,0.00,3200,0
600,0.00,3456,0
700,0.00,3584,0
800,0.00,3840,0
900,0.00,3968,0
1000,0.01,4224,0
1100,0.01,4608,0
1200,0.01,4608,0
1300,0.01,4864,0
1400,0.01,4992,0
1500,0.01,5248,0
1600,0.01,5504,0
1700,0.01,5632,0
1800,0.01,5760,0
1900,0.01,5972,0
2000,0.01,6364,0
2100,0.01,6476,0
2200,0.01,6744,0
2300,0.01,6988,0
2400,0.01,7040,0
2500,0.02,7128,0
2600,0.02,7276,0
2700,0.02,7680,0
2800,0.02,7764,0
2900,0.02,7784,0
3000,0.02,8056,0
3100,0.02,8284,0
3200,0.02,8776,0
3300,0.02,8792,0
3400,0.02,8784,0
3500,0.02,8812,0
3600,0.02,8872,0
3700,0.02,9292,0
3800,0.02,9788,0
3900,0.02,9868,0
4000,0.02,9808,0
4100,0.03,10384,0
4200,0.03,10496,0
4300,0.03,10376,0
4400,0.03,10888,0
4500,0.03,11276,0
4600,0.03,11396,0
4700,0.03,11408,0
4800,0.03,11380,0
4900,0.03,11392,0
5000,0.03,11732,0
5100,0.03,11740,0
5200,0.03,12032,0
5300,0.03,12608,0
5400,0.03,12592,0
5500,0.03,12744,0
5600,0.04,12712,0
5700,0.04,12608,0
5800,0.04,12636,0
5900,0.04,12920,0
6000,0.04,13000,0
6100,0.04,13308,0
6200,0.04,13552,0
6300,0.04,13688,0
6400,0.04,14324,0
6500,0.04,14100,0
6600,0.04,14228,0
6700,0.04,14224,0
6800,0.04,14188,0
6900,0.04,14404,0
7000,0.04,14556,0
7100,0.04,14500,0
7200,0.04,14876,0
7300,0.04,14876,0
7400,0.04,15356,0
7500,0.05,15836,0
7600,0.05,15884,0
7700,0.05,15776,0
7800,0.05,15868,0
7900,0.05,15784,0
8000,0.05,15876,0
8100,0.05,15656,0
8200,0.05,16000,0
8300,0.05,15920,0
8400,0.05,16320,0
8500,0.05,16300,0
8600,0.05,16600,0
8700,0.05,16700,0
8800,0.05,17100,0
8900,0.05,17740,0
9000,0.06,17692,0
9100,0.05,17712,0
9200,0.06,17708,0
9300,0.06,17584,0
9400,0.06,17772,0
9500,0.06,17872,0
9600,0.06,17784,0
9700,0.06,17724,0
9800,0.06,17956,0
9900,0.06,19200,0
10000,0.06,19244,0
10100,0.06,19200,0
10200,0.06,19208,0
10300,0.06,19344,0
