n,time,memory,collisions
100,0.00,2304,0
200,0.00,2560,0
300,0.00,2816,0
400,0.00,2944,0
500,0.00,3200,0
600,0.00,3456,0
700,0.00,3584,0
800,0.00,3840,0
900,0.00,4096,0
1000,0.01,4352,0
1100,0.01,4608,0
1200,0.01,4608,0
1300,0.01,5120,0
1400,0.01,5120,0
1500,0.01,5376,0
1600,0.01,5632,0
1700,0.01,5632,0
1800,0.01,5868,0
1900,0.01,6272,0
2000,0.01,6496,0
2100,0.01,6592,0
2200,0.01,6784,0
2300,0.02,7120,0
2400,0.02,7096,0
2500,0.02,7336,0
2600,0.02,7588,0
2700,0.02,7836,0
2800,0.02,7840,0
2900,0.02,7964,0
3000,0.02,8224,0
3100,0.02,8404,0
3200,0.02,8860,0
3300,0.02,8860,0
3400,0.02,8892,0
3500,0.02,9020,0
3600,0.02,9268,0
3700,0.02,9456,0
3800,0.03,9916,0
3900,0.03,9900,0
4000,0.03,9948,0
4100,0.03,10052,0
4200,0.03,10700,0
4300,0.03,10844,0
4400,0.03,11084,0
4500,0.03,11452,0
4600,0.03,11460,0
4700,0.03,11480,0
4800,0.03,11600,0
4900,0.03,11724,0
5000,0.03,11844,0
5100,0.03,12092,0
5200,0.03,12376,0
5300,0.04,12860,0
5400,0.04,12868,0
5500,0.04,12884,0
5600,0.04,12876,0
5700,0.04,12968,0
5800,0.04,13080,0
5900,0.04,13204,0
6000,0.04,13452,0
6100,0.04,13744,0
6200,0.04,13988,0
6300,0.04,14492,0
6400,0.04,14516,0
6500,0.04,14496,0
6600,0.05,14512,0
6700,0.04,14520,0
6800,0.04,14552,0
6900,0.05,14624,0
7000,0.05,14924,0
7100,0.05,15048,0
7200,0.05,15300,0
7300,0.05,15576,0
7400,0.05,16324,0
7500,0.05,16248,0
7600,0.05,16316,0
7700,0.05,16316,0
7800,0.05,16312,0
7900,0.05,16324,0
8000,0.05,16224,0
8100,0.05,16340,0
8200,0.05,16476,0
8300,0.05,16732,0
8400,0.05,16884,0
8500,0.06,17008,0
8600,0.05,17268,0
8700,0.05,17436,0
8800,0.06,18232,0
8900,0.06,18288,0
9000,0.06,18280,0
9100,0.06,18276,0
9200,0.06,18272,0
9300,0.06,18280,0
9400,0.06,18240,0
9500,0.06,18280,0
9600,0.06,18332,0
9700,0.06,18344,0
9800,0.07,19724,0
9900,0.06,19744,0
10000,0.06,19744,0
10100,0.07,19740,0
10200,0.07,19856,0
10300,0.07,20124,0
