n,time,memory,collisions
100,0.00,2304,1
200,0.00,2560,3
300,0.00,2816,5
400,0.00,2944,8
500,0.00,3200,9
600,0.00,3456,13
700,0.00,3584,22
800,0.00,3840,26
900,0.00,4096,32
1000,0.01,4352,34
1100,0.01,4608,44
1200,0.01,4608,54
1300,0.01,4992,61
1400,0.01,5120,73
1500,0.01,5376,83
1600,0.01,5632,93
1700,0.01,5632,108
1800,0.01,5888,126
1900,0.01,6272,139
2000,0.01,6520,147
2100,0.01,6516,163
2200,0.01,6908,180
2300,0.02,7032,191
2400,0.02,7148,210
2500,0.02,7228,227
2600,0.02,7628,244
2700,0.02,7888,259
2800,0.02,7852,276
2900,0.02,8008,297
3000,0.02,8108,314
3100,0.02,8512,332
3200,0.02,8880,353
3300,0.02,8820,368
3400,0.02,8888,384
3500,0.02,9056,406
3600,0.02,9316,433
3700,0.02,9484,455
3800,0.03,9960,477
3900,0.03,9928,497
4000,0.03,9976,528
4100,0.03,9896,551
4200,0.03,10672,572
4300,0.03,10848,602
4400,0.03,11088,622
4500,0.03,11592,645
4600,0.03,11608,672
4700,0.03,11612,690
4800,0.03,11612,717
4900,0.03,11636,747
5000,0.03,11848,773
5100,0.03,12108,797
5200,0.03,12400,822
5300,0.04,12916,847
5400,0.04,12936,880
5500,0.04,12924,909
5600,0.04,12908,939
5700,0.04,13008,970
5800,0.04,13088,995
5900,0.04,13280,1024
6000,0.04,13500,1052
6100,0.04,13796,1084
6200,0.04,14044,1122
6300,0.04,14500,1159
6400,0.04,14560,1187
6500,0.04,14560,1224
6600,0.05,14552,1260
6700,0.05,14576,1295
6800,0.05,14580,1334
6900,0.05,14724,1364
7000,0.05,14828,1402
7100,0.05,15096,1437
7200,0.05,15348,1478
7300,0.05,15488,1522
7400,0.05,15740,1569
7500,0.05,16372,1602
7600,0.05,16380,1644
7700,0.05,16360,1683
7800,0.05,16388,1724
7900,0.05,16376,1760
8000,0.05,16380,1802
8100,0.06,16392,1835
8200,0.06,16544,1875
8300,0.06,16668,1918
8400,0.06,16808,1967
8500,0.06,16944,2013
8600,0.06,17204,2063
8700,0.06,17448,2101
8800,0.06,17692,2148
8900,0.06,18348,2188
9000,0.06,18328,2226
9100,0.06,18336,2272
9200,0.06,18328,2319
9300,0.07,18352,2368
9400,0.06,18348,2414
9500,0.07,18340,2455
9600,0.07,18336,2503
9700,0.07,18404,2547
9800,0.07,19700,2608
9900,0.07,19700,2668
10000,0.07,19628,2724
10100,0.07,19756,2781
10200,0.07,19812,2835
10300,0.07,20136,2881
10400,0.07,20256,2940
10500,0.07,21024,2991
10600,0.08,20944,3045
10700,0.08,21028,3082
10800,0.07,21028,3148
10900,0.08,21028,3193
11000,0.08,21036,3253
