n,time,memory,collisions
100,0.00,2304,0
200,0.00,2560,0
300,0.00,2816,0
400,0.00,2944,0
500,0.00,3200,0
600,0.00,3328,0
700,0.00,3584,0
800,0.00,3840,0
900,0.00,3968,0
1000,0.01,4224,0
1100,0.01,4608,0
1200,0.01,4608,0
1300,0.01,4864,0
1400,0.01,4992,0
1500,0.01,5248,0
1600,0.01,5504,0
1700,0.01,5504,0
1800,0.01,5760,0
1900,0.01,6144,0
2000,0.01,6272,0
2100,0.01,6396,0
2200,0.01,6784,0
2300,0.02,6904,0
2400,0.02,6904,0
2500,0.02,7032,0
2600,0.02,7420,0
2700,0.02,7804,0
2800,0.02,7768,0
2900,0.02,7808,0
3000,0.02,7996,0
3100,0.02,8248,0
3200,0.02,8748,0
3300,0.02,8740,0
3400,0.02,8748,0
3500,0.02,8860,0
3600,0.02,8996,0
3700,0.02,9392,0
3800,0.03,9760,0
3900,0.03,9768,0
4000,0.03,9764,0
4100,0.03,9760,0
4200,0.03,10512,0
4300,0.03,10516,0
4400,0.03,10840,0
4500,0.03,11336,0
4600,0.03,11348,0
4700,0.03,11356,0
4800,0.03,11372,0
4900,0.03,11260,0
5000,0.04,11432,0
5100,0.03,11756,0
5200,0.03,12032,0
5300,0.04,12672,0
5400,0.04,12672,0
5500,0.04,12632,0
5600,0.04,12668,0
5700,0.04,12656,0
5800,0.04,12676,0
5900,0.04,12984,0
6000,0.04,13052,0
6100,0.04,13360,0
6200,0.04,13616,0
6300,0.04,14244,0
6400,0.04,14176,0
6500,0.04,14252,0
6600,0.04,14248,0
6700,0.04,14256,0
6800,0.05,14232,0
6900,0.05,14356,0
7000,0.05,14476,0
7100,0.05,14612,0
7200,0.05,14880,0
7300,0.05,15072,0
7400,0.05,15372,0
7500,0.05,15884,0
7600,0.06,15888,0
7700,0.06,15864,0
7800,0.06,15888,0
7900,0.06,15888,0
8000,0.06,15892,0
8100,0.06,16068,0
8200,0.05,16012,0
8300,0.06,16120,0
8400,0.06,16356,0
8500,0.06,16508,0
8600,0.07,16768,0
8700,0.06,16960,0
8800,0.06,17152,0
8900,0.06,17792,0
9000,0.07,17776,0
9100,0.07,17788,0
9200,0.07,17848,0
9300,0.06,17800,0
9400,0.07,17800,0
9500,0.06,17796,0
9600,0.06,17776,0
9700,0.06,17796,0
9800,0.07,19200,0
9900,0.07,19200,0
10000,0.07,19212,0
10100,0.07,19196,0
10200,0.07,19136,0
10300,0.06,19468,0
