n,time,memory,collisions
100,0.00,2304,0
200,0.00,2560,0
300,0.00,2816,0
400,0.00,2944,0
500,0.00,3200,0
600,0.00,3456,0
700,0.00,3584,0
800,0.00,3840,0
900,0.00,3968,0
1000,0.01,4224,0
1100,0.01,4608,0
1200,0.01,4608,0
1300,0.01,4992,0
1400,0.01,4992,0
1500,0.01,5248,0
1600,0.01,5504,0
1700,0.01,5504,0
1800,0.01,5760,0
1900,0.01,6144,0
2000,0.01,6392,0
2100,0.01,6372,0
2200,0.01,6708,0
2300,0.01,6992,0
2400,0.01,6980,0
2500,0.01,7172,0
2600,0.02,7448,0
2700,0.02,7728,0
2800,0.02,7712,0
2900,0.02,7780,0
3000,0.02,8096,0
3100,0.02,8332,0
3200,0.02,8716,0
3300,0.02,8724,0
3400,0.02,8716,0
3500,0.02,8832,0
3600,0.02,9080,0
3700,0.02,9328,0
3800,0.02,9732,0
3900,0.02,9704,0
4000,0.02,9712,0
4100,0.03,9744,0
4200,0.03,10420,0
4300,0.03,10608,0
4400,0.03,10848,0
4500,0.03,11224,0
4600,0.03,11244,0
4700,0.03,11216,0
4800,0.03,11184,0
4900,0.03,11332,0
5000,0.03,11584,0
5100,0.03,11876,0
5200,0.03,12116,0
5300,0.03,12620,0
5400,0.03,12616,0
5500,0.03,12632,0
5600,0.03,12632,0
5700,0.04,12684,0
5800,0.04,12796,0
5900,0.04,12928,0
6000,0.04,13192,0
6100,0.04,13452,0
6200,0.04,13692,0
6300,0.04,14216,0
6400,0.04,14224,0
6500,0.04,14212,0
6600,0.04,14228,0
6700,0.04,14200,0
6800,0.04,14216,0
6900,0.04,14320,0
7000,0.04,14568,0
7100,0.04,14684,0
7200,0.04,14896,0
7300,0.04,15216,0
7400,0.05,15828,0
7500,0.05,15844,0
7600,0.05,15840,0
7700,0.05,15840,0
7800,0.05,15836,0
7900,0.05,15836,0
8000,0.05,15848,0
8100,0.05,15944,0
8200,0.05,16076,0
8300,0.05,16200,0
8400,0.05,16288,0
8500,0.05,16568,0
8600,0.05,16840,0
8700,0.05,16968,0
8800,0.05,17732,0
8900,0.05,17748,0
9000,0.06,17776,0
9100,0.06,17732,0
9200,0.06,17724,0
9300,0.06,17744,0
9400,0.06,17640,0
9500,0.06,17732,0
9600,0.06,17704,0
9700,0.06,17760,0
9800,0.06,19124,0
9900,0.06,19140,0
10000,0.06,19124,0
10100,0.06,19140,0
10200,0.06,19316,0
10300,0.06,19568,0
