n,time,memory,collisions
1,0.00,1920,0
51,0.00,1920,0
101,0.00,2048,0
151,0.00,1920,0
201,0.00,2176,0
251,0.00,2304,0
301,0.00,2304,0
351,0.00,2304,0
401,0.00,2432,0
451,0.00,2432,0
501,0.00,2560,0
551,0.00,2560,0
601,0.00,2688,0
651,0.00,2816,0
701,0.00,2816,0
751,0.00,2944,0
801,0.00,2816,0
851,0.00,2944,0
901,0.01,3072,0
951,0.00,3200,0
1001,0.01,3328,0
1051,0.01,3328,0
1101,0.01,3328,0
1151,0.01,3456,0
1201,0.01,3456,0
1251,0.01,3456,0
1301,0.01,3584,0
1351,0.01,3584,0
1401,0.01,3712,0
1451,0.01,3712,0
1501,0.01,3840,0
1551,0.01,3840,0
1601,0.02,3712,0
1651,0.01,3840,0
1701,0.02,3968,0
1751,0.02,3968,0
1801,0.02,4096,0
1851,0.02,3968,0
1901,0.02,4224,0
1951,0.02,4608,0
2001,0.02,4480,0
2051,0.02,4608,0
2101,0.02,4608,0
2151,0.02,4608,0
2201,0.02,4864,0
2251,0.02,4864,0
2301,0.03,4736,0
2351,0.03,4864,0
2401,0.03,4736,0
2451,0.03,4864,0
2501,0.03,5120,0
2551,0.03,5092,0
2601,0.03,4992,0
2651,0.03,5120,0
2701,0.04,5248,0
2751,0.04,5248,0
2801,0.04,5236,0
2851,0.04,5376,0
2901,0.04,5504,0
2951,0.04,5504,0
3001,0.04,5368,0
3051,0.04,5372,0
3101,0.04,5504,0
3151,0.04,5632,0
3201,0.05,5572,0
3251,0.05,5812,0
3301,0.05,5984,0
3351,0.05,5884,0
3401,0.05,6016,0
3451,0.05,5852,0
3501,0.05,5884,0
3551,0.05,5888,0
3601,0.05,5888,0
3651,0.05,6144,0
3701,0.06,6400,0
3751,0.06,6268,0
3801,0.06,6272,0
3851,0.06,6260,0
3901,0.06,6268,0
3951,0.07,6236,0
4001,0.07,6372,0
4051,0.07,6400,0
4101,0.07,6520,0
4151,0.07,7288,0
4201,0.07,7284,0
4251,0.08,7124,0
4301,0.08,7284,0
4351,0.08,7164,0
4401,0.08,7120,0
4451,0.08,7288,0
4501,0.08,7292,0
4551,0.08,7156,0
4601,0.09,7276,0
4651,0.09,7404,0
4701,0.09,7408,0
4751,0.09,7620,0
4801,0.10,7616,0
4851,0.10,7784,0
4901,0.09,7776,0
4951,0.10,7652,0
5001,0.10,7660,0
5051,0.10,7788,0
5101,0.10,7848,0
5151,0.10,7668,0
5201,0.11,7920,0
5251,0.11,7772,0
5301,0.11,8036,0
5351,0.11,8124,0
5401,0.12,8504,0
5451,0.12,8500,0
5501,0.12,8396,0
5551,0.13,8512,0
5601,0.13,8576,0
5651,0.14,8300,0
5701,0.13,8600,0
5751,0.13,8332,0
5801,0.13,8468,0
5851,0.13,8448,0
5901,0.13,8380,0
5951,0.14,8508,0
6001,0.14,8492,0
6051,0.14,8576,0
6101,0.14,8680,0
6151,0.14,9100,0
6201,0.15,9104,0
6251,0.15,8956,0
6301,0.16,9028,0
6351,0.15,9084,0
6401,0.16,9016,0
6451,0.17,8988,0
6501,0.17,9104,0
6551,0.17,9052,0
6601,0.16,9084,0
6651,0.17,9092,0
6701,0.16,9108,0
6751,0.17,9160,0
6801,0.17,9248,0
6851,0.17,9164,0
6901,0.17,9308,0
6951,0.18,9600,0
7001,0.18,9840,0
7051,0.19,9868,0
7101,0.19,9736,0
7151,0.20,9832,0
7201,0.19,9704,0
7251,0.19,9892,0
7301,0.20,9884,0
7351,0.20,9764,0
7401,0.20,9880,0
7451,0.21,9896,0
7501,0.21,9752,0
7551,0.21,9920,0
7601,0.21,10016,0
7651,0.21,9840,0
7701,0.21,9832,0
7751,0.21,9752,0
7801,0.22,10076,0
7851,0.22,10200,0
7901,0.23,10588,0
7951,0.23,10600,0
8001,0.24,10596,0
8051,0.23,10396,0
8101,0.24,10436,0
8151,0.25,10544,0
8201,0.25,10588,0
8251,0.25,10452,0
8301,0.26,10464,0
8351,0.25,10584,0
8401,0.26,10584,0
8451,0.26,10468,0
8501,0.26,10472,0
8551,0.26,10340,0
8601,0.27,10596,0
8651,0.25,10580,0
8701,0.27,10400,0
8751,0.28,10640,0
8801,0.29,10776,0
8851,0.28,10832,0
8901,0.29,10944,0
8951,0.29,10952,0
9001,0.28,11200,0
9051,0.30,11088,0
9101,0.29,11396,0
9151,0.30,11344,0
9201,0.31,11476,0
9251,0.32,11320,0
9301,0.31,11464,0
9351,0.32,11460,0
9401,0.31,11448,0
9451,0.32,11244,0
9501,0.32,11352,0
9551,0.33,11420,0
9601,0.32,11468,0
9651,0.32,11456,0
9701,0.33,11336,0
9751,0.34,12632,0
9801,0.34,12408,0
9851,0.33,12644,0
9901,0.33,12636,0
9951,0.33,12632,0
10001,0.34,12644,0
10051,0.34,12636,0
10101,0.34,12632,0
10151,0.35,12636,0
10201,0.37,12896,0
10251,0.36,12888,0
10301,0.36,12892,0
10351,0.36,12892,0
10401,0.39,12836,0
10451,0.40,12824,0
10501,0.39,12920,0
10551,0.39,12560,0
10601,0.41,12632,0
10651,0.43,12852,0
10701,0.41,12680,0
10751,0.44,12892,0
10801,0.43,12784,0
10851,0.40,12804,0
10901,0.41,12588,0
10951,0.43,12888,0
11001,0.44,12756,0
11051,0.42,12892,0
11101,0.43,12888,0
11151,0.43,12884,0
11201,0.43,12828,0
11251,0.45,12972,0
11301,0.45,12752,0
11351,0.44,13096,0
11401,0.43,13092,0
11451,0.45,13344,0
11501,0.46,13596,0
11551,0.50,13636,0
11601,0.45,13604,0
11651,0.48,13556,0
11701,0.46,13724,0
11751,0.48,13732,0
11801,0.50,13708,0
11851,0.48,13724,0
11901,0.48,13724,0
11951,0.48,13724,0
12001,0.48,13836,0
12051,0.49,13728,0
12101,0.49,13672,0
12151,0.50,13612,0
12201,0.50,13732,0
