n,time,memory,collisions
1,0.00,2048,0
51,0.00,1920,0
101,0.00,2176,0
151,0.00,2176,0
201,0.00,2176,0
251,0.00,2304,0
301,0.00,2304,0
351,0.00,2560,0
401,0.00,2432,0
451,0.00,2560,0
501,0.00,2816,0
551,0.00,2688,0
601,0.00,2688,0
651,0.00,2816,0
701,0.00,2816,0
751,0.00,2944,0
801,0.00,2944,0
851,0.00,2944,0
901,0.00,3200,0
951,0.01,3200,0
1001,0.01,3328,0
1051,0.01,3328,0
1101,0.01,3456,0
1151,0.01,3584,0
1201,0.01,3456,0
1251,0.01,3584,0
1301,0.01,3712,0
1351,0.01,3584,0
1401,0.02,3712,0
1451,0.01,3712,0
1501,0.01,3840,0
1551,0.01,3840,0
1601,0.01,3968,0
1651,0.02,3968,0
1701,0.02,4224,0
1751,0.02,4096,0
1801,0.02,4224,0
1851,0.02,4096,0
1901,0.02,4224,0
1951,0.02,4608,0
2001,0.02,4608,0
2051,0.02,4608,0
2101,0.02,4608,0
2151,0.02,4608,0
2201,0.03,4856,0
2251,0.03,4852,0
2301,0.03,4864,0
2351,0.03,4992,0
2401,0.03,4860,0
2451,0.03,4992,0
2501,0.03,5120,0
2551,0.03,5236,0
2601,0.03,5120,0
2651,0.03,5248,0
2701,0.04,5116,0
2751,0.04,5248,0
2801,0.04,5248,0
2851,0.04,5504,0
2901,0.04,5632,0
2951,0.04,5632,0
3001,0.04,5492,0
3051,0.04,5492,0
3101,0.05,5500,0
3151,0.05,5628,0
3201,0.05,5756,0
3251,0.05,5888,0
3301,0.05,5884,0
3351,0.05,5888,0
3401,0.05,6008,0
3451,0.05,5888,0
3501,0.05,5876,0
3551,0.06,6012,0
3601,0.06,6092,0
3651,0.06,6272,0
3701,0.06,6400,0
3751,0.06,6524,0
3801,0.06,6528,0
3851,0.07,6396,0
3901,0.07,6396,0
3951,0.07,6392,0
4001,0.07,6348,0
4051,0.07,6400,0
4101,0.07,6520,0
4151,0.07,7244,0
4201,0.08,7244,0
4251,0.08,7420,0
4301,0.08,7284,0
4351,0.08,7372,0
4401,0.08,7416,0
4451,0.08,7244,0
4501,0.09,7292,0
4551,0.09,7244,0
4601,0.09,7280,0
4651,0.09,7408,0
4701,0.09,7408,0
4751,0.09,7788,0
4801,0.10,7784,0
4851,0.09,7908,0
4901,0.10,7784,0
4951,0.10,7792,0
5001,0.10,7776,0
5051,0.10,7788,0
5101,0.11,7784,0
5151,0.11,7796,0
5201,0.11,7792,0
5251,0.11,7816,0
5301,0.11,8132,0
5351,0.11,8116,0
5401,0.12,8500,0
5451,0.12,8504,0
