n,time,memory,collisions
1,0.00,1920,0
51,0.00,2048,0
101,0.00,1920,1
151,0.00,2048,1
201,0.00,2176,3
251,0.00,2304,3
301,0.00,2304,5
351,0.00,2432,6
401,0.00,2432,8
451,0.00,2560,8
501,0.00,2560,9
551,0.00,2688,10
601,0.00,2688,13
651,0.00,2816,19
701,0.00,2816,22
751,0.00,2944,22
801,0.00,2944,26
851,0.00,2944,28
901,0.01,2944,32
951,0.01,3200,33
1001,0.01,3328,34
1051,0.01,3328,37
1101,0.01,3328,44
1151,0.01,3456,50
1201,0.01,3456,54
1251,0.01,3456,58
1301,0.01,3712,61
1351,0.01,3712,68
1401,0.01,3712,73
1451,0.01,3712,80
1501,0.01,3840,83
1551,0.01,3840,86
1601,0.02,3840,94
1651,0.02,3968,101
1701,0.02,4096,108
1751,0.02,3840,119
1801,0.02,4096,126
1851,0.02,4096,129
1901,0.02,4224,139
1951,0.03,4608,145
2001,0.02,4480,147
2051,0.02,4480,156
2101,0.03,4608,163
2151,0.03,4480,171
2201,0.03,4860,180
2251,0.03,4864,186
2301,0.03,4864,191
2351,0.03,4864,201
2401,0.03,4724,211
2451,0.03,4976,219
2501,0.03,5120,227
2551,0.03,5120,235
2601,0.03,4976,244
2651,0.04,5120,254
2701,0.04,5120,259
2751,0.04,5248,265
2801,0.04,5248,276
2851,0.04,5500,289
2901,0.04,5500,297
2951,0.04,5504,305
3001,0.05,5496,314
3051,0.05,5596,322
3101,0.05,5500,332
3151,0.05,5632,345
3201,0.05,5760,353
3251,0.05,5888,360
3301,0.06,5884,369
3351,0.06,5876,377
3401,0.06,5760,384
3451,0.06,5888,394
3501,0.06,5888,406
3551,0.06,5968,421
3601,0.07,6012,433
3651,0.07,6016,445
3701,0.07,6388,455
3751,0.07,6392,468
3801,0.07,6268,477
3851,0.07,6400,485
3901,0.07,6348,498
3951,0.08,6400,512
4001,0.08,6400,528
4051,0.08,6476,539
4101,0.08,6516,551
4151,0.08,7164,563
4201,0.08,7280,572
4251,0.08,7288,589
4301,0.09,7284,603
4351,0.08,7244,612
4401,0.09,7276,622
4451,0.09,7284,634
4501,0.09,7292,645
4551,0.09,7284,659
4601,0.09,7288,673
4651,0.09,7404,679
4701,0.10,7400,691
4751,0.10,7660,708
4801,0.10,7788,717
4851,0.10,7784,731
4901,0.10,7664,747
4951,0.11,7784,758
5001,0.11,7796,774
5051,0.11,7664,785
5101,0.11,7792,797
5151,0.11,7884,812
5201,0.13,7784,823
5251,0.12,7868,835
5301,0.12,8008,848
5351,0.12,7996,862
5401,0.13,8504,880
5451,0.13,8512,889
5501,0.14,8384,910
5551,0.13,8504,924
5601,0.13,8512,939
5651,0.14,8512,953
5701,0.14,8512,970
5751,0.14,8512,984
5801,0.14,8380,995
5851,0.14,8484,1012
5901,0.14,8380,1025
5951,0.15,8516,1039
6001,0.15,8588,1052
6051,0.15,8716,1068
6101,0.15,8580,1085
6151,0.16,9020,1103
6201,0.16,9052,1123
6251,0.16,8960,1139
6301,0.16,9088,1160
6351,0.17,9072,1178
6401,0.17,9052,1187
6451,0.18,9096,1206
6501,0.18,9096,1225
6551,0.18,9092,1238
6601,0.18,9092,1261
6651,0.18,9088,1282
6701,0.19,9112,1296
6751,0.19,8996,1311
6801,0.20,9148,1334
6851,0.19,9248,1350
6901,0.20,9348,1365
6951,0.20,9504,1382
7001,0.20,9884,1403
7051,0.20,9892,1420
7101,0.20,9892,1437
7151,0.21,9768,1463
7201,0.21,9892,1478
7251,0.22,9896,1501
7301,0.22,9888,1523
7351,0.22,9892,1545
7401,0.22,9876,1569
7451,0.22,9748,1588
7501,0.23,9892,1602
7551,0.23,9892,1623
7601,0.23,9884,1645
7651,0.23,9892,1666
7701,0.24,9956,1684
7751,0.25,9952,1698
7801,0.25,9948,1724
7851,0.25,10204,1742
7901,0.25,10600,1760
7951,0.25,10584,1781
8001,0.27,10592,1803
8051,0.27,10596,1813
8101,0.28,10560,1835
8151,0.26,10596,1853
8201,0.26,10596,1875
8251,0.28,10588,1895
8301,0.26,10596,1919
8351,0.28,10440,1944
8401,0.28,10580,1968
8451,0.28,10592,1992
8501,0.28,10588,2013
8551,0.28,10468,2038
8601,0.29,10464,2063
8651,0.28,10704,2081
8701,0.29,10688,2102
8751,0.29,10688,2126
8801,0.29,10820,2148
8851,0.29,10816,2166
8901,0.31,10864,2188
8951,0.30,11080,2210
9001,0.31,11432,2226
9051,0.33,11408,2248
9101,0.32,11328,2272
9151,0.32,11428,2290
9201,0.33,11456,2319
9251,0.33,11456,2341
9301,0.33,11460,2368
9351,0.33,11460,2389
9401,0.33,11344,2415
