n,time,memory,collisions
1,0.00,1920,0
51,0.00,1920,0
101,0.00,2048,0
151,0.00,2176,0
201,0.00,2176,0
251,0.00,2304,0
301,0.00,2304,0
351,0.00,2432,0
401,0.00,2432,0
451,0.00,2560,0
501,0.00,2560,0
551,0.00,2688,0
601,0.00,2688,0
651,0.00,2816,0
701,0.00,2816,0
751,0.00,2944,0
801,0.00,2944,0
851,0.00,2944,0
901,0.00,3072,0
951,0.01,3200,0
1001,0.01,3328,0
1051,0.01,3328,0
1101,0.01,3328,0
1151,0.01,3456,0
1201,0.01,3456,0
1251,0.01,3456,0
1301,0.01,3712,0
1351,0.01,3712,0
1401,0.01,3584,0
1451,0.01,3712,0
1501,0.01,3840,0
1551,0.01,3840,0
1601,0.01,3840,0
1651,0.02,3840,0
1701,0.02,4096,0
1751,0.02,4096,0
1801,0.02,4096,0
1851,0.02,4096,0
1901,0.02,4224,0
1951,0.02,4608,0
2001,0.02,4608,0
2051,0.02,4608,0
2101,0.02,4608,0
2151,0.02,4608,0
2201,0.02,4860,0
2251,0.02,4864,0
2301,0.03,4864,0
2351,0.03,4860,0
2401,0.03,4860,0
2451,0.03,4988,0
2501,0.03,5112,0
2551,0.03,5116,0
2601,0.03,5120,0
2651,0.03,5120,0
2701,0.03,5120,0
2751,0.03,5244,0
2801,0.03,5244,0
2851,0.04,5504,0
2901,0.04,5500,0
2951,0.04,5504,0
3001,0.04,5504,0
3051,0.04,5496,0
3101,0.04,5500,0
3151,0.04,5632,0
3201,0.04,5616,0
3251,0.05,5888,0
3301,0.05,5884,0
3351,0.05,5888,0
3401,0.05,5884,0
3451,0.05,5884,0
3501,0.05,6016,0
3551,0.05,6012,0
3601,0.05,6012,0
3651,0.06,6208,0
3701,0.06,6396,0
3751,0.06,6348,0
3801,0.06,6396,0
3851,0.06,6396,0
3901,0.06,6392,0
3951,0.06,6396,0
4001,0.06,6392,0
4051,0.06,6384,0
4101,0.07,6524,0
4151,0.07,7284,0
4201,0.07,7276,0
4251,0.08,7168,0
4301,0.08,7288,0
4351,0.08,7292,0
4401,0.08,7284,0
4451,0.08,7288,0
4501,0.08,7284,0
4551,0.08,7232,0
4601,0.09,7280,0
4651,0.09,7332,0
4701,0.09,7460,0
4751,0.09,7592,0
4801,0.09,7720,0
4851,0.09,7720,0
4901,0.09,7720,0
4951,0.09,7724,0
5001,0.10,7728,0
5051,0.10,7716,0
5101,0.11,7784,0
5151,0.11,7680,0
5201,0.11,7728,0
5251,0.11,7844,0
5301,0.11,7976,0
5351,0.11,8120,0
5401,0.11,8500,0
5451,0.12,8468,0
5501,0.11,8484,0
5551,0.12,8496,0
5601,0.12,8496,0
5651,0.12,8472,0
5701,0.12,8492,0
5751,0.12,8488,0
5801,0.12,8488,0
5851,0.12,8496,0
5901,0.12,8480,0
5951,0.13,8496,0
6001,0.14,8580,0
6051,0.14,8716,0
6101,0.13,8628,0
6151,0.13,9080,0
6201,0.14,9116,0
6251,0.15,8976,0
6301,0.14,9092,0
6351,0.14,9092,0
6401,0.15,9092,0
6451,0.15,9104,0
6501,0.15,9088,0
6551,0.16,9100,0
6601,0.16,9100,0
6651,0.16,9096,0
6701,0.16,9096,0
6751,0.17,9120,0
6801,0.17,9260,0
6851,0.16,9252,0
6901,0.17,9388,0
6951,0.17,9500,0
7001,0.17,9892,0
7051,0.18,9888,0
7101,0.18,9884,0
7151,0.18,9816,0
7201,0.18,9896,0
7251,0.19,9888,0
7301,0.19,9880,0
7351,0.20,9888,0
7401,0.19,9888,0
7451,0.19,9876,0
7501,0.20,9884,0
7551,0.20,9896,0
7601,0.21,9904,0
7651,0.21,9896,0
7701,0.21,9964,0
7751,0.21,9952,0
7801,0.22,10080,0
7851,0.24,10220,0
7901,0.23,10208,0
7951,0.22,10484,0
8001,0.22,10600,0
8051,0.22,10600,0
8101,0.23,10600,0
8151,0.22,10600,0
8201,0.23,10596,0
8251,0.24,10588,0
8301,0.25,10600,0
8351,0.23,10560,0
8401,0.23,10600,0
8451,0.24,10592,0
8501,0.24,10596,0
8551,0.24,10584,0
8601,0.25,10596,0
8651,0.25,10592,0
8701,0.25,10604,0
8751,0.25,10712,0
8801,0.26,10712,0
8851,0.26,10788,0
8901,0.26,10992,0
8951,0.26,10940,0
9001,0.27,11432,0
9051,0.27,11544,0
9101,0.27,11404,0
9151,0.28,11496,0
9201,0.28,11404,0
9251,0.28,11380,0
9301,0.28,11544,0
9351,0.29,11260,0
9401,0.29,11528,0
9451,0.30,11400,0
9501,0.29,11364,0
9551,0.31,11472,0
9601,0.30,11472,0
9651,0.30,11396,0
9701,0.30,11560,0
9751,0.31,12468,0
9801,0.31,12532,0
9851,0.33,12504,0
9901,0.32,12532,0
9951,0.32,12576,0
10001,0.33,12524,0
10051,0.33,12520,0
10101,0.34,12516,0
10151,0.34,12516,0
10201,0.35,12892,0
10251,0.35,12892,0
10301,0.35,12900,0
10351,0.35,12948,0
10401,0.35,12876,0
10451,0.36,12892,0
10501,0.37,12956,0
10551,0.37,12892,0
10601,0.36,12800,0
10651,0.39,12900,0
10701,0.36,12956,0
10751,0.40,12940,0
10801,0.37,12792,0
10851,0.37,12888,0
10901,0.37,12884,0
10951,0.38,12884,0
11001,0.38,12888,0
11051,0.38,12828,0
11101,0.39,12888,0
11151,0.39,12896,0
11201,0.40,12884,0
11251,0.40,12964,0
11301,0.40,13104,0
11351,0.41,13092,0
11401,0.41,13232,0
11451,0.41,13360,0
11501,0.41,13736,0
11551,0.42,13732,0
11601,0.42,13672,0
11651,0.43,13724,0
11701,0.44,13684,0
11751,0.44,13748,0
11801,0.45,13620,0
11851,0.44,13728,0
11901,0.47,13740,0
11951,0.45,13740,0
12001,0.46,13740,0
12051,0.47,13736,0
12101,0.48,13736,0
12151,0.48,13732,0
12201,0.48,13732,0
