n,time,memory,collisions
1,0.00,1792,0
51,0.00,1792,0
101,0.00,1920,0
151,0.00,1920,0
201,0.00,1920,0
251,0.00,2048,0
301,0.00,2048,0
351,0.00,2176,0
401,0.00,2176,0
451,0.00,2176,0
501,0.00,2304,0
551,0.00,2304,0
601,0.00,2432,0
651,0.00,2432,0
701,0.00,2432,0
751,0.00,2560,0
801,0.00,2560,0
851,0.00,2560,0
901,0.00,2688,0
951,0.00,2688,0
1001,0.00,2816,0
1051,0.01,2816,0
1101,0.01,2816,0
1151,0.01,2944,0
1201,0.01,2944,0
1251,0.01,2944,0
1301,0.01,3072,0
1351,0.01,3072,0
1401,0.01,3072,0
1451,0.01,3072,0
1501,0.01,3328,0
1551,0.01,3328,0
1601,0.01,3328,0
1651,0.01,3328,0
1701,0.01,3456,0
1751,0.02,3456,0
1801,0.02,3456,0
1851,0.02,3456,0
1901,0.02,3584,0
1951,0.02,3712,0
2001,0.02,3712,0
2051,0.02,3712,0
2101,0.02,3712,0
2151,0.02,3712,0
2201,0.02,3968,0
2251,0.02,3840,0
2301,0.03,3968,0
2351,0.03,3968,0
2401,0.03,3968,0
2451,0.03,4096,0
2501,0.03,4096,0
2551,0.03,4224,0
2601,0.03,4352,0
2651,0.03,4352,0
2701,0.03,4352,0
2751,0.03,4352,0
2801,0.04,4352,0
2851,0.04,4472,0
2901,0.04,4736,0
2951,0.04,4736,0
3001,0.04,4736,0
3051,0.05,4732,0
3101,0.04,4736,0
3151,0.04,4736,0
3201,0.05,4736,0
3251,0.05,4820,0
3301,0.05,5088,0
3351,0.05,5080,0
3401,0.05,5080,0
3451,0.05,5108,0
3501,0.05,5076,0
3551,0.05,5072,0
3601,0.06,5068,0
3651,0.06,5196,0
3701,0.06,5208,0
3751,0.06,5504,0
3801,0.06,5596,0
3851,0.06,5596,0
3901,0.06,5608,0
3951,0.07,5584,0
4001,0.07,5588,0
4051,0.07,5460,0
4101,0.07,5588,0
4151,0.07,5660,0
4201,0.07,5660,0
4251,0.07,5788,0
4301,0.08,6068,0
4351,0.08,5936,0
4401,0.08,6032,0
4451,0.08,6036,0
4501,0.08,6108,0
4551,0.08,6044,0
4601,0.08,6040,0
4651,0.09,6032,0
4701,0.09,6072,0
4751,0.09,6044,0
4801,0.09,6280,0
4851,0.09,6292,0
4901,0.10,6672,0
4951,0.10,6676,0
5001,0.10,6700,0
5051,0.10,6672,0
5101,0.10,6676,0
5151,0.11,6684,0
5201,0.11,6680,0
5251,0.11,6592,0
5301,0.11,6676,0
5351,0.11,6672,0
5401,0.12,6716,0
5451,0.12,6868,0
5501,0.12,6868,0
5551,0.12,7000,0
5601,0.12,7376,0
5651,0.13,7376,0
5701,0.13,7376,0
5751,0.13,7380,0
5801,0.13,7388,0
5851,0.13,7376,0
5901,0.14,7380,0
