n,time,memory,collisions
1,0.00,1920,0
51,0.00,1920,0
101,0.00,1920,0
151,0.00,2048,0
201,0.00,2176,0
251,0.00,2176,0
301,0.00,2304,0
351,0.00,2432,0
401,0.00,2432,0
451,0.00,2560,0
501,0.00,2432,0
551,0.00,2560,0
601,0.00,2688,0
651,0.00,2688,0
701,0.00,2816,0
751,0.00,2944,0
801,0.00,2944,0
851,0.00,2944,0
901,0.00,2944,0
951,0.01,3200,0
1001,0.01,3328,0
1051,0.01,3200,0
1101,0.01,3328,0
1151,0.01,3328,0
1201,0.01,3328,0
1251,0.01,3456,0
1301,0.01,3584,0
1351,0.01,3712,0
1401,0.01,3584,0
1451,0.01,3712,0
1501,0.01,3712,0
1551,0.01,3840,0
1601,0.01,3840,0
1651,0.01,3840,0
1701,0.02,4096,0
1751,0.02,3968,0
1801,0.02,4096,0
1851,0.02,4096,0
1901,0.02,4096,0
1951,0.02,4608,0
2001,0.02,4480,0
2051,0.02,4608,0
2101,0.02,4608,0
2151,0.02,4608,0
2201,0.02,4736,0
2251,0.02,4860,0
2301,0.02,4864,0
2351,0.03,4856,0
2401,0.03,4864,0
2451,0.03,4992,0
2501,0.03,5116,0
2551,0.03,4984,0
2601,0.03,4972,0
2651,0.03,5120,0
2701,0.03,5248,0
2751,0.03,5240,0
2801,0.03,5376,0
2851,0.04,5376,0
2901,0.04,5492,0
2951,0.04,5372,0
3001,0.04,5504,0
3051,0.04,5376,0
3101,0.04,5376,0
3151,0.04,5632,0
3201,0.04,5760,0
3251,0.04,5756,0
3301,0.05,6016,0
3351,0.05,5880,0
3401,0.05,5888,0
3451,0.05,5888,0
3501,0.05,5884,0
3551,0.05,5888,0
3601,0.05,6016,0
3651,0.05,6016,0
3701,0.06,6272,0
3751,0.06,6392,0
3801,0.06,6392,0
3851,0.06,6396,0
3901,0.06,6272,0
3951,0.06,6396,0
4001,0.06,6268,0
4051,0.06,6396,0
4101,0.07,6500,0
4151,0.07,7276,0
4201,0.07,7288,0
4251,0.07,7292,0
4301,0.07,7148,0
4351,0.07,7280,0
4401,0.07,7284,0
4451,0.08,7280,0
4501,0.08,7292,0
4551,0.08,7288,0
4601,0.08,7292,0
4651,0.08,7284,0
4701,0.09,7392,0
4751,0.09,7792,0
4801,0.09,7660,0
4851,0.09,7656,0
4901,0.09,7800,0
4951,0.09,7652,0
5001,0.09,7788,0
5051,0.09,7780,0
5101,0.10,7660,0
5151,0.10,7656,0
5201,0.10,7788,0
5251,0.10,7744,0
5301,0.10,7868,0
5351,0.11,7996,0
5401,0.11,8500,0
5451,0.11,8420,0
5501,0.11,8504,0
5551,0.11,8500,0
5601,0.11,8508,0
5651,0.12,8500,0
5701,0.12,8516,0
5751,0.12,8384,0
5801,0.12,8364,0
5851,0.12,8512,0
5901,0.12,8508,0
5951,0.13,8400,0
6001,0.13,8440,0
6051,0.13,8580,0
6101,0.13,8716,0
6151,0.14,9084,0
6201,0.14,9092,0
6251,0.14,9088,0
6301,0.14,9088,0
6351,0.15,9092,0
6401,0.14,9088,0
6451,0.15,9096,0
6501,0.15,9092,0
6551,0.15,9084,0
6601,0.15,9084,0
6651,0.16,9084,0
6701,0.16,8992,0
6751,0.16,8988,0
6801,0.16,9116,0
6851,0.17,9372,0
6901,0.17,9360,0
6951,0.17,9504,0
7001,0.17,9892,0
7051,0.17,9876,0
7101,0.17,9888,0
7151,0.18,9896,0
7201,0.18,9768,0
7251,0.20,9764,0
7301,0.18,9892,0
7351,0.19,9760,0
7401,0.19,9892,0
7451,0.19,9920,0
7501,0.19,9748,0
7551,0.19,9828,0
7601,0.20,9840,0
7651,0.20,9880,0
7701,0.20,9956,0
7751,0.20,9952,0
7801,0.21,9956,0
7851,0.21,10084,0
7901,0.22,10592,0
7951,0.21,10592,0
8001,0.22,10584,0
8051,0.22,10464,0
8101,0.22,10464,0
8151,0.22,10464,0
8201,0.23,10596,0
8251,0.23,10468,0
8301,0.23,10592,0
8351,0.23,10456,0
8401,0.24,10584,0
8451,0.24,10508,0
8501,0.24,10592,0
8551,0.24,10600,0
8601,0.25,10584,0
8651,0.25,10588,0
8701,0.25,10596,0
8751,0.26,10580,0
8801,0.26,10816,0
8851,0.26,10816,0
8901,0.27,10964,0
8951,0.26,10952,0
9001,0.28,11468,0
9051,0.27,11456,0
9101,0.30,11476,0
9151,0.27,11460,0
9201,0.29,11340,0
9251,0.28,11328,0
9301,0.28,11460,0
9351,0.28,11332,0
9401,0.29,11404,0
9451,0.29,11464,0
9501,0.29,11472,0
9551,0.31,11348,0
9601,0.30,11464,0
9651,0.30,11136,0
9701,0.31,11348,0
9751,0.31,12540,0
9801,0.31,12644,0
9851,0.32,12640,0
9901,0.32,12508,0
9951,0.32,12500,0
10001,0.33,12540,0
10051,0.33,12640,0
10101,0.34,12636,0
10151,0.34,12512,0
10201,0.34,12892,0
10251,0.34,12896,0
10301,0.34,12892,0
10351,0.35,12768,0
10401,0.35,12884,0
10451,0.36,12760,0
10501,0.36,12740,0
10551,0.36,12892,0
10601,0.36,12888,0
10651,0.37,12900,0
10701,0.37,12888,0
10751,0.38,12840,0
10801,0.37,12880,0
10851,0.38,12804,0
10901,0.38,12896,0
10951,0.38,12876,0
11001,0.38,12892,0
11051,0.39,12892,0
11101,0.39,12808,0
11151,0.40,12756,0
11201,0.40,12944,0
11251,0.40,12888,0
11301,0.40,13068,0
11351,0.41,13076,0
11401,0.41,13220,0
11451,0.42,13112,0
11501,0.42,13588,0
11551,0.42,13732,0
11601,0.44,13720,0
11651,0.44,13740,0
11701,0.45,13636,0
11751,0.44,13604,0
11801,0.44,13596,0
11851,0.46,13660,0
11901,0.47,13712,0
11951,0.47,13732,0
12001,0.45,13756,0
12051,0.46,13720,0
12101,0.46,13736,0
12151,0.47,13728,0
12201,0.47,13736,0
