n,time,memory,collisions,hash_calls
100000,1.61,128796,0,0
100000,1.60,128824,0,0
100000,1.61,128708,0,0
100000,1.60,128872,0,0
100000,1.63,128832,0,0
100000,1.60,128784,0,0
100000,1.63,128800,0,0
100000,1.62,128728,0,0
100000,1.59,128764,0,0
100000,1.59,128700,0,0
100000,1.62,128620,0,0
100000,1.64,128756,0,0
100000,1.60,128632,0,0
100000,1.62,128864,0,0
100000,1.63,128840,0,0
100000,1.63,128760,0,0
100000,1.62,128856,0,0
100000,1.61,128796,0,0
100000,1.60,128756,0,0
100000,1.63,128824,0,0
100000,1.62,128808,0,0
100000,1.61,128740,0,0
100000,1.62,128756,0,0
100000,1.61,128868,0,0
100000,1.61,128868,0,0
100000,1.63,128744,0,0
100000,1.62,128660,0,0
100000,1.63,128572,0,0
100000,1.61,128768,0,0
100000,1.62,128844,0,0
100000,1.61,128828,0,0
100000,1.63,128768,0,0
100000,1.64,128736,0,0
100000,1.66,128856,0,0
100000,1.65,128800,0,0
100000,1.61,128864,0,0
100000,1.60,128860,0,0
100000,1.62,128816,0,0
100000,1.60,128876,0,0
100000,1.59,128868,0,0
100000,1.62,128820,0,0
100000,1.60,128716,0,0
100000,1.59,128728,0,0
100000,1.66,128788,0,0
100000,1.61,128764,0,0
100000,1.62,128732,0,0
100000,1.62,128620,0,0
100000,1.62,128824,0,0
100000,1.63,128860,0,0
100000,1.64,128760,0,0
100000,1.61,128848,0,0
100000,1.60,128732,0,0
100000,1.64,128672,0,0
100000,1.60,128828,0,0
100000,1.60,128852,0,0
100000,1.62,128788,0,0
100000,1.61,128620,0,0
100000,1.61,128788,0,0
100000,1.59,128752,0,0
100000,1.61,128832,0,0
100000,1.61,128852,0,0
100000,1.62,128536,0,0
100000,1.60,128868,0,0
100000,1.63,128796,0,0
100000,1.61,128776,0,0
100000,1.65,128372,0,0
100000,1.62,128744,0,0
100000,1.60,128812,0,0
100000,1.61,128760,0,0
100000,1.61,128764,0,0
100000,1.61,128824,0,0
100000,1.65,128568,0,0
100000,1.60,128828,0,0
100000,1.62,128860,0,0
100000,1.60,128864,0,0
100000,1.62,128860,0,0
100000,1.62,128828,0,0
100000,1.63,128740,0,0
100000,1.62,128724,0,0
100000,1.62,128732,0,0
100000,1.62,128612,0,0
100000,1.63,128876,0,0
100000,1.62,128772,0,0
100000,1.60,128656,0,0
100000,1.61,128864,0,0
100000,1.60,128828,0,0
100000,1.68,128744,0,0
100000,1.61,128868,0,0
100000,1.61,128728,0,0
100000,1.63,128760,0,0
100000,1.60,128848,0,0
100000,1.61,128744,0,0
100000,1.63,128656,0,0
100000,1.60,128728,0,0
100000,1.60,128748,0,0
100000,1.62,128880,0,0
100000,1.60,128692,0,0
100000,1.60,128676,0,0
100000,1.64,128792,0,0
100000,1.60,128864,0,0
100000,1.62,128768,0,0
100000,1.63,128840,0,0
100000,1.62,128628,0,0
100000,1.62,128868,0,0
100000,1.60,128684,0,0
100000,1.66,128684,0,0
100000,1.66,128684,0,0
100000,1.77,128792,0,0
100000,1.65,128736,0,0
100000,1.68,128852,0,0
100000,1.71,128584,0,0
100000,1.68,128816,0,0
100000,1.70,128788,0,0
100000,1.65,128792,0,0
100000,1.60,128860,0,0
100000,1.63,128608,0,0
100000,1.62,128744,0,0
100000,1.61,128740,0,0
100000,1.64,128800,0,0
100000,1.64,128860,0,0
100000,1.61,128828,0,0
100000,1.61,128612,0,0
100000,1.63,128832,0,0
100000,1.62,128732,0,0
100000,1.62,128644,0,0
100000,1.64,128656,0,0
100000,1.62,128868,0,0
100000,1.63,128664,0,0
100000,1.65,128828,0,0
100000,1.61,128856,0,0
100000,1.61,128796,0,0
100000,1.61,128780,0,0
100000,1.62,128852,0,0
100000,1.61,128828,0,0
100000,1.65,128628,0,0
100000,1.62,128748,0,0
100000,1.61,128724,0,0
100000,1.64,128444,0,0
100000,1.61,128868,0,0
100000,1.60,128844,0,0
100000,1.61,128688,0,0
100000,1.66,128632,0,0
100000,1.61,128832,0,0
100000,1.65,128840,0,0
100000,1.61,128760,0,0
100000,1.60,128724,0,0
100000,1.60,128856,0,0
100000,1.66,128744,0,0
100000,1.61,128864,0,0
100000,1.61,128732,0,0
100000,1.64,128764,0,0
100000,1.61,128760,0,0
100000,1.61,128836,0,0
100000,1.61,128812,0,0
100000,1.74,128660,0,0
100000,1.64,128680,0,0
100000,1.62,128824,0,0
100000,1.63,128652,0,0
100000,1.64,128792,0,0
100000,1.61,128772,0,0
100000,1.62,128852,0,0
100000,1.63,128748,0,0
100000,1.60,128692,0,0
100000,1.62,128608,0,0
100000,1.61,128768,0,0
100000,1.61,128756,0,0
100000,1.63,128732,0,0
100000,1.59,128856,0,0
100000,1.61,128756,0,0
100000,1.63,128644,0,0
100000,1.59,128860,0,0
100000,1.62,128776,0,0
100000,1.61,128744,0,0
100000,1.59,128664,0,0
100000,1.62,128752,0,0
100000,1.63,128840,0,0
100000,1.86,128796,0,0
100000,1.75,128676,0,0
100000,1.74,128804,0,0
100000,1.72,128824,0,0
100000,1.67,128788,0,0
100000,1.67,128796,0,0
100000,1.68,128652,0,0
100000,1.63,128672,0,0
100000,1.61,128820,0,0
100000,1.61,128708,0,0
100000,1.61,128820,0,0
100000,1.62,128864,0,0
100000,1.79,128680,0,0
100000,1.76,128768,0,0
100000,1.75,128864,0,0
100000,1.74,128676,0,0
100000,1.74,128700,0,0
100000,1.74,128796,0,0
100000,1.74,128736,0,0
100000,1.80,128796,0,0
100000,1.80,128732,0,0
100000,1.98,128836,0,0
100000,1.81,128812,0,0
100000,1.86,128812,0,0
100000,1.81,128788,0,0
100000,1.74,128844,0,0
100000,1.68,128768,0,0
100000,1.68,128752,0,0
100000,1.68,128756,0,0
100000,1.71,128680,0,0
100000,1.69,128652,0,0
100000,1.65,128724,0,0
100000,1.61,128784,0,0
100000,1.64,128704,0,0
100000,1.63,128864,0,0
100000,1.66,128892,0,0
100000,1.62,128812,0,0
100000,1.59,128852,0,0
100000,1.63,128836,0,0
100000,1.60,128860,0,0
100000,1.60,128740,0,0
100000,1.60,128864,0,0
100000,1.63,128776,0,0
100000,1.61,128740,0,0
100000,1.62,128636,0,0
100000,1.61,128732,0,0
100000,1.59,128724,0,0
100000,1.61,128700,0,0
100000,1.62,128632,0,0
100000,1.60,128772,0,0
100000,1.61,128852,0,0
100000,1.62,128804,0,0
100000,1.61,128728,0,0
100000,1.61,128616,0,0
100000,1.60,128788,0,0
100000,1.61,128840,0,0
100000,1.60,128736,0,0
100000,1.63,128828,0,0
100000,1.60,128804,0,0
100000,1.60,128776,0,0
100000,1.61,128856,0,0
100000,1.64,128864,0,0
100000,1.61,128868,0,0
100000,1.60,128708,0,0
100000,1.61,128816,0,0
100000,1.59,128672,0,0
100000,1.63,128860,0,0
100000,1.60,128612,0,0
100000,1.59,128864,0,0
100000,1.61,128724,0,0
100000,1.62,128780,0,0
100000,1.61,128676,0,0
100000,1.61,128716,0,0
100000,1.62,128916,0,0
100000,1.62,128796,0,0
100000,1.60,128856,0,0
100000,1.61,128684,0,0
100000,1.60,128724,0,0
100000,1.62,128752,0,0
100000,1.61,128872,0,0
100000,1.60,128800,0,0
100000,1.60,128820,0,0
100000,1.62,128792,0,0
100000,1.62,128760,0,0
100000,1.61,128860,0,0
100000,1.60,128804,0,0
100000,1.60,128868,0,0
100000,1.64,128768,0,0
100000,1.61,128820,0,0
100000,1.60,128636,0,0
100000,1.60,128864,0,0
100000,1.61,128704,0,0
100000,1.66,128868,0,0
100000,1.60,128856,0,0
100000,1.61,128744,0,0
100000,1.63,128652,0,0
100000,1.61,128860,0,0
100000,1.59,128832,0,0
100000,1.64,128756,0,0
100000,1.61,128740,0,0
100000,1.62,128832,0,0
100000,1.61,128836,0,0
100000,1.63,128840,0,0
100000,1.60,128852,0,0
100000,1.60,128876,0,0
100000,1.61,128780,0,0
100000,1.61,128796,0,0
100000,1.62,128760,0,0
100000,1.62,128704,0,0
100000,1.60,128808,0,0
100000,1.61,128832,0,0
100000,1.63,128800,0,0
100000,1.61,128820,0,0
100000,1.60,128852,0,0
100000,1.61,128572,0,0
100000,1.62,128776,0,0
100000,1.61,128740,0,0
100000,1.61,128752,0,0
100000,1.60,128664,0,0
100000,1.60,128860,0,0
100000,1.60,128836,0,0
100000,1.60,128640,0,0
100000,1.60,128708,0,0
100000,1.60,128772,0,0
100000,1.61,128828,0,0
100000,1.59,128864,0,0
100000,1.60,128732,0,0
100000,1.61,128628,0,0
100000,1.61,128628,0,0
100000,1.60,128636,0,0
100000,1.63,128796,0,0
100000,1.59,128640,0,0
100000,1.60,128740,0,0
100000,1.62,128804,0,0
100000,1.67,128740,0,0
100000,1.90,128856,0,0
100000,1.69,128872,0,0
100000,1.73,128828,0,0
100000,1.68,128860,0,0
100000,1.66,128612,0,0
100000,1.64,128840,0,0
100000,1.65,128816,0,0
100000,1.63,128812,0,0
100000,1.65,128656,0,0
100000,1.64,128680,0,0
100000,1.64,128860,0,0
100000,1.65,128672,0,0
100000,1.67,128812,0,0
100000,1.67,128744,0,0
100000,1.65,128736,0,0
100000,1.66,128772,0,0
100000,1.65,128788,0,0
100000,1.64,128876,0,0
100000,1.67,128856,0,0
100000,1.68,128760,0,0
100000,1.64,128744,0,0
100000,1.60,128864,0,0
100000,1.70,128680,0,0
100000,1.62,128752,0,0
100000,1.58,128852,0,0
100000,1.58,128796,0,0
100000,1.58,128856,0,0
100000,1.58,128860,0,0
100000,1.58,128856,0,0
100000,1.65,128788,0,0
100000,1.78,128672,0,0
100000,1.96,128756,0,0
100000,1.97,128692,0,0
100000,1.82,128796,0,0
100000,1.78,128836,0,0
100000,1.77,128780,0,0
100000,1.83,128752,0,0
100000,1.64,128764,0,0
100000,1.58,128856,0,0
100000,1.66,128848,0,0
100000,1.60,128780,0,0
100000,1.59,128788,0,0
100000,1.57,128624,0,0
100000,1.59,128736,0,0
100000,1.57,128736,0,0
100000,1.59,128868,0,0
100000,1.59,128824,0,0
100000,1.60,128688,0,0
100000,1.59,128688,0,0
100000,1.59,128856,0,0
100000,1.59,128864,0,0
100000,1.59,128864,0,0
100000,1.58,128828,0,0
100000,1.57,128652,0,0
100000,1.62,128752,0,0
100000,1.60,128732,0,0
100000,1.60,128872,0,0
100000,1.59,128852,0,0
100000,1.58,128604,0,0
100000,1.73,128672,0,0
100000,1.60,128796,0,0
100000,1.84,128856,0,0
100000,1.75,128832,0,0
100000,1.79,128904,0,0
100000,1.70,128628,0,0
100000,1.75,128656,0,0
100000,1.56,128792,0,0
100000,1.63,128772,0,0
100000,1.64,128812,0,0
100000,1.67,128820,0,0
100000,1.78,128836,0,0
100000,1.85,128716,0,0
100000,1.64,128660,0,0
100000,1.68,128856,0,0
100000,1.82,128856,0,0
100000,1.76,128852,0,0
100000,1.81,128728,0,0
100000,1.65,128772,0,0
100000,1.78,128700,0,0
100000,1.73,128824,0,0
100000,1.75,128648,0,0
100000,1.70,128744,0,0
100000,1.75,128628,0,0
100000,1.71,128820,0,0
100000,1.82,128796,0,0
100000,1.73,128872,0,0
100000,1.60,128792,0,0
100000,1.65,128684,0,0
100000,1.66,128848,0,0
100000,1.64,128772,0,0
100000,1.67,128784,0,0
100000,1.62,128752,0,0
100000,1.64,128748,0,0
100000,1.61,128860,0,0
100000,1.62,128728,0,0
100000,1.61,128812,0,0
100000,1.61,128864,0,0
100000,1.61,128844,0,0
100000,1.61,128824,0,0
100000,1.61,128724,0,0
100000,1.65,128868,0,0
100000,1.66,128740,0,0
100000,1.61,128808,0,0
100000,1.62,128760,0,0
100000,1.62,128832,0,0
100000,1.62,128700,0,0
100000,1.63,128836,0,0
100000,1.60,128800,0,0
100000,1.63,128832,0,0
100000,1.62,128892,0,0
100000,1.61,128876,0,0
100000,1.60,128748,0,0
100000,1.59,128864,0,0
100000,1.62,128772,0,0
100000,1.62,128852,0,0
100000,1.63,128676,0,0
100000,1.64,128820,0,0
100000,1.73,128688,0,0
100000,1.64,128840,0,0
100000,1.65,128828,0,0
100000,1.63,128860,0,0
100000,1.65,128852,0,0
100000,1.69,128736,0,0
100000,1.65,128784,0,0
100000,1.65,128856,0,0
100000,1.71,128712,0,0
100000,1.63,128800,0,0
100000,1.67,128756,0,0
100000,1.65,128692,0,0
100000,1.64,128900,0,0
100000,1.63,128836,0,0
100000,1.64,128648,0,0
100000,1.66,128800,0,0
100000,1.63,128784,0,0
100000,1.63,128820,0,0
100000,1.61,128696,0,0
100000,1.65,128748,0,0
100000,1.66,128696,0,0
100000,1.63,128680,0,0
100000,1.65,128788,0,0
100000,1.64,128648,0,0
100000,1.64,128856,0,0
100000,1.63,128744,0,0
100000,1.71,128840,0,0
100000,1.66,128772,0,0
100000,1.80,128680,0,0
100000,1.66,128708,0,0
100000,1.64,128780,0,0
100000,1.69,128764,0,0
100000,1.64,128804,0,0
100000,1.68,128820,0,0
100000,1.76,128860,0,0
100000,1.66,128832,0,0
100000,1.63,128756,0,0
100000,1.67,128756,0,0
100000,1.64,128860,0,0
100000,1.64,128828,0,0
100000,1.75,128824,0,0
100000,1.83,128748,0,0
100000,1.83,128836,0,0
100000,1.71,128748,0,0
100000,1.71,128664,0,0
100000,1.67,128784,0,0
100000,1.68,128784,0,0
100000,1.72,128792,0,0
100000,1.76,128860,0,0
100000,1.74,128820,0,0
100000,1.74,128776,0,0
100000,1.75,128832,0,0
100000,1.71,128612,0,0
100000,1.69,128652,0,0
100000,1.69,128704,0,0
100000,1.70,128688,0,0
100000,1.64,128844,0,0
100000,1.75,128824,0,0
100000,1.66,128820,0,0
100000,1.67,128744,0,0
100000,1.69,128712,0,0
100000,1.68,128768,0,0
100000,1.67,128656,0,0
100000,1.75,128768,0,0
100000,1.65,128868,0,0
100000,1.64,128828,0,0
100000,1.68,128792,0,0
100000,1.65,128788,0,0
100000,1.65,128764,0,0
100000,1.63,128844,0,0
100000,1.65,128840,0,0
100000,1.59,128864,0,0
100000,1.61,128780,0,0
100000,1.59,128840,0,0
100000,1.59,128868,0,0
100000,1.70,128800,0,0
100000,1.70,128680,0,0
100000,1.73,128752,0,0
100000,1.67,128844,0,0
100000,1.67,128700,0,0
100000,1.70,128904,0,0
100000,1.80,128672,0,0
100000,1.63,128624,0,0
100000,1.64,128840,0,0
100000,1.64,128864,0,0
