n,time,memory,collisions,hash_calls
100000,0.71,127232,0,0
100000,0.71,126868,0,0
100000,0.71,127104,0,0
100000,0.71,127104,0,0
100000,0.71,126968,0,0
100000,0.71,127092,0,0
100000,0.71,127104,0,0
100000,0.71,127096,0,0
100000,0.72,127092,0,0
100000,0.71,127224,0,0
100000,0.71,127108,0,0
100000,0.72,126968,0,0
100000,0.73,127104,0,0
100000,0.72,127040,0,0
100000,0.75,127092,0,0
100000,0.72,127100,0,0
100000,0.72,127096,0,0
100000,0.72,127108,0,0
100000,0.72,127092,0,0
100000,0.73,126968,0,0
100000,0.71,126976,0,0
100000,0.71,127228,0,0
100000,0.73,127220,0,0
100000,0.72,127092,0,0
100000,0.72,126972,0,0
100000,0.72,127216,0,0
100000,0.72,127092,0,0
100000,0.71,126964,0,0
100000,0.73,127224,0,0
100000,0.71,127100,0,0
100000,0.71,127004,0,0
100000,0.71,127100,0,0
100000,0.71,126972,0,0
100000,0.72,127088,0,0
100000,0.71,126968,0,0
100000,0.71,127008,0,0
100000,0.71,127100,0,0
100000,0.72,127092,0,0
100000,0.72,126972,0,0
100000,0.73,126972,0,0
100000,0.73,126896,0,0
100000,0.73,127228,0,0
100000,0.73,126960,0,0
100000,0.73,126964,0,0
100000,0.73,126924,0,0
100000,0.73,127104,0,0
100000,0.72,127224,0,0
100000,0.72,127108,0,0
100000,0.72,127220,0,0
100000,0.73,127016,0,0
100000,0.72,127100,0,0
100000,0.72,127096,0,0
100000,0.71,127100,0,0
100000,0.71,127100,0,0
100000,0.71,127100,0,0
100000,0.72,127104,0,0
100000,0.73,127216,0,0
100000,0.73,127100,0,0
100000,0.71,127228,0,0
100000,0.73,127092,0,0
100000,0.72,127216,0,0
100000,0.72,126980,0,0
100000,0.72,127156,0,0
100000,0.72,127228,0,0
100000,0.72,127096,0,0
100000,0.73,127124,0,0
100000,0.71,127104,0,0
100000,0.70,127228,0,0
100000,0.71,127104,0,0
100000,0.71,127104,0,0
100000,0.71,127224,0,0
100000,0.72,127104,0,0
100000,0.71,127104,0,0
100000,0.72,127096,0,0
100000,0.72,127104,0,0
100000,0.71,127220,0,0
100000,0.72,127092,0,0
100000,0.71,126992,0,0
100000,0.72,127092,0,0
100000,0.71,127100,0,0
100000,0.71,127232,0,0
100000,0.71,127092,0,0
100000,0.71,127088,0,0
100000,0.71,127208,0,0
100000,0.72,127092,0,0
100000,0.72,127096,0,0
100000,0.70,127084,0,0
100000,0.71,126896,0,0
100000,0.71,127220,0,0
100000,0.71,127172,0,0
100000,0.71,127096,0,0
100000,0.71,127104,0,0
100000,0.71,127224,0,0
100000,0.71,127108,0,0
100000,0.71,127192,0,0
100000,0.71,127096,0,0
100000,0.71,127096,0,0
100000,0.71,127100,0,0
100000,0.71,127152,0,0
100000,0.72,127088,0,0
100000,0.72,127092,0,0
100000,0.70,126900,0,0
100000,0.72,127224,0,0
100000,0.72,127140,0,0
100000,0.70,127232,0,0
100000,0.74,127212,0,0
100000,0.71,126960,0,0
100000,0.70,127096,0,0
100000,0.71,126964,0,0
100000,0.72,127108,0,0
100000,0.72,127152,0,0
100000,0.71,127108,0,0
100000,0.71,127008,0,0
100000,0.71,127092,0,0
100000,0.71,126960,0,0
100000,0.71,127100,0,0
100000,0.72,127100,0,0
100000,0.72,127100,0,0
100000,0.72,126972,0,0
100000,0.71,127100,0,0
100000,0.71,127096,0,0
100000,0.71,127180,0,0
100000,0.71,127088,0,0
100000,0.70,127216,0,0
100000,0.73,127232,0,0
100000,0.82,127108,0,0
100000,0.81,127108,0,0
100000,0.80,126968,0,0
100000,0.79,127104,0,0
100000,0.82,127104,0,0
100000,0.79,127100,0,0
100000,0.72,127104,0,0
100000,0.78,127108,0,0
100000,0.71,127148,0,0
100000,0.71,126964,0,0
100000,0.76,126964,0,0
100000,0.77,127096,0,0
100000,0.78,126984,0,0
100000,0.74,127228,0,0
100000,0.76,127228,0,0
100000,0.75,127096,0,0
100000,0.71,127096,0,0
100000,0.80,127104,0,0
100000,0.72,127096,0,0
100000,0.71,127052,0,0
100000,0.71,127100,0,0
100000,0.71,127100,0,0
100000,0.71,126964,0,0
100000,0.71,127084,0,0
100000,0.72,127108,0,0
100000,0.71,127100,0,0
100000,0.71,127100,0,0
100000,0.72,127092,0,0
100000,0.72,126964,0,0
100000,0.71,126968,0,0
100000,0.72,127084,0,0
100000,0.71,126972,0,0
100000,0.70,127084,0,0
100000,0.71,126976,0,0
100000,0.72,127092,0,0
100000,0.71,126972,0,0
100000,0.71,127100,0,0
100000,0.72,127088,0,0
100000,0.71,127100,0,0
100000,0.72,127108,0,0
100000,0.71,127096,0,0
100000,0.71,127104,0,0
100000,0.71,127228,0,0
100000,0.71,127220,0,0
100000,0.71,127092,0,0
100000,0.71,127100,0,0
100000,0.72,127092,0,0
100000,0.71,127088,0,0
100000,0.71,127100,0,0
100000,0.71,127224,0,0
100000,0.71,127100,0,0
100000,0.72,127092,0,0
100000,0.71,127104,0,0
100000,0.72,127100,0,0
100000,0.71,127232,0,0
100000,0.72,127104,0,0
100000,0.72,126992,0,0
100000,0.71,127096,0,0
100000,0.71,127232,0,0
100000,0.72,127092,0,0
100000,0.71,127100,0,0
100000,0.71,127224,0,0
100000,0.71,127108,0,0
100000,0.71,127096,0,0
100000,0.71,127100,0,0
100000,0.71,127104,0,0
100000,0.71,127096,0,0
100000,0.71,126992,0,0
100000,0.71,127100,0,0
100000,0.71,127100,0,0
100000,0.71,126972,0,0
100000,0.71,127092,0,0
100000,0.72,127096,0,0
100000,0.71,127096,0,0
100000,0.71,126968,0,0
100000,0.72,127088,0,0
100000,0.72,126972,0,0
100000,0.72,127096,0,0
100000,0.72,126964,0,0
100000,0.72,127220,0,0
100000,0.71,127096,0,0
100000,0.72,127100,0,0
100000,0.71,127140,0,0
100000,0.72,127224,0,0
100000,0.71,127152,0,0
100000,0.71,127092,0,0
100000,0.71,127092,0,0
100000,0.71,126976,0,0
100000,0.71,126980,0,0
100000,0.71,127228,0,0
100000,0.71,126968,0,0
100000,0.72,126964,0,0
100000,0.72,126964,0,0
100000,0.71,127052,0,0
100000,0.71,127100,0,0
100000,0.73,126972,0,0
100000,0.72,127104,0,0
100000,0.72,127116,0,0
100000,0.71,127220,0,0
100000,0.72,127088,0,0
100000,0.71,126968,0,0
100000,0.71,127096,0,0
100000,0.71,127108,0,0
100000,0.71,127100,0,0
100000,0.72,127008,0,0
100000,0.70,127104,0,0
100000,0.71,127220,0,0
100000,0.72,127228,0,0
100000,0.72,127096,0,0
100000,0.72,127096,0,0
100000,0.71,127092,0,0
100000,0.71,127224,0,0
100000,0.72,127224,0,0
100000,0.72,127104,0,0
100000,0.72,127064,0,0
100000,0.71,126960,0,0
100000,0.72,127224,0,0
100000,0.72,127092,0,0
100000,0.72,126964,0,0
100000,0.71,127228,0,0
100000,0.70,127220,0,0
100000,0.72,127220,0,0
100000,0.72,126972,0,0
100000,0.71,127092,0,0
100000,0.72,127092,0,0
100000,0.72,127100,0,0
100000,0.72,127228,0,0
100000,0.72,127224,0,0
100000,0.72,127100,0,0
100000,0.72,127232,0,0
100000,0.71,127100,0,0
100000,0.71,126968,0,0
100000,0.70,127100,0,0
100000,0.72,127096,0,0
100000,0.71,127092,0,0
100000,0.72,127100,0,0
100000,0.72,127096,0,0
100000,0.71,127100,0,0
100000,0.72,127092,0,0
100000,0.71,127100,0,0
100000,0.71,127096,0,0
100000,0.70,126996,0,0
100000,0.71,127100,0,0
100000,0.71,127100,0,0
100000,0.71,127072,0,0
100000,0.71,127008,0,0
100000,0.71,127100,0,0
100000,0.72,126972,0,0
100000,0.72,127100,0,0
100000,0.72,127184,0,0
100000,0.72,127104,0,0
