n,time,memory,collisions
1,2.65,2304,0
51,1.46,2432,0
101,1.37,2432,0
151,1.39,2432,0
201,1.38,2304,0
251,1.38,2432,0
301,1.37,2432,0
351,1.38,2432,0
401,1.38,2432,0
451,1.38,2432,0
501,1.43,2432,0
551,1.39,2432,0
601,1.39,2432,0
651,1.40,2432,0
701,1.39,2432,0
751,1.39,2432,0
801,1.38,2432,0
851,1.37,2432,0
901,1.36,2304,0
951,1.38,2432,0
1001,1.38,2304,0
1051,1.38,2432,0
1101,1.39,2432,0
1151,1.38,2432,0
1201,1.40,2432,0
1251,1.38,2304,0
1301,1.37,2432,0
1351,1.38,2304,0
1401,1.39,2304,0
1451,1.39,2432,0
1501,1.40,2432,0
1551,1.38,2432,0
1601,1.38,2304,0
1651,1.39,2432,0
1701,1.40,2432,0
1751,1.40,2304,0
1801,1.33,2432,0
1851,1.38,2432,0
1901,1.40,2432,0
1951,1.33,2304,0
2001,1.40,2432,0
2051,1.36,2432,0
2101,1.42,2432,0
2151,1.38,2304,0
2201,1.39,2304,0
2251,1.38,2432,0
2301,1.37,2304,0
2351,1.37,2432,0
2401,1.41,2432,0
2451,1.38,2432,0
2501,1.37,2432,0
2551,1.40,2432,0
2601,1.37,2304,0
2651,1.37,2432,0
2701,1.42,2432,0
2751,1.42,2432,0
2801,1.39,2432,0
2851,1.37,2304,0
2901,1.39,2432,0
2951,1.32,2432,0
3001,1.36,2432,0
3051,1.37,2304,0
3101,1.37,2432,0
3151,1.40,2304,0
3201,1.38,2432,0
3251,1.42,2432,0
3301,1.39,2432,0
3351,1.42,2432,0
3401,1.40,2432,0
3451,1.38,2432,0
3501,1.34,2432,0
3551,1.40,2304,0
3601,1.34,2432,0
3651,1.36,2432,0
3701,1.39,2304,0
3751,1.42,2432,0
3801,1.38,2432,0
3851,1.39,2432,0
3901,1.38,2432,0
3951,1.42,2304,0
4001,1.42,2432,0
4051,1.34,2432,0
4101,1.42,2304,0
4151,1.42,2432,0
4201,1.40,2432,0
4251,1.34,2432,0
4301,1.41,2304,0
4351,1.38,2304,0
4401,1.41,2432,0
4451,1.34,2432,0
4501,1.36,2432,0
4551,1.33,2432,0
4601,1.42,2432,0
4651,1.41,2432,0
4701,1.45,2304,0
4751,1.40,2304,0
4801,1.37,2432,0
4851,1.36,2432,0
4901,1.40,2432,0
4951,1.43,2432,0
