n,time,memory,collisions
1,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2176,0
51,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
101,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
151,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
201,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
251,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
301,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
351,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
401,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
451,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
501,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
551,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
601,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
651,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
701,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
751,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
801,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
851,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
901,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
951,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1001,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1051,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1101,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1151,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1201,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1251,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1301,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1351,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1401,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1451,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1501,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1551,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1601,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1651,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1701,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1751,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1801,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1851,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1901,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1951,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
