n,time,memory,collisions
100,0.01,2304,0
2100,0.07,9644,0
4100,0.13,15580,0
6100,0.18,19292,0
8100,0.24,22116,0
10100,0.30,25428,0
12100,0.36,27080,0
14100,0.42,28244,0
16100,0.47,28944,0
18100,0.53,29432,0
20100,0.60,29772,0
22100,0.64,30192,0
24100,0.71,30300,0
26100,0.77,30588,0
28100,0.86,30616,0
30100,0.92,30528,0
32100,0.96,30868,0
34100,1.03,30860,0
36100,1.06,30744,0
38100,1.10,30984,0
40100,1.15,30892,0
42100,1.21,30812,0
44100,1.26,30948,0
46100,1.33,30904,0
48100,1.39,30956,0
50100,1.43,30988,0
52100,1.49,30956,0
54100,1.53,30864,0
56100,1.61,30936,0
58100,1.66,30936,0
60100,1.73,30972,0
62100,1.76,30952,0
64100,1.82,30884,0
66100,1.88,30980,0
68100,1.95,30972,0
