n,time,memory,collisions
100,0.01,2560,0
2100,0.07,12512,0
4100,0.13,20172,0
6100,0.19,26508,0
8100,0.25,31020,0
10100,0.31,37436,0
12100,0.38,41376,0
14100,0.43,44428,0
16100,0.52,48904,0
18100,0.57,51712,0
20100,0.64,54636,0
22100,0.70,57560,0
24100,0.77,60528,0
26100,0.83,61896,0
28100,0.90,64876,0
30100,0.98,67796,0
32100,1.05,70764,0
34100,1.11,72356,0
36100,1.18,75516,0
38100,1.25,78556,0
40100,1.30,80368,0
42100,1.40,83556,0
44100,1.46,85352,0
46100,1.54,88624,0
48100,1.59,90492,0
50100,1.69,93852,0
52100,1.74,95852,0
54100,1.79,97592,0
56100,1.88,101284,0
58100,1.93,103180,0
60100,2.03,105112,0
62100,2.08,109068,0
64100,2.19,110932,0
66100,2.34,112980,0
68100,2.39,115024,0
