n,time,memory,collisions
100,0.00,2560,1
2100,0.08,12344,659
4100,0.16,21720,2252
6100,0.26,29164,4655
8100,0.35,36768,7701
10100,0.43,42432,11341
12100,0.55,49140,15413
14100,0.65,54344,19802
16100,0.79,56968,24500
18100,0.87,62236,29396
20100,1.03,67280,34504
22100,1.14,69672,39779
24100,1.19,72248,45183
26100,1.39,77568,50703
28100,1.46,79992,56320
30100,1.54,82212,61975
32100,1.66,84868,67713
34100,1.81,92212,73492
36100,1.93,94720,79313
38100,2.08,96964,85166
40100,2.17,99704,91063
42100,2.28,101876,96959
44100,2.39,104584,102873
46100,2.56,107004,108799
48100,2.60,109532,114745
