n,time,memory,collisions
100,0.01,2432,0
2100,0.07,9644,0
4100,0.13,15440,0
6100,0.19,19260,0
8100,0.25,22240,0
10100,0.31,25312,0
12100,0.37,27092,0
14100,0.43,28260,0
16100,0.49,28816,0
18100,0.55,29452,0
20100,0.60,30008,0
22100,0.67,30140,0
24100,0.73,30388,0
26100,0.79,30500,0
28100,0.85,30592,0
30100,0.91,30744,0
32100,0.97,30852,0
34100,1.04,30860,0
36100,1.08,30844,0
38100,1.14,30868,0
40100,1.19,30888,0
42100,1.26,30968,0
44100,1.35,31016,0
46100,1.39,30984,0
48100,1.44,30876,0
50100,1.50,30928,0
52100,1.55,30952,0
54100,1.65,30988,0
56100,1.65,30940,0
58100,1.71,31000,0
60100,1.78,30904,0
62100,1.83,30980,0
64100,1.89,30976,0
66100,1.96,30988,0
68100,1.99,30984,0
