n,time,memory,collisions
100,0.00,2048,0
2100,0.06,2048,0
4100,0.11,2048,0
6100,0.17,2048,0
8100,0.22,2048,0
10100,0.28,2048,0
12100,0.34,2048,0
14100,0.39,2048,0
16100,0.45,2048,0
18100,0.50,2048,0
20100,0.55,2048,0
22100,0.62,2048,0
24100,0.67,2048,0
26100,0.72,2048,0
28100,0.77,2048,0
30100,0.83,1920,0
32100,0.88,2048,0
34100,0.94,2048,0
36100,1.00,2048,0
38100,1.06,2048,0
40100,1.12,2048,0
42100,1.17,2048,0
44100,1.23,2048,0
46100,1.28,2048,0
48100,1.34,2048,0
50100,1.41,2048,0
52100,1.44,2048,0
54100,1.50,2048,0
56100,1.56,2048,0
58100,1.61,2048,0
60100,1.69,1920,0
62100,1.71,2048,0
64100,1.78,2048,0
66100,1.85,2048,0
68100,1.90,2176,0
