n,time,memory,collisions
100,0.01,2432,0
2100,0.07,9564,0
4100,0.13,15428,0
6100,0.18,19224,0
8100,0.24,22096,0
10100,0.30,25744,0
12100,0.36,27228,0
14100,0.42,28200,0
16100,0.47,28764,0
18100,0.54,29520,0
20100,0.59,29832,0
22100,0.65,30184,0
24100,0.72,30396,0
26100,0.77,30560,0
28100,0.82,30632,0
30100,0.89,30848,0
32100,0.99,30848,0
34100,1.04,30892,0
36100,1.10,30816,0
38100,1.14,30864,0
40100,1.23,30900,0
42100,1.28,30932,0
44100,1.34,30908,0
46100,1.38,30932,0
48100,1.44,30964,0
50100,1.47,30976,0
52100,1.53,31000,0
54100,1.64,30920,0
56100,1.66,30960,0
58100,1.70,30872,0
60100,1.76,30956,0
62100,1.81,31104,0
64100,1.88,30988,0
66100,1.96,30932,0
68100,2.01,30980,0
