n,time,memory,collisions
100,0.00,2176,0
1100,0.01,3840,0
2100,0.01,4732,0
3100,0.02,5756,0
4100,0.03,6416,0
5100,0.03,6984,0
6100,0.04,7496,0
7100,0.05,7900,0
8100,0.05,8424,0
9100,0.06,8856,0
10100,0.06,9152,0
11100,0.07,9428,0
12100,0.07,9688,0
13100,0.08,9924,0
14100,0.08,10292,0
15100,0.09,10436,0
16100,0.10,10612,0
17100,0.10,10932,0
18100,0.11,10928,0
19100,0.11,11248,0
20100,0.12,11512,0
21100,0.13,11572,0
22100,0.13,11584,0
23100,0.14,11780,0
24100,0.14,11932,0
25100,0.15,11808,0
26100,0.15,12200,0
27100,0.16,12368,0
28100,0.17,12500,0
29100,0.17,12596,0
30100,0.17,12760,0
31100,0.18,12624,0
32100,0.20,12868,0
33100,0.20,12984,0
34100,0.21,12892,0
35100,0.21,13396,0
36100,0.21,13392,0
37100,0.22,13428,0
38100,0.22,13708,0
39100,0.24,13716,0
40100,0.26,14132,0
41100,0.24,14136,0
42100,0.26,14308,0
43100,0.25,14188,0
44100,0.26,14300,0
45100,0.26,14460,0
46100,0.28,14456,0
47100,0.29,14692,0
48100,0.28,14688,0
49100,0.29,14804,0
50100,0.29,14788,0
51100,0.31,14936,0
52100,0.31,14932,0
53100,0.32,15044,0
54100,0.33,15056,0
55100,0.31,15076,0
56100,0.33,15204,0
57100,0.34,15160,0
58100,0.34,15160,0
59100,0.35,15456,0
60100,0.35,15248,0
61100,0.38,15568,0
62100,0.38,15448,0
63100,0.36,15512,0
64100,0.38,15516,0
65100,0.37,15644,0
66100,0.38,15644,0
67100,0.39,15736,0
68100,0.40,15728,0
69100,0.40,15820,0
70100,0.43,15828,0
71100,0.42,15956,0
72100,0.42,15960,0
73100,0.42,16044,0
74100,0.44,15948,0
75100,0.45,16012,0
76100,0.44,16008,0
77100,0.45,16200,0
78100,0.44,16196,0
79100,0.47,16264,0
80100,0.46,16268,0
81100,0.46,16400,0
82100,0.47,16308,0
83100,0.50,16368,0
84100,0.52,16440,0
85100,0.51,16496,0
86100,0.48,16448,0
87100,0.49,16460,0
88100,0.50,16560,0
89100,0.51,16636,0
90100,0.52,16700,0
91100,0.52,16712,0
92100,0.55,16736,0
93100,0.54,16748,0
94100,0.53,16740,0
95100,0.54,16732,0
96100,0.57,16868,0
97100,0.55,16792,0
98100,0.58,16908,0
99100,0.57,16944,0
