n,time,memory,collisions
100,0.00,2176,0
1100,0.01,3968,0
2100,0.02,5120,0
3100,0.02,5952,0
4100,0.03,6968,0
5100,0.04,7344,0
6100,0.04,8092,0
7100,0.05,8560,0
8100,0.06,8976,0
9100,0.06,9448,0
10100,0.07,9824,0
11100,0.07,10152,0
12100,0.08,10500,0
13100,0.09,10800,0
14100,0.09,11232,0
15100,0.10,11584,0
16100,0.10,11932,0
17100,0.11,12244,0
18100,0.11,12188,0
19100,0.12,12496,0
20100,0.13,12824,0
21100,0.13,13116,0
22100,0.14,13136,0
23100,0.14,13380,0
24100,0.15,13672,0
25100,0.15,13656,0
26100,0.16,13872,0
27100,0.17,14292,0
28100,0.17,14220,0
29100,0.18,14596,0
30100,0.18,14736,0
31100,0.19,14716,0
32100,0.19,15052,0
33100,0.20,15308,0
34100,0.21,15248,0
35100,0.21,15536,0
36100,0.21,15656,0
37100,0.23,15844,0
38100,0.23,16328,0
39100,0.23,16332,0
40100,0.24,16756,0
41100,0.25,16832,0
42100,0.26,16996,0
43100,0.26,16976,0
44100,0.27,17212,0
45100,0.28,17528,0
46100,0.29,17508,0
47100,0.29,17860,0
48100,0.29,17732,0
49100,0.30,18096,0
50100,0.31,18092,0
51100,0.30,18332,0
52100,0.32,18336,0
53100,0.33,18436,0
54100,0.33,18336,0
55100,0.33,18632,0
56100,0.34,18688,0
57100,0.35,18788,0
58100,0.36,18904,0
59100,0.36,19200,0
60100,0.37,19208,0
61100,0.38,19416,0
62100,0.38,19416,0
63100,0.38,19604,0
64100,0.38,19708,0
65100,0.40,19860,0
66100,0.41,19856,0
67100,0.41,20076,0
68100,0.41,20076,0
69100,0.42,20292,0
70100,0.43,20288,0
71100,0.43,20440,0
72100,0.43,20316,0
73100,0.45,20584,0
74100,0.45,20624,0
75100,0.46,20956,0
76100,0.46,20848,0
77100,0.46,21156,0
78100,0.48,21188,0
79100,0.48,21328,0
80100,0.48,21360,0
81100,0.49,21568,0
82100,0.49,21568,0
83100,0.50,21752,0
84100,0.51,21748,0
85100,0.52,21916,0
86100,0.52,21944,0
87100,0.53,21960,0
88100,0.52,22180,0
89100,0.59,22288,0
90100,0.54,22444,0
91100,0.54,22468,0
92100,0.57,22640,0
93100,0.57,22640,0
94100,0.57,22772,0
95100,0.59,22768,0
96100,0.59,22952,0
97100,0.59,23004,0
98100,0.58,22972,0
99100,0.60,23048,0
