n,time,memory,collisions
100,0.00,2176,30
1100,0.01,3968,881
2100,0.02,5120,2139
3100,0.03,5888,3654
4100,0.04,6976,5185
5100,0.05,7336,6868
6100,0.06,8108,8634
7100,0.07,8560,10450
8100,0.09,8988,12307
9100,0.10,9436,14157
10100,0.11,9832,16020
11100,0.12,10184,17934
12100,0.13,10496,19826
13100,0.14,10828,21733
14100,0.16,11240,23661
15100,0.16,11576,25625
16100,0.18,11896,27529
17100,0.19,12220,29521
18100,0.19,12236,31441
19100,0.21,12492,33434
20100,0.22,12824,35440
21100,0.24,13060,37446
22100,0.24,13128,39459
23100,0.25,13440,41458
24100,0.27,13672,43473
25100,0.27,13660,45436
26100,0.29,13888,47439
27100,0.30,14284,49461
28100,0.30,14284,51505
29100,0.38,14428,53526
30100,0.34,14736,55546
31100,0.33,14736,57568
32100,0.35,15076,59580
33100,0.36,15316,61625
34100,0.37,15308,63680
35100,0.38,15648,65737
36100,0.38,15648,67764
37100,0.41,15916,69778
38100,0.43,16292,71811
39100,0.44,16332,73842
40100,0.45,16844,75905
41100,0.45,16856,77940
42100,0.48,17036,79997
43100,0.48,17004,82030
44100,0.50,17248,84040
45100,0.50,17504,86065
46100,0.53,17512,88119
47100,0.53,17856,90164
48100,0.55,17852,92228
49100,0.55,17988,94293
50100,0.57,18188,96358
51100,0.58,18340,98415
52100,0.59,18332,100488
53100,0.60,18420,102536
54100,0.60,18524,104594
55100,0.64,18692,106664
56100,0.63,18692,108718
57100,0.66,18832,110770
58100,0.67,18884,112823
59100,0.69,19128,114889
60100,0.68,19220,116960
61100,0.72,19424,119019
62100,0.72,19412,121083
63100,0.72,19624,123138
64100,0.75,19620,125207
65100,0.76,19864,127274
66100,0.78,19864,129334
67100,0.78,20100,131401
68100,0.78,20024,133460
69100,0.80,20232,135532
70100,0.80,20296,137611
71100,0.83,20508,139681
72100,0.84,20428,141737
73100,0.82,20588,143809
74100,0.86,20624,145873
75100,0.88,20884,147928
76100,0.87,20856,150012
77100,0.88,21184,152079
78100,0.90,21172,154133
79100,0.92,21252,156195
80100,0.96,21376,158264
81100,0.94,21504,160339
82100,0.97,21592,162413
83100,0.98,21744,164491
84100,0.99,21780,166554
85100,0.98,21928,168626
86100,1.00,21956,170703
87100,0.99,21832,172782
88100,1.03,22196,174847
89100,1.08,22192,176930
90100,1.06,22492,179002
91100,1.06,22488,181086
92100,1.08,22608,183177
93100,1.11,22592,185265
94100,1.13,22704,187342
95100,1.10,22776,189426
96100,1.12,22964,191511
97100,1.17,22952,193594
98100,1.17,22964,195681
99100,1.15,23132,197747
